"","bias","errors","noise_perc","paired_end","read_depth","read_length","stranded","Cufflinks","Express","RSEM","Kallisto","Sailfish","Salmon"
"1","True","True",0,"False",10,100,"False",0.83642,0.80207,0.781,0.72834,0.77218,0.89582
"2","True","True",0,"False",10,100,"True",0.74391,0.79968,0.77701,0.67949,0.75708,0.86777
"3","True","True",0,"False",10,50,"False",0.82212,0.84812,0.76066,0.70856,0.77805,0.92086
"4","True","True",0,"False",10,50,"True",0.72648,0.80661,0.76583,0.64664,0.77213,0.92283
"5","True","True",0,"False",10,75,"False",0.83905,0.80559,0.78127,0.71501,0.76325,0.92801
"6","True","True",0,"False",10,75,"True",0.90983,0.80417,0.78065,0.69315,0.75263,0.88325
"7","True","True",0,"False",30,100,"False",0.82044,0.82695,0.78797,0.68847,0.73836,0.86947
"8","True","True",0,"False",30,100,"True",0.86675,0.76759,0.74865,0.63756,0.72725,0.87404
"9","True","True",0,"False",30,50,"False",0.7943,0.83726,0.75428,0.67776,0.74316,0.93099
"10","True","True",0,"False",30,50,"True",0.68209,0.78141,0.73864,0.58658,0.75033,0.94089
"11","True","True",0,"False",30,75,"False",0.83311,0.81927,0.74881,0.67571,0.72843,0.8663
"12","True","True",0,"False",30,75,"True",0.7709,0.75893,0.74344,0.5992,0.73024,0.90859
"13","True","True",0,"False",50,100,"False",0.82473,0.80888,0.75497,0.67435,0.73201,0.86903
"14","True","True",0,"False",50,100,"True",0.66917,0.7487,0.74177,0.58119,0.70789,0.85167
"15","True","True",0,"False",50,50,"False",0.80682,0.82202,0.73496,0.67661,0.73647,0.93136
"16","True","True",0,"False",50,50,"True",0.66717,0.76683,0.73137,0.55547,0.72852,0.89332
"17","True","True",0,"False",50,75,"False",0.81698,0.8166,0.73918,0.67083,0.73142,0.92995
"18","True","True",0,"False",50,75,"True",0.8167,0.76416,0.73233,0.57868,0.72415,0.90897
"19","True","True",0,"True",10,100,"False",0.74613,0.78871,0.8101,0.76179,0.83111,0.82452
"20","True","True",0,"True",10,100,"True",0.76985,0.84371,0.80203,0.74454,0.80693,0.81201
"21","True","True",0,"True",10,50,"False",0.73729,0.78697,0.807,0.7371,0.82931,0.80414
"22","True","True",0,"True",10,50,"True",0.73416,0.75984,0.784,0.71657,0.77601,0.7763
"23","True","True",0,"True",10,75,"False",0.70938,0.8108,0.79992,0.73791,0.78695,0.80469
"24","True","True",0,"True",10,75,"True",0.73966,0.80405,0.79977,0.74869,0.83554,0.81518
"25","True","True",0,"True",30,100,"False",0.68487,0.73699,0.78635,0.73041,0.80792,0.78759
"26","True","True",0,"True",30,100,"True",0.74116,0.7283,0.77103,0.70722,0.80563,0.75893
"27","True","True",0,"True",30,50,"False",0.66402,0.71712,0.77051,0.69449,0.80479,0.7708
"28","True","True",0,"True",30,50,"True",0.67007,0.68563,0.75876,0.65556,0.722,0.72668
"29","True","True",0,"True",30,75,"False",0.73566,0.72532,0.80601,0.73566,0.88433,0.78771
"30","True","True",0,"True",30,75,"True",0.74113,0.71046,0.80928,0.69673,0.83975,0.75438
"31","True","True",0,"True",50,100,"False",0.68373,0.7213,0.77679,0.70347,0.78709,0.77393
"32","True","True",0,"True",50,100,"True",0.71321,0.71511,0.75365,0.67439,0.77891,0.73932
"33","True","True",0,"True",50,50,"False",0.65809,0.71288,0.81679,0.70701,0.86183,0.77562
"34","True","True",0,"True",50,50,"True",0.69903,0.69931,0.77815,0.65999,0.81539,0.7115
"35","True","True",0,"True",50,75,"False",0.69468,0.71705,0.76511,0.69496,0.81647,0.76586
"36","True","True",0,"True",50,75,"True",0.68559,0.69909,0.74084,0.66075,0.76709,0.72393
"37","True","True",10,"False",10,100,"False",0.85779,0.89451,0.84954,0.85807,0.87249,0.92983
"38","True","True",10,"False",10,100,"True",0.81055,0.88008,0.87279,0.85621,0.86758,0.92422
"39","True","True",10,"False",10,50,"False",0.84855,0.89749,0.80569,0.82902,0.8698,0.93229
"40","True","True",10,"False",10,50,"True",0.81186,0.88337,0.80672,0.85452,0.87546,0.93697
"41","True","True",10,"False",10,75,"False",0.8516,0.89755,0.80936,0.83134,0.86929,0.93988
"42","True","True",10,"False",10,75,"True",0.80947,0.87888,0.81847,0.85559,0.86316,0.93078
"43","True","True",10,"False",30,100,"False",0.8501,0.88295,0.89437,0.83708,0.867,0.93676
"44","True","True",10,"False",30,100,"True",0.77255,0.8652,0.82799,0.84213,0.84878,0.91418
"45","True","True",10,"False",30,50,"False",0.84313,0.88848,0.79141,0.84389,0.87973,0.94552
"46","True","True",10,"False",30,50,"True",0.80276,0.88449,0.79363,0.85709,0.86955,0.94063
"47","True","True",10,"False",30,75,"False",0.83741,0.88968,0.78135,0.83286,0.85866,0.93303
"48","True","True",10,"False",30,75,"True",0.81271,0.87135,0.79793,0.84701,0.85269,0.92791
"49","True","True",10,"False",50,100,"False",0.83435,0.88246,0.85004,0.83549,0.86725,0.936
"50","True","True",10,"False",50,100,"True",0.85231,0.8673,0.81074,0.85702,0.8672,0.94006
"51","True","True",10,"False",50,50,"False",0.83062,0.90039,0.7943,0.84425,0.87065,0.93938
"52","True","True",10,"False",50,50,"True",0.81734,0.88564,0.80814,0.86706,0.8801,0.9393
"53","True","True",10,"False",50,75,"False",0.84034,0.88731,0.80795,0.83816,0.86714,0.93134
"54","True","True",10,"False",50,75,"True",0.82451,0.87224,0.78652,0.85702,0.8643,0.93574
"55","True","True",10,"True",10,100,"False",0.78527,0.83612,0.82505,0.87256,0.91233,0.88467
"56","True","True",10,"True",10,100,"True",0.79476,0.84992,0.82702,0.87178,0.90755,0.88389
"57","True","True",10,"True",10,50,"False",0.77855,0.83327,0.85221,0.88371,0.92139,0.89237
"58","True","True",10,"True",10,50,"True",0.76861,0.81721,0.82474,0.86925,0.90575,0.88002
"59","True","True",10,"True",10,75,"False",0.77873,0.8321,0.83514,0.86971,0.90722,0.88718
"60","True","True",10,"True",10,75,"True",0.79989,0.86045,0.81849,0.88058,0.9233,0.88618
"61","True","True",10,"True",30,100,"False",0.7526,0.80966,0.81166,0.85784,0.90278,0.8773
"62","True","True",10,"True",30,100,"True",0.75062,0.81788,0.80629,0.8746,0.92191,0.88305
"63","True","True",10,"True",30,50,"False",0.75123,0.83384,0.86827,0.88704,0.93295,0.89444
"64","True","True",10,"True",30,50,"True",0.75305,0.81,0.85378,0.88916,0.93285,0.89603
"65","True","True",10,"True",30,75,"False",0.74976,0.81476,0.82092,0.86706,0.90648,0.87597
"66","True","True",10,"True",30,75,"True",0.73315,0.81121,0.79798,0.86567,0.8968,0.87319
"67","True","True",10,"True",50,100,"False",0.75521,0.82072,0.81034,0.87842,0.92345,0.88879
"68","True","True",10,"True",50,100,"True",0.71898,0.80109,0.79601,0.87199,0.93705,0.88148
"69","True","True",10,"True",50,50,"False",0.74251,0.82517,0.84725,0.88556,0.92665,0.8895
"70","True","True",10,"True",50,50,"True",0.72833,0.80766,0.81068,0.87596,0.91529,0.88473
"71","True","True",10,"True",50,75,"False",0.75067,0.81369,0.8116,0.87024,0.91537,0.8809
"72","True","True",10,"True",50,75,"True",0.81499,0.81213,0.80345,0.85991,0.91865,0.8683
