"","bias","errors","noise_perc","paired_end","read_depth","read_length","stranded","Cufflinks","Express","RSEM","Kallisto","Sailfish","Salmon"
"1","True","True",0,"False",10,100,"False",10539,10539,10539,10539,10539,10539
"2","True","True",0,"False",10,100,"True",10633,10633,10633,10633,10633,10633
"3","True","True",0,"False",10,50,"False",10462,10462,10462,10462,10462,10462
"4","True","True",0,"False",10,50,"True",10471,10471,10471,10471,10471,10471
"5","True","True",0,"False",10,75,"False",10488,10488,10488,10488,10488,10488
"6","True","True",0,"False",10,75,"True",10458,10458,10458,10458,10458,10458
"7","True","True",0,"False",30,100,"False",10442,10442,10442,10442,10442,10442
"8","True","True",0,"False",30,100,"True",10559,10559,10559,10559,10559,10559
"9","True","True",0,"False",30,50,"False",10520,10520,10520,10520,10520,10520
"10","True","True",0,"False",30,50,"True",10522,10522,10522,10522,10522,10522
"11","True","True",0,"False",30,75,"False",10546,10546,10546,10546,10546,10546
"12","True","True",0,"False",30,75,"True",10524,10524,10524,10524,10524,10524
"13","True","True",0,"False",50,100,"False",10407,10407,10407,10407,10407,10407
"14","True","True",0,"False",50,100,"True",10537,10537,10537,10537,10537,10537
"15","True","True",0,"False",50,50,"False",10591,10591,10591,10591,10591,10591
"16","True","True",0,"False",50,50,"True",10546,10546,10546,10546,10546,10546
"17","True","True",0,"False",50,75,"False",10578,10578,10578,10578,10578,10578
"18","True","True",0,"False",50,75,"True",10524,10524,10524,10524,10524,10524
"19","True","True",0,"True",10,100,"False",10474,10474,10474,10474,10474,10474
"20","True","True",0,"True",10,100,"True",10628,10628,10628,10628,10628,10628
"21","True","True",0,"True",10,50,"False",10487,10487,10487,10487,10487,10487
"22","True","True",0,"True",10,50,"True",10514,10514,10514,10514,10514,10514
"23","True","True",0,"True",10,75,"False",10481,10481,10481,10481,10481,10481
"24","True","True",0,"True",10,75,"True",10513,10513,10513,10513,10513,10513
"25","True","True",0,"True",30,100,"False",10475,10475,10475,10475,10475,10475
"26","True","True",0,"True",30,100,"True",10578,10578,10578,10578,10578,10578
"27","True","True",0,"True",30,50,"False",10471,10471,10471,10471,10471,10471
"28","True","True",0,"True",30,50,"True",10475,10475,10475,10475,10475,10475
"29","True","True",0,"True",30,75,"False",10547,10547,10547,10547,10547,10547
"30","True","True",0,"True",30,75,"True",10565,10565,10565,10565,10565,10565
"31","True","True",0,"True",50,100,"False",10488,10488,10488,10488,10488,10488
"32","True","True",0,"True",50,100,"True",10534,10534,10534,10534,10534,10534
"33","True","True",0,"True",50,50,"False",10567,10567,10567,10567,10567,10567
"34","True","True",0,"True",50,50,"True",10579,10579,10579,10579,10579,10579
"35","True","True",0,"True",50,75,"False",10592,10592,10592,10592,10592,10592
"36","True","True",0,"True",50,75,"True",10588,10588,10588,10588,10588,10588
"37","True","True",10,"False",10,100,"False",10674,10674,10674,10674,10674,10674
"38","True","True",10,"False",10,100,"True",10557,10557,10557,10557,10557,10557
"39","True","True",10,"False",10,50,"False",10545,10545,10545,10545,10545,10545
"40","True","True",10,"False",10,50,"True",10503,10503,10503,10503,10503,10503
"41","True","True",10,"False",10,75,"False",10512,10512,10512,10512,10512,10512
"42","True","True",10,"False",10,75,"True",10560,10560,10560,10560,10560,10560
"43","True","True",10,"False",30,100,"False",10594,10594,10594,10594,10594,10594
"44","True","True",10,"False",30,100,"True",10534,10534,10534,10534,10534,10534
"45","True","True",10,"False",30,50,"False",10518,10518,10518,10518,10518,10518
"46","True","True",10,"False",30,50,"True",10510,10510,10510,10510,10510,10510
"47","True","True",10,"False",30,75,"False",10542,10542,10542,10542,10542,10542
"48","True","True",10,"False",30,75,"True",10556,10556,10556,10556,10556,10556
"49","True","True",10,"False",50,100,"False",10516,10516,10516,10516,10516,10516
"50","True","True",10,"False",50,100,"True",10610,10610,10610,10610,10610,10610
"51","True","True",10,"False",50,50,"False",10491,10491,10491,10491,10491,10491
"52","True","True",10,"False",50,50,"True",10659,10659,10659,10659,10659,10659
"53","True","True",10,"False",50,75,"False",10560,10560,10560,10560,10560,10560
"54","True","True",10,"False",50,75,"True",10582,10582,10582,10582,10582,10582
"55","True","True",10,"True",10,100,"False",10483,10483,10483,10483,10483,10483
"56","True","True",10,"True",10,100,"True",10568,10568,10568,10568,10568,10568
"57","True","True",10,"True",10,50,"False",10508,10508,10508,10508,10508,10508
"58","True","True",10,"True",10,50,"True",10493,10493,10493,10493,10493,10493
"59","True","True",10,"True",10,75,"False",10530,10530,10530,10530,10530,10530
"60","True","True",10,"True",10,75,"True",10534,10534,10534,10534,10534,10534
"61","True","True",10,"True",30,100,"False",10481,10481,10481,10481,10481,10481
"62","True","True",10,"True",30,100,"True",10526,10526,10526,10526,10526,10526
"63","True","True",10,"True",30,50,"False",10544,10544,10544,10544,10544,10544
"64","True","True",10,"True",30,50,"True",10484,10484,10484,10484,10484,10484
"65","True","True",10,"True",30,75,"False",10554,10554,10554,10554,10554,10554
"66","True","True",10,"True",30,75,"True",10504,10504,10504,10504,10504,10504
"67","True","True",10,"True",50,100,"False",10503,10503,10503,10503,10503,10503
"68","True","True",10,"True",50,100,"True",10437,10437,10437,10437,10437,10437
"69","True","True",10,"True",50,50,"False",10416,10416,10416,10416,10416,10416
"70","True","True",10,"True",50,50,"True",10601,10601,10601,10601,10601,10601
"71","True","True",10,"True",50,75,"False",10504,10504,10504,10504,10504,10504
"72","True","True",10,"True",50,75,"True",10486,10486,10486,10486,10486,10486
