"","bias","errors","noise_perc","paired_end","read_depth","read_length","stranded","Cufflinks","Express","RSEM","Kallisto","Sailfish","Salmon"
"1","True","True",0,"False",10,100,"False",0.96377,0.97854,0.98456,0.98422,0.98542,0.9795
"2","True","True",0,"False",10,100,"True",0.97456,0.97868,0.9839,0.9835,0.98568,0.97786
"3","True","True",0,"False",10,50,"False",0.96618,0.97726,0.98752,0.98607,0.98713,0.98144
"4","True","True",0,"False",10,50,"True",0.97115,0.98338,0.98718,0.98308,0.98604,0.97854
"5","True","True",0,"False",10,75,"False",0.96715,0.98027,0.98568,0.98592,0.98596,0.98137
"6","True","True",0,"False",10,75,"True",0.9095,0.98121,0.98576,0.98463,0.98681,0.97918
"7","True","True",0,"False",30,100,"False",0.97303,0.98103,0.98885,0.98855,0.99034,0.98583
"8","True","True",0,"False",30,100,"True",0.95795,0.98721,0.98889,0.98902,0.99104,0.98656
"9","True","True",0,"False",30,50,"False",0.96871,0.97938,0.98982,0.98911,0.9885,0.98409
"10","True","True",0,"False",30,50,"True",0.97502,0.98859,0.99019,0.98814,0.98918,0.98272
"11","True","True",0,"False",30,75,"False",0.97039,0.98304,0.99031,0.99057,0.99074,0.98651
"12","True","True",0,"False",30,75,"True",0.97391,0.98896,0.99033,0.9892,0.99087,0.98521
"13","True","True",0,"False",50,100,"False",0.97228,0.98334,0.98985,0.99156,0.99138,0.98773
"14","True","True",0,"False",50,100,"True",0.98087,0.98922,0.98974,0.99105,0.99149,0.98631
"15","True","True",0,"False",50,50,"False",0.96904,0.98263,0.99101,0.99132,0.98996,0.98573
"16","True","True",0,"False",50,50,"True",0.97561,0.99062,0.9915,0.99008,0.9904,0.98401
"17","True","True",0,"False",50,75,"False",0.97067,0.98202,0.98956,0.98927,0.99028,0.98636
"18","True","True",0,"False",50,75,"True",0.96944,0.99045,0.99104,0.98979,0.99213,0.98805
"19","True","True",0,"True",10,100,"False",0.97379,0.9734,0.97671,0.9837,0.98298,0.97368
"20","True","True",0,"True",10,100,"True",0.97082,0.97164,0.97779,0.98442,0.98395,0.97597
"21","True","True",0,"True",10,50,"False",0.97628,0.97973,0.98339,0.98837,0.98761,0.9811
"22","True","True",0,"True",10,50,"True",0.97467,0.98191,0.98345,0.98777,0.98724,0.97935
"23","True","True",0,"True",10,75,"False",0.97408,0.97509,0.97953,0.98606,0.98535,0.97655
