"","bias","errors","noise_perc","paired_end","read_depth","read_length","stranded","Cufflinks","Express","RSEM","Kallisto","Sailfish","Salmon"
"1","True","True",0,"False",10,100,"False",-4.15495,-15.41866,-17.59873,-6.00139,-9.50928,-32.8536
"2","True","True",0,"False",10,100,"True",-5.00652,-14.81738,-9.46261,-4.50947,-8.09414,-27.53734
"3","True","True",0,"False",10,50,"False",-4.46718,-21.42876,-3.01696,-5.85314,-12.20104,-37.26227
"4","True","True",0,"False",10,50,"True",-5.85332,-18.38612,-1.89157,-3.43414,-11.51331,-37.89572
"5","True","True",0,"False",10,75,"False",-4.06144,-15.78657,-4.8895,-4.72896,-10.06694,-39.24637
"6","True","True",0,"False",10,75,"True",-19.44669,-16.45339,-4.94587,-5.47998,-9.2609,-30.06739
"7","True","True",0,"False",30,100,"False",-2.17256,-15.97427,-21.02626,-4.88313,-7.62062,-27.31562
"8","True","True",0,"False",30,100,"True",-9.74792,-13.74445,-11.56494,-5.80785,-8.53749,-29.02201
"9","True","True",0,"False",30,50,"False",-1.8925,-18.30987,-2.31747,-5.15699,-9.99586,-37.71849
"10","True","True",0,"False",30,50,"True",-1.86121,-16.34631,-3.31605,-4.27937,-11.0702,-39.85428
"11","True","True",0,"False",30,75,"False",-3.89168,-16.22431,-1.38942,-4.11286,-7.1391,-27.83492
"12","True","True",0,"False",30,75,"True",-3.57889,-13.8625,-4.86212,-4.3992,-8.60526,-33.31317
"13","True","True",0,"False",50,100,"False",-4.08041,-13.92768,-16.50046,-5.98452,-8.71517,-28.10299
"14","True","True",0,"False",50,100,"True",-4.2063,-12.23021,-6.02196,-4.16933,-7.88282,-25.54094
"15","True","True",0,"False",50,50,"False",-4.16247,-19.67056,-2.15657,-7.19893,-11.12039,-38.39313
"16","True","True",0,"False",50,50,"True",-1.91641,-14.82786,-1.92153,-3.59434,-9.15679,-32.4008
"17","True","True",0,"False",50,75,"False",-2.52655,-16.57575,-4.00171,-6.03478,-10.32978,-38.10942
"18","True","True",0,"False",50,75,"True",-1.0881,-13.3828,-5.85475,-3.70574,-9.54146,-34.75084
"19","True","True",0,"True",10,100,"False",-3.91555,-11.80672,-11.64085,-8.37879,-20.40812,-13.0418
"20","True","True",0,"True",10,100,"True",-3.78072,-16.4283,-11.55241,-8.72889,-17.67668,-12.55177
"21","True","True",0,"True",10,50,"False",-4.18107,-12.6917,-17.08475,-8.61432,-21.02609,-12.38217
"22","True","True",0,"True",10,50,"True",-3.18593,-9.54899,-11.35746,-5.14631,-14.82453,-8.69943
"23","True","True",0,"True",10,75,"False",-3.43261,-12.42767,-8.74611,-7.94689,-15.06099,-12.49471
"24","True","True",0,"True",10,75,"True",-2.04352,-12.89944,-15.28884,-10.86798,-22.28484,-13.99702
"25","True","True",0,"True",30,100,"False",-1.13356,-10.19492,-10.42779,-7.81923,-19.07174,-11.02935
"26","True","True",0,"True",30,100,"True",-1.82566,-10.28484,-10.00143,-7.6071,-19.88299,-9.3801
"27","True","True",0,"True",30,50,"False",-1.25471,-10.2499,-14.92316,-7.09059,-19.39521,-10.56517
"28","True","True",0,"True",30,50,"True",-2.06572,-8.40938,-10.00168,-5.71796,-12.81182,-9.35175
"29","True","True",0,"True",30,75,"False",-0.61289,-9.74822,-18.25131,-10.66471,-28.94035,-12.7652
"30","True","True",0,"True",30,75,"True",-1.74328,-9.9732,-21.33843,-8.28476,-23.33723,-10.23527
"31","True","True",0,"True",50,100,"False",-1.18209,-8.67455,-6.4109,-6.95031,-16.86158,-10.54628
