"","bias","errors","noise_perc","paired_end","read_depth","read_length","stranded","Cufflinks","Express","RSEM","Kallisto","Sailfish","Salmon"
"1","True","True",0,"False",10,100,"False",0.92324,0.89335,0.93007,0.93092,0.93273,0.92789
"2","True","True",0,"False",10,100,"True",0.91752,0.88047,0.92119,0.92599,0.92834,0.92335
"3","True","True",0,"False",10,50,"False",0.94246,0.90833,0.95058,0.94896,0.94934,0.94332
"4","True","True",0,"False",10,50,"True",0.94041,0.91118,0.94948,0.949,0.94824,0.94012
"5","True","True",0,"False",10,75,"False",0.9283,0.89788,0.93602,0.93659,0.93678,0.9303
"6","True","True",0,"False",10,75,"True",0.91662,0.89625,0.93613,0.93727,0.93919,0.93402
"7","True","True",0,"False",30,100,"False",0.95748,0.92636,0.96275,0.96342,0.96581,0.96074
"8","True","True",0,"False",30,100,"True",0.95435,0.92812,0.96392,0.96477,0.96894,0.96098
"9","True","True",0,"False",30,50,"False",0.96816,0.94344,0.97633,0.97738,0.97548,0.96692
"10","True","True",0,"False",30,50,"True",0.9694,0.94459,0.977,0.97805,0.977,0.96531
"11","True","True",0,"False",30,75,"False",0.96122,0.9341,0.97203,0.96909,0.97203,0.96605
"12","True","True",0,"False",30,75,"True",0.96256,0.93624,0.97016,0.97045,0.9714,0.96361
"13","True","True",0,"False",50,100,"False",0.96695,0.93879,0.97415,0.97377,0.97665,0.96916
"14","True","True",0,"False",50,100,"True",0.96697,0.94069,0.97314,0.9739,0.97646,0.96925
"15","True","True",0,"False",50,50,"False",0.9713,0.95147,0.97809,0.98197,0.97876,0.96516
"16","True","True",0,"False",50,50,"True",0.9743,0.94908,0.98009,0.98312,0.98066,0.96795
"17","True","True",0,"False",50,75,"False",0.96691,0.94385,0.9757,0.97608,0.97665,0.96341
"18","True","True",0,"False",50,75,"True",0.96646,0.9466,0.97339,0.97567,0.97472,0.96522
"19","True","True",0,"True",10,100,"False",0.88304,0.87903,0.8881,0.89488,0.8946,0.89584
"20","True","True",0,"True",10,100,"True",0.88822,0.88361,0.89104,0.89942,0.8997,0.90026
"21","True","True",0,"True",10,50,"False",0.92038,0.90665,0.92743,0.92848,0.92705,0.92791
"22","True","True",0,"True",10,50,"True",0.91754,0.90651,0.92125,0.92667,0.92591,0.92714
"23","True","True",0,"True",10,75,"False",0.90478,0.90135,0.91508,0.91413,0.91403,0.91528
"24","True","True",0,"True",10,75,"True",0.90726,0.90184,0.91192,0.91686,0.91696,0.91677
"25","True","True",0,"True",30,100,"False",0.94282,0.92831,0.94348,0.94711,0.94597,0.94797
"26","True","True",0,"True",30,100,"True",0.93713,0.92267,0.93713,0.94517,0.94385,0.94489
"27","True","True",0,"True",30,50,"False",0.96419,0.94709,0.96753,0.9703,0.96887,0.97039
"28","True","True",0,"True",30,50,"True",0.9599,0.94558,0.96391,0.96601,0.96506,0.96563
"29","True","True",0,"True",30,75,"False",0.94757,0.93439,0.95127,0.95515,0.95221,0.95506
"30","True","True",0,"True",30,75,"True",0.95154,0.93507,0.95097,0.95873,0.95599,0.95864
"31","True","True",0,"True",50,100,"False",0.95385,0.9386,0.95833,0.96081,0.95871,0.96014
"32","True","True",0,"True",50,100,"True",0.95538,0.94038,0.95633,0.96326,0.96136,0.9626
"33","True","True",0,"True",50,50,"False",0.97028,0.95448,0.97076,0.97596,0.97199,0.97558
"34","True","True",0,"True",50,50,"True",0.96682,0.95122,0.96928,0.97457,0.97051,0.97438
"35","True","True",0,"True",50,75,"False",0.96195,0.95213,0.96818,0.96875,0.96648,0.96847
"36","True","True",0,"True",50,75,"True",0.9608,0.94305,0.96147,0.96638,0.9643,0.96609
"37","True","True",10,"False",10,100,"False",0.9555,0.97536,0.97648,0.97705,0.97723,0.97527
"38","True","True",10,"False",10,100,"True",0.95453,0.97158,0.97376,0.9785,0.9802,0.97774
"39","True","True",10,"False",10,50,"False",0.96804,0.98198,0.98596,0.98464,0.98464,0.98122
"40","True","True",10,"False",10,50,"True",0.96772,0.97962,0.98543,0.98419,0.98591,0.98153
"41","True","True",10,"False",10,75,"False",0.95957,0.97631,0.9805,0.98078,0.98097,0.97803
"42","True","True",10,"False",10,75,"True",0.96089,0.97377,0.97973,0.98106,0.98324,0.98106
"43","True","True",10,"False",30,100,"False",0.97338,0.98584,0.9865,0.98839,0.98848,0.9848
"44","True","True",10,"False",30,100,"True",0.97361,0.98272,0.98538,0.98842,0.98766,0.98443
"45","True","True",10,"False",30,50,"False",0.97946,0.98907,0.99211,0.99144,0.98973,0.98574
"46","True","True",10,"False",30,50,"True",0.97973,0.98716,0.99096,0.99144,0.99144,0.98696
"47","True","True",10,"False",30,75,"False",0.97951,0.98976,0.99127,0.99089,0.9908,0.98795
"48","True","True",10,"False",30,75,"True",0.97954,0.98503,0.98986,0.99015,0.98958,0.98636
"49","True","True",10,"False",50,100,"False",0.97965,0.98973,0.99011,0.99163,0.99125,0.98849
"50","True","True",10,"False",50,100,"True",0.97757,0.98709,0.98869,0.98982,0.9902,0.98652
"51","True","True",10,"False",50,50,"False",0.97932,0.99037,0.99133,0.9919,0.9898,0.98599
"52","True","True",10,"False",50,50,"True",0.97927,0.99127,0.99193,0.99306,0.99156,0.98527
"53","True","True",10,"False",50,75,"False",0.97898,0.99015,0.99025,0.99157,0.98996,0.98598
"54","True","True",10,"False",50,75,"True",0.97959,0.99027,0.99235,0.99168,0.99225,0.98743
"55","True","True",10,"True",10,100,"False",0.93342,0.94238,0.94687,0.96709,0.96623,0.9669
"56","True","True",10,"True",10,100,"True",0.93121,0.94701,0.94862,0.96915,0.96887,0.96915
"57","True","True",10,"True",10,50,"False",0.95622,0.96355,0.97126,0.97982,0.97906,0.97992
"58","True","True",10,"True",10,50,"True",0.9573,0.96512,0.97322,0.97989,0.97989,0.98027
"59","True","True",10,"True",10,75,"False",0.94236,0.95356,0.96059,0.97341,0.97312,0.97341
"60","True","True",10,"True",10,75,"True",0.94105,0.95586,0.96108,0.97399,0.97257,0.9738
"61","True","True",10,"True",30,100,"False",0.96384,0.96708,0.97538,0.98588,0.98464,0.98521
"62","True","True",10,"True",30,100,"True",0.96475,0.96865,0.97349,0.98565,0.98489,0.98556
"63","True","True",10,"True",30,50,"False",0.97553,0.9798,0.98549,0.99099,0.98938,0.9908
"64","True","True",10,"True",30,50,"True",0.97711,0.97825,0.98426,0.98913,0.9876,0.98884
"65","True","True",10,"True",30,75,"False",0.97053,0.97432,0.98077,0.98768,0.98692,0.98759
"66","True","True",10,"True",30,75,"True",0.97239,0.97353,0.9822,0.98867,0.9881,0.98858
"67","True","True",10,"True",50,100,"False",0.9741,0.97648,0.98353,0.99,0.98896,0.9901
"68","True","True",10,"True",50,100,"True",0.97672,0.97796,0.98457,0.99042,0.98831,0.98994
"69","True","True",10,"True",50,50,"False",0.98329,0.98291,0.98934,0.99203,0.99002,0.99213
"70","True","True",10,"True",50,50,"True",0.97915,0.98208,0.98764,0.99085,0.98962,0.99076
