"","bias","errors","noise_perc","paired_end","read_depth","read_length","stranded","Cufflinks","Express","RSEM","Kallisto","Sailfish","Salmon"
"1","True","True",0,"False",10,100,"False",0.97431,0.95786,0.967,0.94915,0.95958,0.96044
"2","True","True",0,"False",10,100,"True",0.97546,0.96329,0.96992,0.95243,0.9596,0.96677
"3","True","True",0,"False",10,50,"False",0.96354,0.95501,0.95884,0.92323,0.94434,0.94061
"4","True","True",0,"False",10,50,"True",0.97012,0.95827,0.95945,0.92529,0.94525,0.94888
"5","True","True",0,"False",10,75,"False",0.97263,0.96514,0.96921,0.94462,0.95659,0.96065
"6","True","True",0,"False",10,75,"True",0.97591,0.96323,0.96579,0.94149,0.95396,0.95918
"7","True","True",0,"False",30,100,"False",0.96244,0.94893,0.95978,0.93978,0.94882,0.9517
"8","True","True",0,"False",30,100,"True",0.97113,0.95572,0.96315,0.94333,0.95551,0.96014
"9","True","True",0,"False",30,50,"False",0.95762,0.94754,0.94936,0.91063,0.92908,0.93327
"10","True","True",0,"False",30,50,"True",0.96609,0.95075,0.95901,0.91705,0.93959,0.94484
"11","True","True",0,"False",30,75,"False",0.96439,0.95417,0.96159,0.92878,0.94771,0.94761
"12","True","True",0,"False",30,75,"True",0.96769,0.94859,0.95524,0.93464,0.94655,0.95363
"13","True","True",0,"False",50,100,"False",0.96046,0.94817,0.95866,0.9364,0.94541,0.95029
"14","True","True",0,"False",50,100,"True",0.96593,0.94873,0.95798,0.94024,0.94733,0.95572
"15","True","True",0,"False",50,50,"False",0.96314,0.95124,0.9613,0.91654,0.94076,0.94897
"16","True","True",0,"False",50,50,"True",0.96643,0.94653,0.96181,0.91146,0.93556,0.94728
"17","True","True",0,"False",50,75,"False",0.96232,0.9511,0.9607,0.93199,0.94667,0.94894
"18","True","True",0,"False",50,75,"True",0.96522,0.94709,0.9575,0.92991,0.93753,0.94859
"19","True","True",0,"True",10,100,"False",0.97769,0.90221,0.94064,0.97662,0.97662,0.96691
"20","True","True",0,"True",10,100,"True",0.98307,0.93802,0.96776,0.97558,0.97504,0.97069
"21","True","True",0,"True",10,50,"False",0.97124,0.90068,0.93682,0.96857,0.96964,0.96055
