bias,error-frac,errors,expressed-tpms,log-tpm-rho,median-percent-error,noise_perc,paired_end,quant_method,read_depth,read_length,sensitivity,specificity,stranded
True,0.82212,True,10462,0.96618,-4.46718,0,False,Cufflinks,10,50,0.94246,0.96354,False
True,0.84855,True,10545,0.90334,0.32980,10,False,Cufflinks,10,50,0.96804,0.67018,False
True,0.83905,True,10488,0.96715,-4.06144,0,False,Cufflinks,10,75,0.92830,0.97263,False
True,0.85160,True,10512,0.89886,0.82714,10,False,Cufflinks,10,75,0.95957,0.69439,False
True,0.83642,True,10539,0.96377,-4.15495,0,False,Cufflinks,10,100,0.92324,0.97431,False
True,0.85779,True,10674,0.89959,0.85846,10,False,Cufflinks,10,100,0.95550,0.69194,False
True,0.92086,True,10462,0.98144,-37.26227,0,False,Salmon,10,50,0.94332,0.94061,False
True,0.93229,True,10545,0.88692,-32.24182,10,False,Salmon,10,50,0.98122,0.47096,False
True,0.92801,True,10488,0.98137,-39.24637,0,False,Salmon,10,75,0.93030,0.96065,False
True,0.93988,True,10512,0.88193,-35.52280,10,False,Salmon,10,75,0.97803,0.47733,False
True,0.89582,True,10539,0.97950,-32.85360,0,False,Salmon,10,100,0.92789,0.96044,False
True,0.92983,True,10674,0.87365,-28.45214,10,False,Salmon,10,100,0.97527,0.47027,False
True,0.76066,True,10462,0.98752,-3.01696,0,False,RSEM,10,50,0.95058,0.95884,False
True,0.80569,True,10545,0.90151,-2.82857,10,False,RSEM,10,50,0.98596,0.45170,False
True,0.78127,True,10488,0.98568,-4.88950,0,False,RSEM,10,75,0.93602,0.96921,False
True,0.80936,True,10512,0.90221,-1.71351,10,False,RSEM,10,75,0.98050,0.48312,False
True,0.78100,True,10539,0.98456,-17.59873,0,False,RSEM,10,100,0.93007,0.96700,False
True,0.84954,True,10674,0.90417,-8.85031,10,False,RSEM,10,100,0.97648,0.50256,False
True,0.70856,True,10462,0.98607,-5.85314,0,False,Kallisto,10,50,0.94896,0.92323,False
True,0.82902,True,10545,0.90069,-3.64501,10,False,Kallisto,10,50,0.98464,0.44987,False
True,0.71501,True,10488,0.98592,-4.72896,0,False,Kallisto,10,75,0.93659,0.94462,False
True,0.83134,True,10512,0.89561,-1.76528,10,False,Kallisto,10,75,0.98078,0.46114,False
True,0.72834,True,10539,0.98422,-6.00139,0,False,Kallisto,10,100,0.93092,0.94915,False
True,0.85807,True,10674,0.88627,-3.36044,10,False,Kallisto,10,100,0.97705,0.45347,False
True,0.84812,True,10462,0.97726,-21.42876,0,False,Express,10,50,0.90833,0.95501,False
True,0.89749,True,10545,0.86601,-7.02197,10,False,Express,10,50,0.98198,0.34789,False
True,0.80559,True,10488,0.98027,-15.78657,0,False,Express,10,75,0.89788,0.96514,False
True,0.89755,True,10512,0.85706,-6.69213,10,False,Express,10,75,0.97631,0.37464,False
True,0.80207,True,10539,0.97854,-15.41866,0,False,Express,10,100,0.89335,0.95786,False
True,0.89451,True,10674,0.85559,-5.61324,10,False,Express,10,100,0.97536,0.37537,False
True,0.77805,True,10462,0.98713,-12.20104,0,False,Sailfish,10,50,0.94934,0.94434,False
True,0.86980,True,10545,0.89018,-7.56118,10,False,Sailfish,10,50,0.98464,0.45837,False
True,0.76325,True,10488,0.98596,-10.06694,0,False,Sailfish,10,75,0.93678,0.95659,False
True,0.86929,True,10512,0.88459,-5.95174,10,False,Sailfish,10,75,0.98097,0.46575,False
True,0.77218,True,10539,0.98542,-9.50928,0,False,Sailfish,10,100,0.93273,0.95958,False
True,0.87249,True,10674,0.87713,-5.78696,10,False,Sailfish,10,100,0.97723,0.45729,False
True,0.72648,True,10471,0.97115,-5.85332,0,False,Cufflinks,10,50,0.94041,0.97012,True
True,0.81186,True,10503,0.89722,-3.56273,10,False,Cufflinks,10,50,0.96772,0.67927,True
True,0.90983,True,10458,0.90950,-19.44669,0,False,Cufflinks,10,75,0.91662,0.97591,True
True,0.80947,True,10560,0.90471,-2.35311,10,False,Cufflinks,10,75,0.96089,0.69852,True
True,0.74391,True,10633,0.97456,-5.00652,0,False,Cufflinks,10,100,0.91752,0.97546,True
True,0.81055,True,10557,0.92013,-2.41908,10,False,Cufflinks,10,100,0.95453,0.70465,True
True,0.92283,True,10471,0.97854,-37.89572,0,False,Salmon,10,50,0.94012,0.94888,True
True,0.93697,True,10503,0.87726,-32.04835,10,False,Salmon,10,50,0.98153,0.46230,True
True,0.88325,True,10458,0.97918,-30.06739,0,False,Salmon,10,75,0.93402,0.95918,True
True,0.93078,True,10560,0.87723,-27.37390,10,False,Salmon,10,75,0.98106,0.46999,True
True,0.86777,True,10633,0.97786,-27.53734,0,False,Salmon,10,100,0.92335,0.96677,True
True,0.92422,True,10557,0.88357,-24.52908,10,False,Salmon,10,100,0.97774,0.46327,True
True,0.76583,True,10471,0.98718,-1.89157,0,False,RSEM,10,50,0.94948,0.95945,True
True,0.80672,True,10503,0.89256,-1.17817,10,False,RSEM,10,50,0.98543,0.46252,True
True,0.78065,True,10458,0.98576,-4.94587,0,False,RSEM,10,75,0.93613,0.96579,True
True,0.81847,True,10560,0.89710,-2.35595,10,False,RSEM,10,75,0.97973,0.50339,True
True,0.77701,True,10633,0.98390,-9.46261,0,False,RSEM,10,100,0.92119,0.96992,True
True,0.87279,True,10557,0.91088,-14.03585,10,False,RSEM,10,100,0.97376,0.52079,True
True,0.64664,True,10471,0.98308,-3.43414,0,False,Kallisto,10,50,0.94900,0.92529,True
True,0.85452,True,10503,0.88478,-3.67300,10,False,Kallisto,10,50,0.98419,0.44753,True
True,0.69315,True,10458,0.98463,-5.47998,0,False,Kallisto,10,75,0.93727,0.94149,True
True,0.85559,True,10560,0.88309,-2.66588,10,False,Kallisto,10,75,0.98106,0.45491,True
True,0.67949,True,10633,0.98350,-4.50947,0,False,Kallisto,10,100,0.92599,0.95243,True
True,0.85621,True,10557,0.88910,-2.70500,10,False,Kallisto,10,100,0.97850,0.45659,True
True,0.80661,True,10471,0.98338,-18.38612,0,False,Express,10,50,0.91118,0.95827,True
True,0.88337,True,10503,0.87009,-8.46239,10,False,Express,10,50,0.97962,0.38135,True
True,0.80417,True,10458,0.98121,-16.45339,0,False,Express,10,75,0.89625,0.96323,True
True,0.87888,True,10560,0.86634,-6.49985,10,False,Express,10,75,0.97377,0.40771,True
True,0.79968,True,10633,0.97868,-14.81738,0,False,Express,10,100,0.88047,0.96329,True
True,0.88008,True,10557,0.87595,-6.05073,10,False,Express,10,100,0.97158,0.41146,True
True,0.77213,True,10471,0.98604,-11.51331,0,False,Sailfish,10,50,0.94824,0.94525,True
True,0.87546,True,10503,0.88116,-6.76696,10,False,Sailfish,10,50,0.98591,0.44817,True
