absolute percent error,bias,errors,noise_perc,non-zero-perc,paired_end,quant_method,read_depth,read_length,stranded
0.00000,True,True,0,0.00000,False,Cufflinks,10,50,False
5.26316,True,True,0,6.67557,False,Cufflinks,10,50,False
10.52632,True,True,0,12.90788,False,Cufflinks,10,50,False
15.78947,True,True,0,19.10280,False,Cufflinks,10,50,False
21.05263,True,True,0,25.89052,False,Cufflinks,10,50,False
26.31579,True,True,0,32.27236,False,Cufflinks,10,50,False
31.57895,True,True,0,38.18959,False,Cufflinks,10,50,False
36.84211,True,True,0,43.89319,False,Cufflinks,10,50,False
42.10526,True,True,0,49.40988,False,Cufflinks,10,50,False
47.36842,True,True,0,54.79840,False,Cufflinks,10,50,False
52.63158,True,True,0,59.16155,False,Cufflinks,10,50,False
57.89474,True,True,0,62.77170,False,Cufflinks,10,50,False
63.15789,True,True,0,65.27103,False,Cufflinks,10,50,False
68.42105,True,True,0,67.57276,False,Cufflinks,10,50,False
73.68421,True,True,0,69.34579,False,Cufflinks,10,50,False
78.94737,True,True,0,70.87316,False,Cufflinks,10,50,False
84.21053,True,True,0,72.06409,False,Cufflinks,10,50,False
89.47368,True,True,0,72.97730,False,Cufflinks,10,50,False
94.73684,True,True,0,73.63952,False,Cufflinks,10,50,False
100.00000,True,True,0,74.61148,False,Cufflinks,10,50,False
0.00000,True,True,10,0.00000,False,Cufflinks,10,50,False
5.26316,True,True,10,5.68611,False,Cufflinks,10,50,False
10.52632,True,True,10,11.52434,False,Cufflinks,10,50,False
15.78947,True,True,10,17.34683,False,Cufflinks,10,50,False
21.05263,True,True,10,22.87033,False,Cufflinks,10,50,False
26.31579,True,True,10,28.85019,False,Cufflinks,10,50,False
31.57895,True,True,10,34.50483,False,Cufflinks,10,50,False
36.84211,True,True,10,39.82900,False,Cufflinks,10,50,False
42.10526,True,True,10,45.65149,False,Cufflinks,10,50,False
47.36842,True,True,10,51.29039,False,Cufflinks,10,50,False
52.63158,True,True,10,56.22115,False,Cufflinks,10,50,False
57.89474,True,True,10,60.70604,False,Cufflinks,10,50,False
63.15789,True,True,10,64.16807,False,Cufflinks,10,50,False
68.42105,True,True,10,66.53378,False,Cufflinks,10,50,False
73.68421,True,True,10,68.38019,False,Cufflinks,10,50,False
78.94737,True,True,10,69.76500,False,Cufflinks,10,50,False
