absolute percent error,bias,errors,noise_perc,non-zero-perc,paired_end,quant_method,read_depth,read_length,stranded
0.00000,True,True,0,100.00000,False,Cufflinks,10,50,False
5.26316,True,True,0,93.32443,False,Cufflinks,10,50,False
10.52632,True,True,0,87.09212,False,Cufflinks,10,50,False
15.78947,True,True,0,80.89720,False,Cufflinks,10,50,False
21.05263,True,True,0,74.10948,False,Cufflinks,10,50,False
26.31579,True,True,0,67.72764,False,Cufflinks,10,50,False
31.57895,True,True,0,61.81041,False,Cufflinks,10,50,False
36.84211,True,True,0,56.10681,False,Cufflinks,10,50,False
42.10526,True,True,0,50.59012,False,Cufflinks,10,50,False
47.36842,True,True,0,45.20160,False,Cufflinks,10,50,False
52.63158,True,True,0,40.83845,False,Cufflinks,10,50,False
57.89474,True,True,0,37.22830,False,Cufflinks,10,50,False
63.15789,True,True,0,34.72897,False,Cufflinks,10,50,False
68.42105,True,True,0,32.42724,False,Cufflinks,10,50,False
73.68421,True,True,0,30.65421,False,Cufflinks,10,50,False
78.94737,True,True,0,29.12684,False,Cufflinks,10,50,False
84.21053,True,True,0,27.93591,False,Cufflinks,10,50,False
89.47368,True,True,0,27.02270,False,Cufflinks,10,50,False
94.73684,True,True,0,26.36048,False,Cufflinks,10,50,False
100.00000,True,True,0,9.67156,False,Cufflinks,10,50,False
0.00000,True,True,10,100.00000,False,Cufflinks,10,50,False
5.26316,True,True,10,94.31389,False,Cufflinks,10,50,False
10.52632,True,True,10,88.47566,False,Cufflinks,10,50,False
15.78947,True,True,10,82.65317,False,Cufflinks,10,50,False
21.05263,True,True,10,77.12967,False,Cufflinks,10,50,False
26.31579,True,True,10,71.14981,False,Cufflinks,10,50,False
31.57895,True,True,10,65.49517,False,Cufflinks,10,50,False
36.84211,True,True,10,60.17100,False,Cufflinks,10,50,False
42.10526,True,True,10,54.34851,False,Cufflinks,10,50,False
47.36842,True,True,10,48.70961,False,Cufflinks,10,50,False
52.63158,True,True,10,43.77885,False,Cufflinks,10,50,False
57.89474,True,True,10,39.29396,False,Cufflinks,10,50,False
63.15789,True,True,10,35.83193,False,Cufflinks,10,50,False
68.42105,True,True,10,33.46622,False,Cufflinks,10,50,False
73.68421,True,True,10,31.61981,False,Cufflinks,10,50,False
78.94737,True,True,10,30.23500,False,Cufflinks,10,50,False
84.21053,True,True,10,28.98657,False,Cufflinks,10,50,False
89.47368,True,True,10,27.99517,False,Cufflinks,10,50,False
94.73684,True,True,10,27.23982,False,Cufflinks,10,50,False
100.00000,True,True,10,14.27298,False,Cufflinks,10,50,False
0.00000,True,True,0,100.00000,False,Cufflinks,10,75,False
5.26316,True,True,0,93.73799,False,Cufflinks,10,75,False
10.52632,True,True,0,87.92975,False,Cufflinks,10,75,False
15.78947,True,True,0,82.30835,False,Cufflinks,10,75,False
21.05263,True,True,0,76.19581,False,Cufflinks,10,75,False
26.31579,True,True,0,70.37156,False,Cufflinks,10,75,False
31.57895,True,True,0,64.47256,False,Cufflinks,10,75,False
36.84211,True,True,0,59.04869,False,Cufflinks,10,75,False
42.10526,True,True,0,53.71557,False,Cufflinks,10,75,False
47.36842,True,True,0,48.83622,False,Cufflinks,10,75,False
52.63158,True,True,0,44.24514,False,Cufflinks,10,75,False
57.89474,True,True,0,40.50288,False,Cufflinks,10,75,False
63.15789,True,True,0,37.52402,False,Cufflinks,10,75,False
68.42105,True,True,0,35.30322,False,Cufflinks,10,75,False
73.68421,True,True,0,33.56823,False,Cufflinks,10,75,False
78.94737,True,True,0,32.15353,False,Cufflinks,10,75,False
84.21053,True,True,0,31.10720,False,Cufflinks,10,75,False
89.47368,True,True,0,30.24770,False,Cufflinks,10,75,False
94.73684,True,True,0,29.52167,False,Cufflinks,10,75,False
100.00000,True,True,0,8.19987,False,Cufflinks,10,75,False
0.00000,True,True,10,100.00000,False,Cufflinks,10,75,False
5.26316,True,True,10,94.79334,False,Cufflinks,10,75,False
10.52632,True,True,10,89.13276,False,Cufflinks,10,75,False
15.78947,True,True,10,83.57898,False,Cufflinks,10,75,False
21.05263,True,True,10,77.94510,False,Cufflinks,10,75,False
26.31579,True,True,10,72.69572,False,Cufflinks,10,75,False
31.57895,True,True,10,67.34487,False,Cufflinks,10,75,False
36.84211,True,True,10,62.10616,False,Cufflinks,10,75,False
42.10526,True,True,10,56.86212,False,Cufflinks,10,75,False
47.36842,True,True,10,51.51661,False,Cufflinks,10,75,False
52.63158,True,True,10,46.48617,False,Cufflinks,10,75,False
57.89474,True,True,10,42.05917,False,Cufflinks,10,75,False
63.15789,True,True,10,38.31037,False,Cufflinks,10,75,False
68.42105,True,True,10,35.58154,False,Cufflinks,10,75,False
73.68421,True,True,10,33.89405,False,Cufflinks,10,75,False
78.94737,True,True,10,32.54299,False,Cufflinks,10,75,False
84.21053,True,True,10,31.41087,False,Cufflinks,10,75,False
89.47368,True,True,10,30.47634,False,Cufflinks,10,75,False
94.73684,True,True,10,29.83018,False,Cufflinks,10,75,False
100.00000,True,True,10,11.52408,False,Cufflinks,10,75,False
0.00000,True,True,0,100.00000,False,Cufflinks,10,100,False
5.26316,True,True,0,93.77346,False,Cufflinks,10,100,False
10.52632,True,True,0,87.62091,False,Cufflinks,10,100,False
15.78947,True,True,0,81.51594,False,Cufflinks,10,100,False
21.05263,True,True,0,75.45853,False,Cufflinks,10,100,False
26.31579,True,True,0,69.59142,False,Cufflinks,10,100,False
31.57895,True,True,0,63.78773,False,Cufflinks,10,100,False
