"","bias","errors","noise_perc","paired_end","read_depth","read_length","stranded","Cufflinks","Express","RSEM","Kallisto","Sailfish","Salmon"
"1","True","True",0,"False",10,100,"False",0.88276,0.88149,0.86157,0.85686,0.87478,0.94323
"2","True","True",0,"False",10,100,"True",0.85282,0.88341,0.84803,0.8463,0.86759,0.93261
"3","True","True",0,"False",10,50,"False",0.87696,0.90158,0.83402,0.86633,0.89031,0.96465
"4","True","True",0,"False",10,50,"True",0.86729,0.89199,0.83694,0.84583,0.8906,0.96295
"5","True","True",0,"False",10,75,"False",0.88533,0.87946,0.84679,0.85597,0.88079,0.9629
"6","True","True",0,"False",10,75,"True",0.92973,0.88525,0.84921,0.85866,0.87288,0.94273
"7","True","True",0,"False",30,100,"False",0.86336,0.87633,0.85558,0.83526,0.85284,0.92841
"8","True","True",0,"False",30,100,"True",0.90096,0.85656,0.82327,0.83565,0.84397,0.93106
"9","True","True",0,"False",30,50,"False",0.85355,0.88518,0.81835,0.84003,0.87198,0.96389
"10","True","True",0,"False",30,50,"True",0.828,0.87442,0.81113,0.83371,0.86934,0.96836
"11","True","True",0,"False",30,75,"False",0.87012,0.87786,0.81083,0.83273,0.85745,0.93397
"12","True","True",0,"False",30,75,"True",0.84271,0.86142,0.8161,0.82315,0.85331,0.95298
"13","True","True",0,"False",50,100,"False",0.86846,0.86349,0.83201,0.8239,0.84332,0.92444
"14","True","True",0,"False",50,100,"True",0.80923,0.84675,0.80886,0.79964,0.83016,0.91892
"15","True","True",0,"False",50,50,"False",0.85802,0.88496,0.79933,0.8468,0.86882,0.96492
"16","True","True",0,"False",50,50,"True",0.82112,0.86519,0.8022,0.81536,0.86376,0.94863
"17","True","True",0,"False",50,75,"False",0.85544,0.87454,0.80858,0.8314,0.85968,0.96078
"18","True","True",0,"False",50,75,"True",0.85967,0.85694,0.8051,0.81145,0.85033,0.95178
"19","True","True",0,"True",10,100,"False",0.84061,0.87017,0.87155,0.85371,0.89466,0.88913
"20","True","True",0,"True",10,100,"True",0.84799,0.89666,0.86349,0.84841,0.87936,0.88311
"21","True","True",0,"True",10,50,"False",0.82231,0.85979,0.86962,0.84044,0.88998,0.87802
"22","True","True",0,"True",10,50,"True",0.82505,0.8472,0.8517,0.82542,0.86069,0.86
"23","True","True",0,"True",10,75,"False",0.8212,0.87584,0.86435,0.8442,0.87057,0.88291
"24","True","True",0,"True",10,75,"True",0.82906,0.87157,0.87173,0.85066,0.89795,0.88739
"25","True","True",0,"True",30,100,"False",0.79199,0.84677,0.84899,0.82798,0.87286,0.86005
"26","True","True",0,"True",30,100,"True",0.81874,0.83882,0.84226,0.81514,0.8706,0.8457
"27","True","True",0,"True",30,50,"False",0.77196,0.8234,0.84395,0.80428,0.86764,0.85293
"28","True","True",0,"True",30,50,"True",0.77003,0.80453,0.82577,0.78582,0.82185,0.82726
"29","True","True",0,"True",30,75,"False",0.81318,0.8294,0.86674,0.83229,0.91184,0.8628
"30","True","True",0,"True",30,75,"True",0.81799,0.82145,0.86878,0.80559,0.88932,0.84131
"31","True","True",0,"True",50,100,"False",0.78241,0.82708,0.8306,0.80797,0.85996,0.852
"32","True","True",0,"True",50,100,"True",0.80114,0.82417,0.81878,0.78968,0.85169,0.82956
"33","True","True",0,"True",50,50,"False",0.76225,0.80745,0.86728,0.81166,0.89002,0.85123
"34","True","True",0,"True",50,50,"True",0.7788,0.79884,0.84545,0.78127,0.86996,0.80968
