"","bias","errors","noise_perc","paired_end","read_depth","read_length","stranded","Cufflinks","Express","RSEM","Kallisto","Sailfish","Salmon"
"1","True","True",0,"False",10,100,"False",18919,18919,18919,18919,18919,18919
"2","True","True",0,"False",10,100,"True",19024,19024,19024,19024,19024,19024
"3","True","True",0,"False",10,50,"False",18725,18725,18725,18725,18725,18725
"4","True","True",0,"False",10,50,"True",18785,18785,18785,18785,18785,18785
"5","True","True",0,"False",10,75,"False",18732,18732,18732,18732,18732,18732
"6","True","True",0,"False",10,75,"True",18841,18841,18841,18841,18841,18841
"7","True","True",0,"False",30,100,"False",18647,18647,18647,18647,18647,18647
"8","True","True",0,"False",30,100,"True",18740,18740,18740,18740,18740,18740
"9","True","True",0,"False",30,50,"False",18778,18778,18778,18778,18778,18778
"10","True","True",0,"False",30,50,"True",19087,19087,19087,19087,19087,19087
"11","True","True",0,"False",30,75,"False",18856,18856,18856,18856,18856,18856
"12","True","True",0,"False",30,75,"True",18863,18863,18863,18863,18863,18863
"13","True","True",0,"False",50,100,"False",18739,18739,18739,18739,18739,18739
"14","True","True",0,"False",50,100,"True",18871,18871,18871,18871,18871,18871
"15","True","True",0,"False",50,50,"False",18897,18897,18897,18897,18897,18897
"16","True","True",0,"False",50,50,"True",18923,18923,18923,18923,18923,18923
"17","True","True",0,"False",50,75,"False",18843,18843,18843,18843,18843,18843
"18","True","True",0,"False",50,75,"True",18748,18748,18748,18748,18748,18748
"19","True","True",0,"True",10,100,"False",18778,18778,18778,18778,18778,18778
"20","True","True",0,"True",10,100,"True",18966,18966,18966,18966,18966,18966
"21","True","True",0,"True",10,50,"False",18814,18814,18814,18814,18814,18814
"22","True","True",0,"True",10,50,"True",18914,18914,18914,18914,18914,18914
"23","True","True",0,"True",10,75,"False",18960,18960,18960,18960,18960,18960
"24","True","True",0,"True",10,75,"True",19030,19030,19030,19030,19030,19030
"25","True","True",0,"True",30,100,"False",18893,18893,18893,18893,18893,18893
"26","True","True",0,"True",30,100,"True",18879,18879,18879,18879,18879,18879
"27","True","True",0,"True",30,50,"False",19032,19032,19032,19032,19032,19032
"28","True","True",0,"True",30,50,"True",18872,18872,18872,18872,18872,18872
"29","True","True",0,"True",30,75,"False",19045,19045,19045,19045,19045,19045
"30","True","True",0,"True",30,75,"True",19037,19037,19037,19037,19037,19037
"31","True","True",0,"True",50,100,"False",18737,18737,18737,18737,18737,18737
"32","True","True",0,"True",50,100,"True",18933,18933,18933,18933,18933,18933
"33","True","True",0,"True",50,50,"False",19003,19003,19003,19003,19003,19003
"34","True","True",0,"True",50,50,"True",19010,19010,19010,19010,19010,19010
"35","True","True",0,"True",50,75,"False",18902,18902,18902,18902,18902,18902
"36","True","True",0,"True",50,75,"True",19024,19024,19024,19024,19024,19024
"37","True","True",10,"False",10,100,"False",19151,19151,19151,19151,19151,19151
"38","True","True",10,"False",10,100,"True",18862,18862,18862,18862,18862,18862
"39","True","True",10,"False",10,50,"False",19064,19064,19064,19064,19064,19064
"40","True","True",10,"False",10,50,"True",18656,18656,18656,18656,18656,18656
"41","True","True",10,"False",10,75,"False",18726,18726,18726,18726,18726,18726
"42","True","True",10,"False",10,75,"True",18865,18865,18865,18865,18865,18865
"43","True","True",10,"False",30,100,"False",18949,18949,18949,18949,18949,18949
"44","True","True",10,"False",30,100,"True",18752,18752,18752,18752,18752,18752
"45","True","True",10,"False",30,50,"False",18988,18988,18988,18988,18988,18988
"46","True","True",10,"False",30,50,"True",18958,18958,18958,18958,18958,18958
"47","True","True",10,"False",30,75,"False",18799,18799,18799,18799,18799,18799
"48","True","True",10,"False",30,75,"True",18969,18969,18969,18969,18969,18969
"49","True","True",10,"False",50,100,"False",18838,18838,18838,18838,18838,18838
"50","True","True",10,"False",50,100,"True",19007,19007,19007,19007,19007,19007
"51","True","True",10,"False",50,50,"False",18809,18809,18809,18809,18809,18809
"52","True","True",10,"False",50,50,"True",18880,18880,18880,18880,18880,18880
"53","True","True",10,"False",50,75,"False",18806,18806,18806,18806,18806,18806
"54","True","True",10,"False",50,75,"True",18892,18892,18892,18892,18892,18892
"55","True","True",10,"True",10,100,"False",18953,18953,18953,18953,18953,18953
"56","True","True",10,"True",10,100,"True",18823,18823,18823,18823,18823,18823
"57","True","True",10,"True",10,50,"False",18758,18758,18758,18758,18758,18758
"58","True","True",10,"True",10,50,"True",18956,18956,18956,18956,18956,18956
"59","True","True",10,"True",10,75,"False",18944,18944,18944,18944,18944,18944
"60","True","True",10,"True",10,75,"True",18762,18762,18762,18762,18762,18762
"61","True","True",10,"True",30,100,"False",18855,18855,18855,18855,18855,18855
"62","True","True",10,"True",30,100,"True",18860,18860,18860,18860,18860,18860
"63","True","True",10,"True",30,50,"False",18893,18893,18893,18893,18893,18893
"64","True","True",10,"True",30,50,"True",18893,18893,18893,18893,18893,18893
"65","True","True",10,"True",30,75,"False",18904,18904,18904,18904,18904,18904
"66","True","True",10,"True",30,75,"True",18724,18724,18724,18724,18724,18724
"67","True","True",10,"True",50,100,"False",18812,18812,18812,18812,18812,18812
"68","True","True",10,"True",50,100,"True",18919,18919,18919,18919,18919,18919
"69","True","True",10,"True",50,50,"False",18844,18844,18844,18844,18844,18844
"70","True","True",10,"True",50,50,"True",18875,18875,18875,18875,18875,18875
"71","True","True",10,"True",50,75,"False",18836,18836,18836,18836,18836,18836
"72","True","True",10,"True",50,75,"True",18733,18733,18733,18733,18733,18733
