"","bias","errors","noise_perc","paired_end","read_depth","read_length","stranded","Cufflinks","Express","RSEM","Kallisto","Sailfish","Salmon"
"1","True","True",0,"False",10,100,"False",0.92242,0.93114,0.94609,0.92602,0.9431,0.9279
"2","True","True",0,"False",10,100,"True",0.92138,0.92572,0.93789,0.91653,0.93761,0.9181
"3","True","True",0,"False",10,50,"False",0.9192,0.92931,0.94635,0.92263,0.92994,0.91293
"4","True","True",0,"False",10,50,"True",0.91066,0.93573,0.9454,0.91622,0.9306,0.90713
"5","True","True",0,"False",10,75,"False",0.92275,0.9295,0.94383,0.92286,0.93696,0.92185
"6","True","True",0,"False",10,75,"True",0.86736,0.93285,0.94283,0.91858,0.93753,0.9162
"7","True","True",0,"False",30,100,"False",0.93968,0.94622,0.96109,0.94099,0.9568,0.94474
"8","True","True",0,"False",30,100,"True",0.92351,0.95401,0.96077,0.93887,0.95999,0.94559
"9","True","True",0,"False",30,50,"False",0.92856,0.94192,0.95766,0.93462,0.94305,0.92837
"10","True","True",0,"False",30,50,"True",0.92523,0.95022,0.95883,0.93084,0.94511,0.92618
"11","True","True",0,"False",30,75,"False",0.93828,0.94937,0.96197,0.94116,0.95264,0.93938
"12","True","True",0,"False",30,75,"True",0.93362,0.9531,0.96161,0.93667,0.95602,0.94051
"13","True","True",0,"False",50,100,"False",0.94475,0.9563,0.96722,0.95094,0.9637,0.95387
"14","True","True",0,"False",50,100,"True",0.94184,0.95739,0.9613,0.93947,0.96021,0.94688
"15","True","True",0,"False",50,50,"False",0.93235,0.94522,0.96351,0.94142,0.94646,0.93135
"16","True","True",0,"False",50,50,"True",0.92979,0.95616,0.96387,0.93505,0.94992,0.92996
"17","True","True",0,"False",50,75,"False",0.93747,0.95137,0.96417,0.94413,0.95636,0.94228
"18","True","True",0,"False",50,75,"True",0.93426,0.95876,0.96678,0.94281,0.95898,0.94369
"19","True","True",0,"True",10,100,"False",0.92335,0.91557,0.92997,0.93916,0.93856,0.93069
"20","True","True",0,"True",10,100,"True",0.91956,0.91647,0.93245,0.94118,0.94045,0.9317
"21","True","True",0,"True",10,50,"False",0.93726,0.93419,0.94759,0.95086,0.95044,0.94599
"22","True","True",0,"True",10,50,"True",0.93393,0.93368,0.94473,0.94725,0.94687,0.94006
"23","True","True",0,"True",10,75,"False",0.92997,0.92483,0.93895,0.94437,0.94294,0.93745
"24","True","True",0,"True",10,75,"True",0.93081,0.92902,0.94045,0.9466,0.94604,0.93735
"25","True","True",0,"True",30,100,"False",0.94754,0.94265,0.95562,0.96127,0.96075,0.95759
"26","True","True",0,"True",30,100,"True",0.9415,0.94343,0.95332,0.96034,0.96079,0.95613
"27","True","True",0,"True",30,50,"False",0.95073,0.95866,0.961,0.96493,0.96383,0.96208
"28","True","True",0,"True",30,50,"True",0.94913,0.95924,0.96133,0.96567,0.96587,0.96226
"29","True","True",0,"True",30,75,"False",0.94696,0.95215,0.95932,0.96342,0.96274,0.95948
"30","True","True",0,"True",30,75,"True",0.94664,0.95225,0.95845,0.96372,0.96389,0.96056
"31","True","True",0,"True",50,100,"False",0.94986,0.95103,0.95946,0.9658,0.96499,0.96381
"32","True","True",0,"True",50,100,"True",0.95084,0.95301,0.96138,0.9668,0.96688,0.96419
"33","True","True",0,"True",50,50,"False",0.95372,0.9641,0.96507,0.97034,0.96952,0.96793
"34","True","True",0,"True",50,50,"True",0.95177,0.9628,0.96546,0.96928,0.969,0.96706
"35","True","True",0,"True",50,75,"False",0.95289,0.96061,0.96338,0.96988,0.96938,0.96719
"36","True","True",0,"True",50,75,"True",0.95019,0.96103,0.96277,0.96823,0.96824,0.96689
"37","True","True",10,"False",10,100,"False",0.88973,0.85796,0.90214,0.87366,0.87967,0.86977
"38","True","True",10,"False",10,100,"True",0.89686,0.87301,0.90712,0.86987,0.88683,0.87473
"39","True","True",10,"False",10,50,"False",0.88784,0.86488,0.89647,0.87268,0.87331,0.85775
"40","True","True",10,"False",10,50,"True",0.87763,0.87131,0.89709,0.86125,0.87326,0.85703
"41","True","True",10,"False",10,75,"False",0.88665,0.86398,0.90087,0.87634,0.87897,0.86685
"42","True","True",10,"False",10,75,"True",0.88273,0.86369,0.89817,0.86145,0.8765,0.86347
"43","True","True",10,"False",30,100,"False",0.90794,0.88025,0.92026,0.89051,0.89478,0.88604
"44","True","True",10,"False",30,100,"True",0.91037,0.89329,0.92143,0.88902,0.90037,0.89098
