"","bias","errors","noise_perc","paired_end","read_depth","read_length","stranded","Cufflinks","Express","RSEM","Kallisto","Sailfish","Salmon"
"1","True","True",0,"False",10,100,"False",-22.26312,-28.52411,-30.77037,-22.29105,-25.02695,-49.28726
"2","True","True",0,"False",10,100,"True",-19.91199,-27.5069,-24.0357,-21.46968,-23.3331,-47.42985
"3","True","True",0,"False",10,50,"False",-23.52355,-34.68565,-18.1975,-22.92497,-30.64361,-55.58304
"4","True","True",0,"False",10,50,"True",-22.60925,-29.93247,-17.68436,-21.8727,-29.97797,-57.36649
"5","True","True",0,"False",10,75,"False",-24.28996,-28.69215,-20.34268,-22.08819,-27.40136,-55.31844
"6","True","True",0,"False",10,75,"True",-46.83598,-28.34656,-20.22912,-22.68085,-26.1295,-50.60718
"7","True","True",0,"False",30,100,"False",-15.21164,-25.89195,-30.00123,-18.35725,-20.44176,-41.96588
"8","True","True",0,"False",30,100,"True",-25.19226,-22.51307,-21.56762,-19.3054,-20.03332,-44.07088
"9","True","True",0,"False",30,50,"False",-16.01051,-29.99208,-14.03245,-20.09588,-25.99315,-53.39927
"10","True","True",0,"False",30,50,"True",-16.93011,-26.04539,-14.72205,-20.03581,-26.41639,-55.39935
"11","True","True",0,"False",30,75,"False",-17.85627,-26.7569,-12.3115,-18.63348,-22.12014,-44.67395
"12","True","True",0,"False",30,75,"True",-17.85302,-22.94736,-15.58631,-18.66353,-21.65691,-49.18369
"13","True","True",0,"False",50,100,"False",-15.7247,-22.81806,-24.97654,-18.18245,-19.9231,-41.18935
"14","True","True",0,"False",50,100,"True",-14.14351,-19.93507,-15.622,-17.12827,-18.49364,-40.04269
"15","True","True",0,"False",50,50,"False",-16.7666,-29.96621,-12.3031,-20.70951,-27.02927,-53.44488
"16","True","True",0,"False",50,50,"True",-16.28813,-24.26308,-12.30924,-18.33162,-24.8364,-49.21354
"17","True","True",0,"False",50,75,"False",-14.18804,-26.13626,-13.75154,-18.78555,-23.49953,-51.24694
"18","True","True",0,"False",50,75,"True",-16.44089,-21.82739,-15.17112,-17.93069,-22.49538,-49.85345
"19","True","True",0,"True",10,100,"False",-19.03973,-28.38997,-28.45615,-20.78156,-31.87197,-28.54416
"20","True","True",0,"True",10,100,"True",-18.40342,-32.94395,-27.30213,-20.37901,-28.46548,-27.74445
"21","True","True",0,"True",10,50,"False",-16.29232,-25.80167,-29.85766,-18.96813,-30.63224,-25.95396
"22","True","True",0,"True",10,50,"True",-15.18644,-21.36963,-24.42932,-16.34587,-25.34862,-23.92749
"23","True","True",0,"True",10,75,"False",-15.59964,-27.54849,-24.56025,-19.25034,-25.92023,-26.94491
"24","True","True",0,"True",10,75,"True",-15.96791,-27.29515,-29.15943,-21.82056,-32.28533,-28.76933
"25","True","True",0,"True",30,100,"False",-11.09271,-19.53375,-21.68091,-16.49727,-27.01027,-23.06782
"26","True","True",0,"True",30,100,"True",-13.05641,-19.08791,-21.22023,-15.99294,-27.38629,-21.88222
"27","True","True",0,"True",30,50,"False",-9.69367,-17.33861,-23.75115,-14.61648,-26.4158,-21.83624
"28","True","True",0,"True",30,50,"True",-10.33405,-15.46784,-19.17123,-13.74916,-20.38864,-21.08791
"29","True","True",0,"True",30,75,"False",-11.55634,-18.17675,-28.16629,-18.67799,-35.8683,-23.85296
"30","True","True",0,"True",30,75,"True",-12.04888,-17.29789,-29.83016,-16.20173,-30.19285,-22.06825
