"","bias","errors","noise_perc","paired_end","read_depth","read_length","stranded","Cufflinks","Express","RSEM","Kallisto","Sailfish","Salmon"
"1","True","True",0,"False",10,100,"False",0.78223,0.77208,0.78693,0.78239,0.79507,0.78117
"2","True","True",0,"False",10,100,"True",0.77712,0.75815,0.77718,0.77308,0.79352,0.77944
"3","True","True",0,"False",10,50,"False",0.81437,0.79744,0.81987,0.81586,0.82579,0.80438
"4","True","True",0,"False",10,50,"True",0.81187,0.7967,0.81986,0.80256,0.82624,0.80633
"5","True","True",0,"False",10,75,"False",0.78881,0.77562,0.79543,0.79201,0.80258,0.78924
"6","True","True",0,"False",10,75,"True",0.78143,0.77974,0.79789,0.79088,0.81121,0.79741
"7","True","True",0,"False",30,100,"False",0.85563,0.83027,0.86148,0.85815,0.87086,0.85419
"8","True","True",0,"False",30,100,"True",0.86089,0.83842,0.86868,0.86169,0.88159,0.86478
"9","True","True",0,"False",30,50,"False",0.88151,0.85515,0.88849,0.88082,0.89131,0.86458
"10","True","True",0,"False",30,50,"True",0.87756,0.85639,0.88641,0.87064,0.88961,0.85818
"11","True","True",0,"False",30,75,"False",0.86874,0.84291,0.87861,0.8698,0.88258,0.86323
"12","True","True",0,"False",30,75,"True",0.87059,0.84721,0.87658,0.86646,0.88523,0.86322
"13","True","True",0,"False",50,100,"False",0.88415,0.85576,0.88884,0.88708,0.89722,0.88297
"14","True","True",0,"False",50,100,"True",0.88655,0.86196,0.89057,0.88273,0.90006,0.88363
"15","True","True",0,"False",50,50,"False",0.89856,0.87617,0.90633,0.90072,0.90639,0.87718
"16","True","True",0,"False",50,50,"True",0.89426,0.87407,0.90414,0.89235,0.9053,0.87671
"17","True","True",0,"False",50,75,"False",0.89227,0.86711,0.90081,0.8955,0.90585,0.87916
"18","True","True",0,"False",50,75,"True",0.88793,0.86932,0.9002,0.88969,0.90511,0.88004
"19","True","True",0,"True",10,100,"False",0.72846,0.72771,0.72675,0.74241,0.74193,0.73405
"20","True","True",0,"True",10,100,"True",0.74059,0.74127,0.74133,0.75598,0.75656,0.74702
"21","True","True",0,"True",10,50,"False",0.79303,0.77347,0.79701,0.79946,0.79786,0.79154
"22","True","True",0,"True",10,50,"True",0.79068,0.77678,0.79275,0.79375,0.79364,0.78487
"23","True","True",0,"True",10,75,"False",0.76181,0.75237,0.76551,0.77236,0.77247,0.76224
"24","True","True",0,"True",10,75,"True",0.766,0.76159,0.76679,0.77367,0.77373,0.76484
"25","True","True",0,"True",30,100,"False",0.8319,0.80887,0.82867,0.84296,0.84179,0.83497
"26","True","True",0,"True",30,100,"True",0.82345,0.80317,0.82372,0.83569,0.83479,0.82737
"27","True","True",0,"True",30,50,"False",0.87731,0.84805,0.87863,0.88146,0.87889,0.87437
"28","True","True",0,"True",30,50,"True",0.87209,0.84464,0.87526,0.87712,0.87632,0.86954
"29","True","True",0,"True",30,75,"False",0.84741,0.82111,0.84663,0.85335,0.85051,0.84747
"30","True","True",0,"True",30,75,"True",0.84772,0.82497,0.8463,0.85486,0.85318,0.84667
"31","True","True",0,"True",50,100,"False",0.86246,0.83434,0.86081,0.87389,0.87143,0.86524
"32","True","True",0,"True",50,100,"True",0.86436,0.84017,0.86241,0.87435,0.87276,0.86732
"33","True","True",0,"True",50,50,"False",0.90312,0.87181,0.89875,0.90828,0.90223,0.90159
"34","True","True",0,"True",50,50,"True",0.89868,0.86744,0.89511,0.90126,0.89611,0.89437
"35","True","True",0,"True",50,75,"False",0.8843,0.85441,0.88604,0.89213,0.88895,0.88631
"36","True","True",0,"True",50,75,"True",0.88367,0.85697,0.88278,0.89066,0.88893,0.88388
"37","True","True",10,"False",10,100,"False",0.8033,0.78978,0.81359,0.81353,0.8244,0.82058
"38","True","True",10,"False",10,100,"True",0.80368,0.79058,0.80702,0.81306,0.82992,0.82589
"39","True","True",10,"False",10,50,"False",0.84248,0.82176,0.84326,0.83786,0.84883,0.83923
"40","True","True",10,"False",10,50,"True",0.83657,0.82183,0.8386,0.8252,0.84573,0.83491
"41","True","True",10,"False",10,75,"False",0.81822,0.8006,0.82089,0.82356,0.83162,0.82287
"42","True","True",10,"False",10,75,"True",0.8176,0.79926,0.81951,0.81325,0.83589,0.83223
"43","True","True",10,"False",30,100,"False",0.86728,0.85556,0.87218,0.87498,0.87978,0.86912
"44","True","True",10,"False",30,100,"True",0.87063,0.84876,0.86967,0.86993,0.88124,0.87479
"45","True","True",10,"False",30,50,"False",0.88772,0.86381,0.88498,0.88119,0.88419,0.86602
"46","True","True",10,"False",30,50,"True",0.88569,0.86407,0.88453,0.87166,0.88701,0.86892
"47","True","True",10,"False",30,75,"False",0.88255,0.85643,0.88622,0.88207,0.88776,0.87446
"48","True","True",10,"False",30,75,"True",0.8816,0.86141,0.88244,0.87495,0.8884,0.87833
"49","True","True",10,"False",50,100,"False",0.88677,0.86575,0.89097,0.89325,0.89595,0.8847
"50","True","True",10,"False",50,100,"True",0.8932,0.87215,0.89667,0.89157,0.90204,0.88873
"51","True","True",10,"False",50,50,"False",0.901,0.87788,0.89744,0.8968,0.89441,0.87373
"52","True","True",10,"False",50,50,"True",0.89735,0.87553,0.89349,0.8822,0.89386,0.87399
"53","True","True",10,"False",50,75,"False",0.89955,0.87477,0.89838,0.89892,0.90125,0.88754
"54","True","True",10,"False",50,75,"True",0.89694,0.87683,0.89721,0.89387,0.90446,0.89069
"55","True","True",10,"True",10,100,"False",0.75803,0.75318,0.75946,0.79491,0.79481,0.79175
"56","True","True",10,"True",10,100,"True",0.75854,0.75089,0.75487,0.79233,0.79233,0.79116
"57","True","True",10,"True",10,50,"False",0.81656,0.79321,0.81656,0.82989,0.82967,0.83143
"58","True","True",10,"True",10,50,"True",0.81905,0.79901,0.82222,0.83398,0.83435,0.83472
"59","True","True",10,"True",10,75,"False",0.78505,0.76436,0.78685,0.80997,0.80928,0.80706
"60","True","True",10,"True",10,75,"True",0.78249,0.76778,0.78515,0.8045,0.80482,0.80375
"61","True","True",10,"True",30,100,"False",0.84094,0.82132,0.83941,0.8646,0.8637,0.86364
"62","True","True",10,"True",30,100,"True",0.8456,0.82466,0.84438,0.86432,0.8641,0.86437
"63","True","True",10,"True",30,50,"False",0.88477,0.85651,0.88149,0.88821,0.8844,0.88842
"64","True","True",10,"True",30,50,"True",0.88752,0.86064,0.88488,0.89081,0.88864,0.89144
"65","True","True",10,"True",30,75,"False",0.85929,0.83707,0.86072,0.87373,0.87294,0.87431
"66","True","True",10,"True",30,75,"True",0.86766,0.84175,0.86659,0.8809,0.88042,0.88053
"67","True","True",10,"True",50,100,"False",0.8755,0.8552,0.87752,0.89321,0.89071,0.89209
"68","True","True",10,"True",50,100,"True",0.87991,0.85797,0.88112,0.89672,0.8937,0.89603
"69","True","True",10,"True",50,50,"False",0.90867,0.87503,0.90278,0.90501,0.89986,0.90501
"70","True","True",10,"True",50,50,"True",0.90713,0.87714,0.90458,0.90331,0.89992,0.90379
"71","True","True",10,"True",50,75,"False",0.89058,0.8668,0.89239,0.90157,0.89918,0.90168
"72","True","True",10,"True",50,75,"True",0.88955,0.8635,0.88891,0.89521,0.8927,0.89452
