"","bias","errors","noise_perc","paired_end","read_depth","read_length","stranded","Cufflinks","Express","RSEM","Kallisto","Sailfish","Salmon"
"1","True","True",0,"False",10,100,"False",0.92082,0.90934,0.9374,0.8879,0.9182,0.90442
"2","True","True",0,"False",10,100,"True",0.91401,0.91036,0.9377,0.89439,0.9197,0.90483
"3","True","True",0,"False",10,50,"False",0.90694,0.90271,0.92619,0.86965,0.89327,0.88245
"4","True","True",0,"False",10,50,"True",0.89551,0.90296,0.92444,0.87465,0.89261,0.88002
"5","True","True",0,"False",10,75,"False",0.91363,0.90696,0.93252,0.87903,0.90663,0.89579
"6","True","True",0,"False",10,75,"True",0.91055,0.9081,0.93023,0.88469,0.90618,0.8932
"7","True","True",0,"False",30,100,"False",0.911,0.91415,0.93411,0.87294,0.90722,0.89623
"8","True","True",0,"False",30,100,"True",0.90261,0.91666,0.93182,0.87932,0.90804,0.89502
"9","True","True",0,"False",30,50,"False",0.89912,0.90375,0.92049,0.85232,0.87973,0.8751
"10","True","True",0,"False",30,50,"True",0.88443,0.90269,0.91909,0.86004,0.88022,0.87669
"11","True","True",0,"False",30,75,"False",0.90112,0.90895,0.92629,0.8615,0.89099,0.88077
"12","True","True",0,"False",30,75,"True",0.89342,0.90951,0.92686,0.87088,0.895,0.88466
"13","True","True",0,"False",50,100,"False",0.90613,0.91472,0.93262,0.86656,0.90086,0.89224
"14","True","True",0,"False",50,100,"True",0.89458,0.9134,0.92906,0.87163,0.90057,0.88863
"15","True","True",0,"False",50,50,"False",0.89717,0.90344,0.92323,0.849,0.87845,0.87633
"16","True","True",0,"False",50,50,"True",0.88341,0.90328,0.91883,0.85456,0.877,0.87512
"17","True","True",0,"False",50,75,"False",0.89983,0.91034,0.92725,0.85778,0.88801,0.88448
"18","True","True",0,"False",50,75,"True",0.88782,0.9089,0.92512,0.86259,0.88837,0.88144
"19","True","True",0,"True",10,100,"False",0.93147,0.89616,0.94268,0.94689,0.94571,0.92945
"20","True","True",0,"True",10,100,"True",0.93075,0.90271,0.94584,0.94578,0.94516,0.93022
"21","True","True",0,"True",10,50,"False",0.92108,0.90996,0.92904,0.93576,0.93505,0.91895
"22","True","True",0,"True",10,50,"True",0.92364,0.91833,0.93457,0.93594,0.93564,0.91849
"23","True","True",0,"True",10,75,"False",0.92788,0.90405,0.93343,0.94254,0.94141,0.92503
"24","True","True",0,"True",10,75,"True",0.92383,0.90951,0.93902,0.93962,0.9389,0.92341
"25","True","True",0,"True",30,100,"False",0.91216,0.88948,0.93306,0.9368,0.93637,0.9215
"26","True","True",0,"True",30,100,"True",0.91173,0.89961,0.93814,0.93581,0.93618,0.9206
"27","True","True",0,"True",30,50,"False",0.90577,0.90767,0.92262,0.92614,0.92578,0.90988
"28","True","True",0,"True",30,50,"True",0.91061,0.92056,0.92959,0.92814,0.92823,0.91407
"29","True","True",0,"True",30,75,"False",0.90584,0.89749,0.92389,0.93035,0.93099,0.9156
"30","True","True",0,"True",30,75,"True",0.9093,0.91097,0.93506,0.93246,0.93342,0.91776
"31","True","True",0,"True",50,100,"False",0.90382,0.8846,0.92929,0.93367,0.9334,0.91883
"32","True","True",0,"True",50,100,"True",0.90173,0.89514,0.93567,0.93249,0.9328,0.91796
"33","True","True",0,"True",50,50,"False",0.90229,0.90796,0.92272,0.92404,0.92606,0.91066
"34","True","True",0,"True",50,50,"True",0.90026,0.91879,0.92727,0.92357,0.92529,0.91049
"35","True","True",0,"True",50,75,"False",0.89872,0.89224,0.92033,0.92912,0.9297,0.91434
"36","True","True",0,"True",50,75,"True",0.89916,0.90735,0.92989,0.92658,0.92699,0.91245
"37","True","True",10,"False",10,100,"False",0.75929,0.64576,0.71304,0.64647,0.65414,0.64972
"38","True","True",10,"False",10,100,"True",0.76004,0.66608,0.72548,0.65299,0.65556,0.64692
"39","True","True",10,"False",10,50,"False",0.71329,0.61802,0.66761,0.62941,0.6355,0.6353
"40","True","True",10,"False",10,50,"True",0.70866,0.63166,0.67155,0.63626,0.63303,0.63075
"41","True","True",10,"False",10,75,"False",0.74944,0.64821,0.70472,0.65059,0.65654,0.65413
"42","True","True",10,"False",10,75,"True",0.7364,0.65178,0.70209,0.64684,0.64554,0.63873
"43","True","True",10,"False",30,100,"False",0.72578,0.60389,0.67859,0.59948,0.61585,0.61754
"44","True","True",10,"False",30,100,"True",0.7284,0.63192,0.69269,0.61508,0.62187,0.61944
"45","True","True",10,"False",30,50,"False",0.68354,0.57982,0.63472,0.59135,0.60294,0.61431
"46","True","True",10,"False",30,50,"True",0.68045,0.59979,0.64178,0.60014,0.60256,0.61138
"47","True","True",10,"False",30,75,"False",0.70157,0.58695,0.65003,0.58777,0.60336,0.60647
"48","True","True",10,"False",30,75,"True",0.70043,0.61075,0.66194,0.59979,0.60398,0.6051
"49","True","True",10,"False",50,100,"False",0.71385,0.58827,0.66667,0.58539,0.60486,0.61122
"50","True","True",10,"False",50,100,"True",0.70709,0.60499,0.66646,0.58894,0.59741,0.60415
"51","True","True",10,"False",50,50,"False",0.676,0.5678,0.62776,0.57875,0.59496,0.6055
"52","True","True",10,"False",50,50,"True",0.66778,0.58499,0.63125,0.58638,0.59128,0.60416
"53","True","True",10,"False",50,75,"False",0.69408,0.57917,0.64635,0.57739,0.59752,0.60392
"54","True","True",10,"False",50,75,"True",0.69045,0.6003,0.65358,0.59033,0.59848,0.60465
"55","True","True",10,"True",10,100,"False",0.81912,0.77046,0.81216,0.70845,0.70896,0.6995
"56","True","True",10,"True",10,100,"True",0.82166,0.77198,0.81477,0.70782,0.70767,0.69876
"57","True","True",10,"True",10,50,"False",0.78421,0.74709,0.75843,0.67022,0.67038,0.66029
"58","True","True",10,"True",10,50,"True",0.79449,0.75532,0.76728,0.67848,0.67812,0.66878
"59","True","True",10,"True",10,75,"False",0.80403,0.75763,0.78471,0.68783,0.68792,0.67853
"60","True","True",10,"True",10,75,"True",0.80907,0.76653,0.7919,0.69111,0.69198,0.68199
"61","True","True",10,"True",30,100,"False",0.77539,0.73917,0.77465,0.65864,0.66106,0.65201
"62","True","True",10,"True",30,100,"True",0.77098,0.73624,0.77036,0.65065,0.65291,0.64321
"63","True","True",10,"True",30,50,"False",0.74572,0.71764,0.72319,0.62862,0.63361,0.62166
"64","True","True",10,"True",30,50,"True",0.74697,0.72364,0.72855,0.63102,0.63513,0.62371
"65","True","True",10,"True",30,75,"False",0.75782,0.72603,0.74481,0.63825,0.64006,0.63081
"66","True","True",10,"True",30,75,"True",0.75753,0.72972,0.74689,0.63735,0.63809,0.62976
"67","True","True",10,"True",50,100,"False",0.74366,0.71401,0.74638,0.62477,0.62929,0.61913
"68","True","True",10,"True",50,100,"True",0.75431,0.72554,0.75743,0.63321,0.63869,0.62705
"69","True","True",10,"True",50,50,"False",0.73145,0.70782,0.71127,0.62019,0.626,0.61382
"70","True","True",10,"True",50,50,"True",0.73855,0.71818,0.71808,0.62068,0.62446,0.61462
"71","True","True",10,"True",50,75,"False",0.74127,0.71592,0.73127,0.62521,0.6288,0.61948
"72","True","True",10,"True",50,75,"True",0.74498,0.72316,0.73751,0.62548,0.62913,0.61945
