bias,error-frac,errors,expressed-tpms,log-tpm-rho,median-percent-error,noise_perc,paired_end,quant_method,read_depth,read_length,sensitivity,specificity,stranded
True,0.87696,True,18725,0.91920,-23.52355,0,False,Cufflinks,10,50,0.81437,0.90694,False
True,0.89063,True,19064,0.88784,-26.92594,10,False,Cufflinks,10,50,0.84248,0.71329,False
True,0.88533,True,18732,0.92275,-24.28996,0,False,Cufflinks,10,75,0.78881,0.91363,False
True,0.89683,True,18726,0.88665,-28.08074,10,False,Cufflinks,10,75,0.81822,0.74944,False
True,0.88276,True,18919,0.92242,-22.26312,0,False,Cufflinks,10,100,0.78223,0.92082,False
True,0.89666,True,19151,0.88973,-28.57303,10,False,Cufflinks,10,100,0.80330,0.75929,False
True,0.96465,True,18725,0.91293,-55.58304,0,False,Salmon,10,50,0.80438,0.88245,False
True,0.97068,True,19064,0.85775,-60.06457,10,False,Salmon,10,50,0.83923,0.63530,False
True,0.96290,True,18732,0.92185,-55.31844,0,False,Salmon,10,75,0.78924,0.89579,False
True,0.97431,True,18726,0.86685,-60.99937,10,False,Salmon,10,75,0.82287,0.65413,False
True,0.94323,True,18919,0.92790,-49.28726,0,False,Salmon,10,100,0.78117,0.90442,False
True,0.96726,True,19151,0.86977,-56.02480,10,False,Salmon,10,100,0.82058,0.64972,False
True,0.83402,True,18725,0.94635,-18.19750,0,False,RSEM,10,50,0.81987,0.92619,False
True,0.89205,True,19064,0.89647,-29.59582,10,False,RSEM,10,50,0.84326,0.66761,False
True,0.84679,True,18732,0.94383,-20.34268,0,False,RSEM,10,75,0.79543,0.93252,False
True,0.88529,True,18726,0.90087,-28.69581,10,False,RSEM,10,75,0.82089,0.70472,False
True,0.86157,True,18919,0.94609,-30.77037,0,False,RSEM,10,100,0.78693,0.93740,False
True,0.91457,True,19151,0.90214,-33.55242,10,False,RSEM,10,100,0.81359,0.71304,False
True,0.86633,True,18725,0.92263,-22.92497,0,False,Kallisto,10,50,0.81586,0.86965,False
True,0.93789,True,19064,0.87268,-33.76246,10,False,Kallisto,10,50,0.83786,0.62941,False
True,0.85597,True,18732,0.92286,-22.08819,0,False,Kallisto,10,75,0.79201,0.87903,False
True,0.93026,True,18726,0.87634,-31.78456,10,False,Kallisto,10,75,0.82356,0.65059,False
True,0.85686,True,18919,0.92602,-22.29105,0,False,Kallisto,10,100,0.78239,0.88790,False
True,0.93718,True,19151,0.87366,-34.03470,10,False,Kallisto,10,100,0.81353,0.64647,False
True,0.90158,True,18725,0.92931,-34.68565,0,False,Express,10,50,0.79744,0.90271,False
True,0.94115,True,19064,0.86488,-43.87953,10,False,Express,10,50,0.82176,0.61802,False
True,0.87946,True,18732,0.92950,-28.69215,0,False,Express,10,75,0.77562,0.90696,False
True,0.93720,True,18726,0.86398,-43.12224,10,False,Express,10,75,0.80060,0.64821,False
True,0.88149,True,18919,0.93114,-28.52411,0,False,Express,10,100,0.77208,0.90934,False
True,0.94199,True,19151,0.85796,-43.38273,10,False,Express,10,100,0.78978,0.64576,False
True,0.89031,True,18725,0.92994,-30.64361,0,False,Sailfish,10,50,0.82579,0.89327,False
True,0.93952,True,19064,0.87331,-40.15044,10,False,Sailfish,10,50,0.84883,0.63550,False
True,0.88079,True,18732,0.93696,-27.40136,0,False,Sailfish,10,75,0.80258,0.90663,False
True,0.93036,True,18726,0.87897,-37.84438,10,False,Sailfish,10,75,0.83162,0.65654,False
True,0.87478,True,18919,0.94310,-25.02695,0,False,Sailfish,10,100,0.79507,0.91820,False
True,0.93003,True,19151,0.87967,-37.87356,10,False,Sailfish,10,100,0.82440,0.65414,False
True,0.86729,True,18785,0.91066,-22.60925,0,False,Cufflinks,10,50,0.81187,0.89551,True
True,0.90314,True,18656,0.87763,-28.29063,10,False,Cufflinks,10,50,0.83657,0.70866,True
True,0.92973,True,18841,0.86736,-46.83598,0,False,Cufflinks,10,75,0.78143,0.91055,True
True,0.89844,True,18865,0.88273,-26.39489,10,False,Cufflinks,10,75,0.81760,0.73640,True
True,0.85282,True,19024,0.92138,-19.91199,0,False,Cufflinks,10,100,0.77712,0.91401,True
True,0.89179,True,18862,0.89686,-25.32061,10,False,Cufflinks,10,100,0.80368,0.76004,True
True,0.96295,True,18785,0.90713,-57.36649,0,False,Salmon,10,50,0.80633,0.88002,True
True,0.97422,True,18656,0.85703,-60.78047,10,False,Salmon,10,50,0.83491,0.63075,True
True,0.94273,True,18841,0.91620,-50.60718,0,False,Salmon,10,75,0.79741,0.89320,True
True,0.96708,True,18865,0.86347,-56.24634,10,False,Salmon,10,75,0.83223,0.63873,True
True,0.93261,True,19024,0.91810,-47.42985,0,False,Salmon,10,100,0.77944,0.90483,True
True,0.96506,True,18862,0.87473,-54.03273,10,False,Salmon,10,100,0.82589,0.64692,True
True,0.83694,True,18785,0.94540,-17.68436,0,False,RSEM,10,50,0.81986,0.92444,True
True,0.88395,True,18656,0.89709,-28.28978,10,False,RSEM,10,50,0.83860,0.67155,True
True,0.84921,True,18841,0.94283,-20.22912,0,False,RSEM,10,75,0.79789,0.93023,True
True,0.89006,True,18865,0.89817,-28.85534,10,False,RSEM,10,75,0.81951,0.70209,True
True,0.84803,True,19024,0.93789,-24.03570,0,False,RSEM,10,100,0.77718,0.93770,True
True,0.92726,True,18862,0.90712,-36.41617,10,False,RSEM,10,100,0.80702,0.72548,True
True,0.84583,True,18785,0.91622,-21.87270,0,False,Kallisto,10,50,0.80256,0.87465,True
True,0.95165,True,18656,0.86125,-34.90621,10,False,Kallisto,10,50,0.82520,0.63626,True
True,0.85866,True,18841,0.91858,-22.68085,0,False,Kallisto,10,75,0.79088,0.88469,True
True,0.94768,True,18865,0.86145,-33.57577,10,False,Kallisto,10,75,0.81325,0.64684,True
True,0.84630,True,19024,0.91653,-21.46968,0,False,Kallisto,10,100,0.77308,0.89439,True
True,0.94539,True,18862,0.86987,-33.05591,10,False,Kallisto,10,100,0.81306,0.65299,True
True,0.89199,True,18785,0.93573,-29.93247,0,False,Express,10,50,0.79670,0.90296,True
True,0.93836,True,18656,0.87131,-40.07094,10,False,Express,10,50,0.82183,0.63166,True
True,0.88525,True,18841,0.93285,-28.34656,0,False,Express,10,75,0.77974,0.90810,True
True,0.93554,True,18865,0.86369,-39.48629,10,False,Express,10,75,0.79926,0.65178,True
True,0.88341,True,19024,0.92572,-27.50690,0,False,Express,10,100,0.75815,0.91036,True
True,0.93272,True,18862,0.87301,-38.15030,10,False,Express,10,100,0.79058,0.66608,True
True,0.89060,True,18785,0.93060,-29.97797,0,False,Sailfish,10,50,0.82624,0.89261,True
True,0.93895,True,18656,0.87326,-40.02246,10,False,Sailfish,10,50,0.84573,0.63303,True
True,0.87288,True,18841,0.93753,-26.12950,0,False,Sailfish,10,75,0.81121,0.90618,True
True,0.92743,True,18865,0.87650,-35.93770,10,False,Sailfish,10,75,0.83589,0.64554,True
True,0.86759,True,19024,0.93761,-23.33310,0,False,Sailfish,10,100,0.79352,0.91970,True
True,0.92588,True,18862,0.88683,-34.73847,10,False,Sailfish,10,100,0.82992,0.65556,True
True,0.85802,True,18897,0.93235,-16.76660,0,False,Cufflinks,50,50,0.89856,0.89717,False
True,0.87910,True,18809,0.88803,-22.80173,10,False,Cufflinks,50,50,0.90100,0.67600,False
True,0.85544,True,18843,0.93747,-14.18804,0,False,Cufflinks,50,75,0.89227,0.89983,False
True,0.87461,True,18806,0.90227,-21.17883,10,False,Cufflinks,50,75,0.89955,0.69408,False
True,0.86846,True,18739,0.94475,-15.72470,0,False,Cufflinks,50,100,0.88415,0.90613,False
True,0.86915,True,18838,0.90589,-19.97164,10,False,Cufflinks,50,100,0.88677,0.71385,False
True,0.96492,True,18897,0.93135,-53.44488,0,False,Salmon,50,50,0.87718,0.87633,False
True,0.97193,True,18809,0.85367,-59.63781,10,False,Salmon,50,50,0.87373,0.60550,False
True,0.96078,True,18843,0.94228,-51.24694,0,False,Salmon,50,75,0.87916,0.88448,False
True,0.96879,True,18806,0.87996,-54.28119,10,False,Salmon,50,75,0.88754,0.60392,False
True,0.92444,True,18739,0.95387,-41.18935,0,False,Salmon,50,100,0.88297,0.89224,False
True,0.96719,True,18838,0.88676,-53.55588,10,False,Salmon,50,100,0.88470,0.61122,False
True,0.79933,True,18897,0.96351,-12.30310,0,False,RSEM,50,50,0.90633,0.92323,False
True,0.87208,True,18809,0.90065,-25.34251,10,False,RSEM,50,50,0.89744,0.62776,False
True,0.80858,True,18843,0.96417,-13.75154,0,False,RSEM,50,75,0.90081,0.92725,False
True,0.88062,True,18806,0.91505,-26.90917,10,False,RSEM,50,75,0.89838,0.64635,False
True,0.83201,True,18739,0.96722,-24.97654,0,False,RSEM,50,100,0.88884,0.93262,False
True,0.91395,True,18838,0.92322,-31.63799,10,False,RSEM,50,100,0.89097,0.66667,False
True,0.84680,True,18897,0.94142,-20.70951,0,False,Kallisto,50,50,0.90072,0.84900,False
True,0.93827,True,18809,0.87911,-32.84244,10,False,Kallisto,50,50,0.89680,0.57875,False
True,0.83140,True,18843,0.94413,-18.78555,0,False,Kallisto,50,75,0.89550,0.85778,False
True,0.92710,True,18806,0.89165,-30.70162,10,False,Kallisto,50,75,0.89892,0.57739,False
True,0.82390,True,18739,0.95094,-18.18245,0,False,Kallisto,50,100,0.88708,0.86656,False
True,0.92653,True,18838,0.89109,-29.88154,10,False,Kallisto,50,100,0.89325,0.58539,False
True,0.88496,True,18897,0.94522,-29.96621,0,False,Express,50,50,0.87617,0.90344,False
True,0.94434,True,18809,0.86353,-42.92143,10,False,Express,50,50,0.87788,0.56780,False
True,0.87454,True,18843,0.95137,-26.13626,0,False,Express,50,75,0.86711,0.91034,False
True,0.93374,True,18806,0.88184,-37.90569,10,False,Express,50,75,0.87477,0.57917,False
True,0.86349,True,18739,0.95630,-22.81806,0,False,Express,50,100,0.85576,0.91472,False
True,0.92584,True,18838,0.88372,-35.42778,10,False,Express,50,100,0.86575,0.58827,False
True,0.86882,True,18897,0.94646,-27.02927,0,False,Sailfish,50,50,0.90639,0.87845,False
True,0.93737,True,18809,0.87172,-39.00257,10,False,Sailfish,50,50,0.89441,0.59496,False
True,0.85968,True,18843,0.95636,-23.49953,0,False,Sailfish,50,75,0.90585,0.88801,False
True,0.92752,True,18806,0.89064,-35.11612,10,False,Sailfish,50,75,0.90125,0.59752,False
True,0.84332,True,18739,0.96370,-19.92310,0,False,Sailfish,50,100,0.89722,0.90086,False
True,0.91719,True,18838,0.89747,-33.41772,10,False,Sailfish,50,100,0.89595,0.60486,False
True,0.82112,True,18923,0.92979,-16.28813,0,False,Cufflinks,50,50,0.89426,0.88341,True
True,0.88337,True,18880,0.87969,-26.83128,10,False,Cufflinks,50,50,0.89735,0.66778,True
True,0.85967,True,18748,0.93426,-16.44089,0,False,Cufflinks,50,75,0.88793,0.88782,True
True,0.87407,True,18892,0.89273,-23.00656,10,False,Cufflinks,50,75,0.89694,0.69045,True
True,0.80923,True,18871,0.94184,-14.14351,0,False,Cufflinks,50,100,0.88655,0.89458,True
True,0.88425,True,19007,0.90046,-23.00648,10,False,Cufflinks,50,100,0.89320,0.70709,True
True,0.94863,True,18923,0.92996,-49.21354,0,False,Salmon,50,50,0.87671,0.87512,True
True,0.97564,True,18880,0.86394,-61.79535,10,False,Salmon,50,50,0.87399,0.60416,True
True,0.95178,True,18748,0.94369,-49.85345,0,False,Salmon,50,75,0.88004,0.88144,True
True,0.96633,True,18892,0.87616,-55.48878,10,False,Salmon,50,75,0.89069,0.60465,True
True,0.91892,True,18871,0.94688,-40.04269,0,False,Salmon,50,100,0.88363,0.88863,True
True,0.96822,True,19007,0.88774,-55.47468,10,False,Salmon,50,100,0.88873,0.60415,True
True,0.80220,True,18923,0.96387,-12.30924,0,False,RSEM,50,50,0.90414,0.91883,True
True,0.88962,True,18880,0.90080,-27.95467,10,False,RSEM,50,50,0.89349,0.63125,True
True,0.80510,True,18748,0.96678,-15.17112,0,False,RSEM,50,75,0.90020,0.92512,True
True,0.86354,True,18892,0.91084,-24.43404,10,False,RSEM,50,75,0.89721,0.65358,True
True,0.80886,True,18871,0.96130,-15.62200,0,False,RSEM,50,100,0.89057,0.92906,True
True,0.88110,True,19007,0.92059,-26.66777,10,False,RSEM,50,100,0.89667,0.66646,True
True,0.81536,True,18923,0.93505,-18.33162,0,False,Kallisto,50,50,0.89235,0.85456,True
True,0.95551,True,18880,0.86886,-34.16138,10,False,Kallisto,50,50,0.88220,0.58638,True
True,0.81145,True,18748,0.94281,-17.93069,0,False,Kallisto,50,75,0.88969,0.86259,True
True,0.94834,True,18892,0.87423,-31.81410,10,False,Kallisto,50,75,0.89387,0.59033,True
True,0.79964,True,18871,0.93947,-17.12827,0,False,Kallisto,50,100,0.88273,0.87163,True
True,0.94570,True,19007,0.88246,-31.45017,10,False,Kallisto,50,100,0.89157,0.58894,True
True,0.86519,True,18923,0.95616,-24.26308,0,False,Express,50,50,0.87407,0.90328,True
True,0.94258,True,18880,0.87920,-39.67367,10,False,Express,50,50,0.87553,0.58499,True
True,0.85694,True,18748,0.95876,-21.82739,0,False,Express,50,75,0.86932,0.90890,True
True,0.92849,True,18892,0.88575,-36.06615,10,False,Express,50,75,0.87683,0.60030,True
True,0.84675,True,18871,0.95739,-19.93507,0,False,Express,50,100,0.86196,0.91340,True
True,0.92303,True,19007,0.89408,-34.22098,10,False,Express,50,100,0.87215,0.60499,True
True,0.86376,True,18923,0.94992,-24.83640,0,False,Sailfish,50,50,0.90530,0.87700,True
True,0.94269,True,18880,0.87717,-39.33536,10,False,Sailfish,50,50,0.89386,0.59128,True
True,0.85033,True,18748,0.95898,-22.49538,0,False,Sailfish,50,75,0.90511,0.88837,True
True,0.92531,True,18892,0.88782,-34.23326,10,False,Sailfish,50,75,0.90446,0.59848,True
True,0.83016,True,18871,0.96021,-18.49364,0,False,Sailfish,50,100,0.90006,0.90057,True
True,0.92408,True,19007,0.89742,-33.80871,10,False,Sailfish,50,100,0.90204,0.59741,True
True,0.85355,True,18778,0.92856,-16.01051,0,False,Cufflinks,30,50,0.88151,0.89912,False
True,0.88398,True,18988,0.88608,-24.48666,10,False,Cufflinks,30,50,0.88772,0.68354,False
True,0.87012,True,18856,0.93828,-17.85627,0,False,Cufflinks,30,75,0.86874,0.90112,False
True,0.87053,True,18799,0.90010,-20.59494,10,False,Cufflinks,30,75,0.88255,0.70157,False
True,0.86336,True,18647,0.93968,-15.21164,0,False,Cufflinks,30,100,0.85563,0.91100,False
True,0.87472,True,18949,0.90794,-22.34265,10,False,Cufflinks,30,100,0.86728,0.72578,False
True,0.96389,True,18778,0.92837,-53.39927,0,False,Salmon,30,50,0.86458,0.87510,False
True,0.97677,True,18988,0.85629,-61.52966,10,False,Salmon,30,50,0.86602,0.61431,False
True,0.93397,True,18856,0.93938,-44.67395,0,False,Salmon,30,75,0.86323,0.88077,False
True,0.96968,True,18799,0.87731,-55.33761,10,False,Salmon,30,75,0.87446,0.60647,False
True,0.92841,True,18647,0.94474,-41.96588,0,False,Salmon,30,100,0.85419,0.89623,False
True,0.96897,True,18949,0.88604,-54.98333,10,False,Salmon,30,100,0.86912,0.61754,False
True,0.81835,True,18778,0.95766,-14.03245,0,False,RSEM,30,50,0.88849,0.92049,False
True,0.87371,True,18988,0.89825,-26.06048,10,False,RSEM,30,50,0.88498,0.63472,False
True,0.81083,True,18856,0.96197,-12.31150,0,False,RSEM,30,75,0.87861,0.92629,False
True,0.86132,True,18799,0.91291,-24.50367,10,False,RSEM,30,75,0.88622,0.65003,False
True,0.85558,True,18647,0.96109,-30.00123,0,False,RSEM,30,100,0.86148,0.93411,False
True,0.94248,True,18949,0.92026,-37.35684,10,False,RSEM,30,100,0.87218,0.67859,False
True,0.84003,True,18778,0.93462,-20.09588,0,False,Kallisto,30,50,0.88082,0.85232,False
True,0.93933,True,18988,0.87546,-33.02435,10,False,Kallisto,30,50,0.88119,0.59135,False
True,0.83273,True,18856,0.94116,-18.63348,0,False,Kallisto,30,75,0.86980,0.86150,False
True,0.93069,True,18799,0.88893,-30.40695,10,False,Kallisto,30,75,0.88207,0.58777,False
True,0.83526,True,18647,0.94099,-18.35725,0,False,Kallisto,30,100,0.85815,0.87294,False
True,0.92775,True,18949,0.89051,-30.47990,10,False,Kallisto,30,100,0.87498,0.59948,False
True,0.88518,True,18778,0.94192,-29.99208,0,False,Express,30,50,0.85515,0.90375,False
True,0.94065,True,18988,0.86440,-42.34574,10,False,Express,30,50,0.86381,0.57982,False
True,0.87786,True,18856,0.94937,-26.75690,0,False,Express,30,75,0.84291,0.90895,False
True,0.93505,True,18799,0.87700,-38.79630,10,False,Express,30,75,0.85643,0.58695,False
True,0.87633,True,18647,0.94622,-25.89195,0,False,Express,30,100,0.83027,0.91415,False
True,0.93372,True,18949,0.88025,-37.89730,10,False,Express,30,100,0.85556,0.60389,False
True,0.87198,True,18778,0.94305,-25.99315,0,False,Sailfish,30,50,0.89131,0.87973,False
True,0.94460,True,18988,0.87146,-39.74673,10,False,Sailfish,30,50,0.88419,0.60294,False
True,0.85745,True,18856,0.95264,-22.12014,0,False,Sailfish,30,75,0.88258,0.89099,False
True,0.92372,True,18799,0.89017,-35.16163,10,False,Sailfish,30,75,0.88776,0.60336,False
True,0.85284,True,18647,0.95680,-20.44176,0,False,Sailfish,30,100,0.87086,0.90722,False
True,0.92200,True,18949,0.89478,-34.02101,10,False,Sailfish,30,100,0.87978,0.61585,False
True,0.82800,True,19087,0.92523,-16.93011,0,False,Cufflinks,30,50,0.87756,0.88443,True
True,0.89788,True,18958,0.88507,-26.37191,10,False,Cufflinks,30,50,0.88569,0.68045,True
True,0.84271,True,18863,0.93362,-17.85302,0,False,Cufflinks,30,75,0.87059,0.89342,True
True,0.87227,True,18969,0.89916,-23.81547,10,False,Cufflinks,30,75,0.88160,0.70043,True
True,0.90096,True,18740,0.92351,-25.19226,0,False,Cufflinks,30,100,0.86089,0.90261,True
True,0.85847,True,18752,0.91037,-20.13805,10,False,Cufflinks,30,100,0.87063,0.72840,True
True,0.96836,True,19087,0.92618,-55.39935,0,False,Salmon,30,50,0.85818,0.87669,True
True,0.97341,True,18958,0.86233,-59.77515,10,False,Salmon,30,50,0.86892,0.61138,True
True,0.95298,True,18863,0.94051,-49.18369,0,False,Salmon,30,75,0.86322,0.88466,True
True,0.96674,True,18969,0.87941,-53.55992,10,False,Salmon,30,75,0.87833,0.60510,True
True,0.93106,True,18740,0.94559,-44.07088,0,False,Salmon,30,100,0.86478,0.89502,True
True,0.95904,True,18752,0.89098,-49.54299,10,False,Salmon,30,100,0.87479,0.61944,True
True,0.81113,True,19087,0.95883,-14.72205,0,False,RSEM,30,50,0.88641,0.91909,True
True,0.87325,True,18958,0.90014,-25.66345,10,False,RSEM,30,50,0.88453,0.64178,True
True,0.81610,True,18863,0.96161,-15.58631,0,False,RSEM,30,75,0.87658,0.92686,True
True,0.87901,True,18969,0.91355,-26.73197,10,False,RSEM,30,75,0.88244,0.66194,True
True,0.82327,True,18740,0.96077,-21.56762,0,False,RSEM,30,100,0.86868,0.93182,True
True,0.89457,True,18752,0.92143,-29.49215,10,False,RSEM,30,100,0.86967,0.69269,True
True,0.83371,True,19087,0.93084,-20.03581,0,False,Kallisto,30,50,0.87064,0.86004,True
True,0.95316,True,18958,0.86564,-33.55357,10,False,Kallisto,30,50,0.87166,0.60014,True
True,0.82315,True,18863,0.93667,-18.66353,0,False,Kallisto,30,75,0.86646,0.87088,True
True,0.94491,True,18969,0.88000,-31.77834,10,False,Kallisto,30,75,0.87495,0.59979,True
True,0.83565,True,18740,0.93887,-19.30540,0,False,Kallisto,30,100,0.86169,0.87932,True
True,0.94315,True,18752,0.88902,-30.40875,10,False,Kallisto,30,100,0.86993,0.61508,True
True,0.87442,True,19087,0.95022,-26.04539,0,False,Express,30,50,0.85639,0.90269,True
True,0.93691,True,18958,0.87647,-38.77290,10,False,Express,30,50,0.86407,0.59979,True
True,0.86142,True,18863,0.95310,-22.94736,0,False,Express,30,75,0.84721,0.90951,True
True,0.93094,True,18969,0.88564,-36.10409,10,False,Express,30,75,0.86141,0.61075,True
True,0.85656,True,18740,0.95401,-22.51307,0,False,Express,30,100,0.83842,0.91666,True
True,0.92257,True,18752,0.89329,-34.29701,10,False,Express,30,100,0.84876,0.63192,True
True,0.86934,True,19087,0.94511,-26.41639,0,False,Sailfish,30,50,0.88961,0.88022,True
