bias,error-frac,errors,expressed-tpms,gene transcript number,log-tpm-rho,median-percent-error,noise_perc,paired_end,quant_method,read_depth,read_length,sensitivity,specificity,stranded
True,0.86212,True,3358.00000,0,0.92311,-24.41218,0,False,Cufflinks,10,50,0.85259,0.94098,False
True,0.87061,True,5441.00000,1,0.93237,-20.67954,0,False,Cufflinks,10,50,0.83146,0.91173,False
True,0.88732,True,4331.00000,2,0.91358,-23.45292,0,False,Cufflinks,10,50,0.80305,0.89782,False
True,0.87086,True,2478.00000,3,0.92213,-23.30361,0,False,Cufflinks,10,50,0.79701,0.89537,False
True,0.89445,True,3117.00000,4,0.90066,-28.39681,0,False,Cufflinks,10,50,0.77286,0.88306,False
True,0.87730,True,3472.00000,0,0.91048,-27.81573,10,False,Cufflinks,10,50,0.86694,0.79911,False
True,0.88233,True,5439.00000,1,0.91133,-24.10498,10,False,Cufflinks,10,50,0.85825,0.73585,False
True,0.89517,True,4388.00000,2,0.89072,-26.93689,10,False,Cufflinks,10,50,0.83888,0.68956,False
True,0.89825,True,2634.00000,3,0.87285,-29.69940,10,False,Cufflinks,10,50,0.82802,0.67435,False
True,0.90706,True,3131.00000,4,0.83478,-29.45191,10,False,Cufflinks,10,50,0.80517,0.64406,False
True,0.87908,True,3374.00000,0,0.93097,-23.93332,0,False,Cufflinks,10,75,0.83402,0.94629,False
True,0.88222,True,5434.00000,1,0.93692,-21.34719,0,False,Cufflinks,10,75,0.80199,0.91682,False
True,0.89071,True,4273.00000,2,0.92093,-23.76270,0,False,Cufflinks,10,75,0.78142,0.90714,False
True,0.87910,True,2564.00000,3,0.92013,-25.71783,0,False,Cufflinks,10,75,0.76911,0.89798,False
True,0.89537,True,3087.00000,4,0.89730,-29.74023,0,False,Cufflinks,10,75,0.74279,0.89388,False
True,0.89502,True,3372.00000,0,0.89851,-30.53862,10,False,Cufflinks,10,75,0.84786,0.82172,False
True,0.88720,True,5399.00000,1,0.90277,-25.36628,10,False,Cufflinks,10,75,0.83238,0.76270,False
True,0.89929,True,4230.00000,2,0.88717,-26.96565,10,False,Cufflinks,10,75,0.81418,0.72960,False
True,0.90094,True,2544.00000,3,0.88429,-28.93475,10,False,Cufflinks,10,75,0.78970,0.71888,False
True,0.90852,True,3181.00000,4,0.85620,-29.69635,10,False,Cufflinks,10,75,0.79095,0.69892,False
True,0.88006,True,3435.00000,0,0.91433,-23.77920,0,False,Cufflinks,10,100,0.82242,0.94836,False
True,0.88325,True,5499.00000,1,0.93936,-18.81798,0,False,Cufflinks,10,100,0.79596,0.92705,False
True,0.88511,True,4317.00000,2,0.91805,-23.47308,0,False,Cufflinks,10,100,0.76581,0.91236,False
True,0.87216,True,2550.00000,3,0.92111,-18.52297,0,False,Cufflinks,10,100,0.77961,0.90953,False
True,0.89031,True,3118.00000,4,0.91217,-26.91545,0,False,Cufflinks,10,100,0.73861,0.90057,False
True,0.88745,True,3474.00000,0,0.90784,-28.90009,10,False,Cufflinks,10,100,0.83995,0.82642,False
True,0.89341,True,5526.00000,1,0.90480,-26.76693,10,False,Cufflinks,10,100,0.81107,0.77286,False
True,0.89663,True,4334.00000,2,0.89240,-28.42896,10,False,Cufflinks,10,100,0.79211,0.75109,False
True,0.90196,True,2652.00000,3,0.87624,-29.89053,10,False,Cufflinks,10,100,0.77941,0.71892,False
True,0.90806,True,3165.00000,4,0.85849,-30.78951,10,False,Cufflinks,10,100,0.78483,0.70611,False
True,0.96784,True,3358.00000,0,0.95078,-54.73409,0,False,Salmon,10,50,0.85229,0.92595,False
True,0.96508,True,5441.00000,1,0.92851,-54.92254,0,False,Salmon,10,50,0.81786,0.88803,False
True,0.96144,True,4331.00000,2,0.90344,-55.90658,0,False,Salmon,10,50,0.79173,0.87018,False
True,0.96570,True,2478.00000,3,0.90015,-56.23102,0,False,Salmon,10,50,0.79056,0.86546,False
True,0.96407,True,3117.00000,4,0.87431,-58.16112,0,False,Salmon,10,50,0.75778,0.85558,False
True,0.97264,True,3472.00000,0,0.90333,-60.16172,10,False,Salmon,10,50,0.86463,0.69456,False
True,0.96893,True,5439.00000,1,0.88611,-59.41671,10,False,Salmon,10,50,0.84758,0.65495,False
True,0.96969,True,4388.00000,2,0.86613,-60.22706,10,False,Salmon,10,50,0.84116,0.61800,False
True,0.97039,True,2634.00000,3,0.83069,-61.04282,10,False,Salmon,10,50,0.82346,0.60619,False
True,0.97317,True,3131.00000,4,0.77301,-60.67054,10,False,Salmon,10,50,0.80709,0.58347,False
True,0.96769,True,3374.00000,0,0.94270,-54.52953,0,False,Salmon,10,75,0.82958,0.93461,False
True,0.96411,True,5434.00000,1,0.93997,-54.26641,0,False,Salmon,10,75,0.80015,0.90273,False
True,0.95788,True,4273.00000,2,0.92581,-55.17689,0,False,Salmon,10,75,0.78423,0.88686,False
True,0.96139,True,2564.00000,3,0.90742,-56.40876,0,False,Salmon,10,75,0.76872,0.87720,False
True,0.96372,True,3087.00000,4,0.87677,-58.08245,0,False,Salmon,10,75,0.74992,0.86849,False
True,0.97805,True,3372.00000,0,0.90546,-61.26055,10,False,Salmon,10,75,0.85380,0.70737,False
True,0.97685,True,5399.00000,1,0.88032,-61.15564,10,False,Salmon,10,75,0.83164,0.66454,False
True,0.96950,True,4230.00000,2,0.86353,-60.71121,10,False,Salmon,10,75,0.81749,0.64039,False
True,0.97288,True,2544.00000,3,0.86540,-60.67710,10,False,Salmon,10,75,0.80621,0.63193,False
True,0.97359,True,3181.00000,4,0.81604,-60.99082,10,False,Salmon,10,75,0.79566,0.61429,False
True,0.95255,True,3435.00000,0,0.95466,-49.08489,0,False,Salmon,10,100,0.82533,0.93532,False
True,0.94126,True,5499.00000,1,0.93538,-47.91823,0,False,Salmon,10,100,0.79033,0.91066,False
True,0.94811,True,4317.00000,2,0.92774,-50.24376,0,False,Salmon,10,100,0.76697,0.89464,False
True,0.93333,True,2550.00000,3,0.91606,-48.84510,0,False,Salmon,10,100,0.77804,0.88984,False
True,0.93778,True,3118.00000,4,0.89979,-52.07850,0,False,Salmon,10,100,0.73861,0.88501,False
True,0.96862,True,3474.00000,0,0.90848,-56.31620,10,False,Salmon,10,100,0.85809,0.70222,False
True,0.96942,True,5526.00000,1,0.88961,-56.22987,10,False,Salmon,10,100,0.82646,0.66059,False
True,0.96631,True,4334.00000,2,0.87722,-56.15211,10,False,Salmon,10,100,0.81080,0.64332,False
True,0.96493,True,2652.00000,3,0.84024,-55.49497,10,False,Salmon,10,100,0.79751,0.61939,False
