bias,error-frac,errors,expressed-tpms,log-tpm-rho,log10 real TPM,median-percent-error,noise_perc,paired_end,quant_method,read_depth,read_length,sensitivity,specificity,stranded
True,0.96527,True,4665.00000,0.33065,0,-100.00000,0,False,Cufflinks,10,50,0.42144,0.90694,False
True,0.90724,True,2555.00000,0.33700,1,-28.94110,0,False,Cufflinks,10,50,0.81566,1.00000,False
True,0.87217,True,2824.00000,0.47077,2,-20.25244,0,False,Cufflinks,10,50,0.93591,1.00000,False
True,0.84300,True,3121.00000,0.54387,3,-16.10385,0,False,Cufflinks,10,50,0.97693,1.00000,False
True,0.81043,True,5560.00000,0.83457,4,-14.05630,0,False,Cufflinks,10,50,0.99047,1.00000,False
True,0.96453,True,4736.00000,0.22978,0,-62.25919,10,False,Cufflinks,10,50,0.52175,0.71329,False
True,0.91781,True,2555.00000,0.27435,1,-27.21538,10,False,Cufflinks,10,50,0.83914,1.00000,False
True,0.87994,True,2907.00000,0.37902,2,-23.61120,10,False,Cufflinks,10,50,0.93842,1.00000,False
True,0.85944,True,3166.00000,0.53287,3,-23.99256,10,False,Cufflinks,10,50,0.97284,1.00000,False
True,0.83982,True,5700.00000,0.82944,4,-24.58957,10,False,Cufflinks,10,50,0.98912,1.00000,False
True,0.97462,True,4688.00000,0.28852,0,-100.00000,0,False,Cufflinks,10,75,0.35602,0.91363,False
True,0.92433,True,2511.00000,0.33616,1,-33.30893,0,False,Cufflinks,10,75,0.74472,1.00000,False
True,0.88462,True,2834.00000,0.45005,2,-18.95678,0,False,Cufflinks,10,75,0.93402,1.00000,False
True,0.83240,True,3198.00000,0.55801,3,-13.93612,0,False,Cufflinks,10,75,0.98186,1.00000,False
True,0.82258,True,5501.00000,0.84686,4,-11.75915,0,False,Cufflinks,10,75,0.99073,1.00000,False
True,0.97075,True,4649.00000,0.22117,0,-100.00000,10,False,Cufflinks,10,75,0.47365,0.74944,False
True,0.92808,True,2600.00000,0.24510,1,-32.36248,10,False,Cufflinks,10,75,0.76077,1.00000,False
True,0.89654,True,2890.00000,0.40323,2,-24.15704,10,False,Cufflinks,10,75,0.93183,1.00000,False
True,0.86426,True,3212.00000,0.50901,3,-24.83494,10,False,Cufflinks,10,75,0.97447,1.00000,False
True,0.83740,True,5375.00000,0.83690,4,-22.35783,10,False,Cufflinks,10,75,0.98958,1.00000,False
True,0.97915,True,4700.00000,0.23374,0,-100.00000,0,False,Cufflinks,10,100,0.33277,0.92082,False
True,0.91824,True,2483.00000,0.31546,1,-30.18343,0,False,Cufflinks,10,100,0.73943,1.00000,False
True,0.87214,True,2925.00000,0.45162,2,-15.65159,0,False,Cufflinks,10,100,0.92410,1.00000,False
True,0.85159,True,3241.00000,0.53787,3,-13.59401,0,False,Cufflinks,10,100,0.98087,1.00000,False
True,0.80934,True,5570.00000,0.84578,4,-9.04836,0,False,Cufflinks,10,100,0.99048,1.00000,False
True,0.97415,True,4875.00000,0.16814,0,-100.00000,10,False,Cufflinks,10,100,0.43508,0.75929,False
True,0.93669,True,2559.00000,0.20633,1,-32.29492,10,False,Cufflinks,10,100,0.74248,1.00000,False
True,0.89448,True,2919.00000,0.39035,2,-27.50257,10,False,Cufflinks,10,100,0.91333,1.00000,False
True,0.86129,True,3237.00000,0.49382,3,-23.33995,10,False,Cufflinks,10,100,0.98054,1.00000,False
True,0.83204,True,5561.00000,0.85005,4,-22.31251,10,False,Cufflinks,10,100,0.99317,1.00000,False
True,0.97342,True,4665.00000,0.31909,0,-100.00000,0,False,Salmon,10,50,0.39271,0.88245,False
True,0.96360,True,2555.00000,0.36891,1,-58.73681,0,False,Salmon,10,50,0.79804,1.00000,False
True,0.94653,True,2824.00000,0.48855,2,-55.25400,0,False,Salmon,10,50,0.92776,1.00000,False
True,0.96764,True,3121.00000,0.55938,3,-52.30301,0,False,Salmon,10,50,0.97757,1.00000,False
True,0.96529,True,5560.00000,0.86282,4,-50.84260,0,False,Salmon,10,50,0.99281,1.00000,False
True,0.97340,True,4736.00000,0.16306,0,-73.16566,10,False,Salmon,10,50,0.52280,0.63530,False
True,0.95616,True,2555.00000,0.21228,1,-58.39961,10,False,Salmon,10,50,0.82114,1.00000,False
True,0.95150,True,2907.00000,0.31127,2,-60.02124,10,False,Salmon,10,50,0.92673,1.00000,False
True,0.97063,True,3166.00000,0.51258,3,-59.48167,10,False,Salmon,10,50,0.97220,1.00000,False
True,0.98474,True,5700.00000,0.84887,4,-59.62017,10,False,Salmon,10,50,0.99175,1.00000,False
True,0.97419,True,4688.00000,0.29330,0,-100.00000,0,False,Salmon,10,75,0.34962,0.89579,False
True,0.95062,True,2511.00000,0.32588,1,-60.00921,0,False,Salmon,10,75,0.75070,1.00000,False
True,0.95060,True,2834.00000,0.47111,2,-54.09892,0,False,Salmon,10,75,0.93013,1.00000,False
True,0.95810,True,3198.00000,0.59826,3,-51.89533,0,False,Salmon,10,75,0.98499,1.00000,False
True,0.96801,True,5501.00000,0.88250,4,-50.30115,0,False,Salmon,10,75,0.99509,1.00000,False
True,0.97957,True,4649.00000,0.16011,0,-100.00000,10,False,Salmon,10,75,0.49236,0.65413,False
True,0.96038,True,2600.00000,0.22863,1,-60.84003,10,False,Salmon,10,75,0.75692,1.00000,False
True,0.95606,True,2890.00000,0.35783,2,-60.23961,10,False,Salmon,10,75,0.92595,1.00000,False
True,0.97509,True,3212.00000,0.54420,3,-59.74187,10,False,Salmon,10,75,0.97790,1.00000,False
True,0.98586,True,5375.00000,0.87351,4,-60.33974,10,False,Salmon,10,75,0.99256,1.00000,False
True,0.97596,True,4700.00000,0.23900,0,-100.00000,0,False,Salmon,10,100,0.32149,0.90442,False
True,0.94362,True,2483.00000,0.32433,1,-54.97667,0,False,Salmon,10,100,0.73741,1.00000,False
True,0.92718,True,2925.00000,0.49158,2,-47.16991,0,False,Salmon,10,100,0.92513,1.00000,False
True,0.93335,True,3241.00000,0.61059,3,-45.17616,0,False,Salmon,10,100,0.98396,1.00000,False
True,0.92962,True,5570.00000,0.88339,4,-43.24716,0,False,Salmon,10,100,0.99497,1.00000,False
True,0.98113,True,4875.00000,0.11426,0,-100.00000,10,False,Salmon,10,100,0.48862,0.64972,False
True,0.94256,True,2559.00000,0.17250,1,-53.88464,10,False,Salmon,10,100,0.75342,1.00000,False
True,0.94861,True,2919.00000,0.36593,2,-55.04969,10,False,Salmon,10,100,0.92258,1.00000,False
True,0.95984,True,3237.00000,0.51775,3,-54.79063,10,False,Salmon,10,100,0.98116,1.00000,False
True,0.98058,True,5561.00000,0.87855,4,-55.51448,10,False,Salmon,10,100,0.99550,1.00000,False
True,0.95863,True,4665.00000,0.35153,0,-100.00000,0,False,RSEM,10,50,0.41693,0.92619,False
True,0.88023,True,2555.00000,0.38880,1,-23.33472,0,False,RSEM,10,50,0.82270,1.00000,False
True,0.83605,True,2824.00000,0.54892,2,-16.94915,0,False,RSEM,10,50,0.94582,1.00000,False
True,0.78981,True,3121.00000,0.64269,3,-12.29288,0,False,RSEM,10,50,0.98911,1.00000,False
