bias,error-frac,errors,expressed-tpms,log-tpm-rho,median-percent-error,noise_perc,paired_end,quant_method,read_depth,read_length,sensitivity,specificity,stranded,transcript length
True,0.89065,True,1637.00000,0.90732,13.95801,0,False,Cufflinks,10,50,0.80574,0.87499,False,0
True,0.86677,True,8174.00000,0.92122,-15.19409,0,False,Cufflinks,10,50,0.80181,0.89578,False,1
True,0.89682,True,5757.00000,0.91708,-37.31974,0,False,Cufflinks,10,50,0.81153,0.91930,False,2
True,0.85999,True,3157.00000,0.94369,-28.85420,0,False,Cufflinks,10,50,0.85651,0.93064,False,3
True,0.86597,True,1716.00000,0.89426,9.75551,10,False,Cufflinks,10,50,0.84907,0.66423,False,0
True,0.88098,True,8234.00000,0.89451,-19.11252,10,False,Cufflinks,10,50,0.84649,0.68524,False,1
True,0.91337,True,5933.00000,0.87438,-41.70390,10,False,Cufflinks,10,50,0.82286,0.74342,False,2
True,0.88651,True,3181.00000,0.91480,-32.81821,10,False,Cufflinks,10,50,0.86514,0.75730,False,3
True,0.89876,True,1689.00000,0.91308,9.77362,0,False,Cufflinks,10,75,0.76436,0.89065,False,0
True,0.87410,True,8189.00000,0.92634,-16.98934,0,False,Cufflinks,10,75,0.77567,0.90706,False,1
True,0.90360,True,5830.00000,0.91854,-36.60614,0,False,Cufflinks,10,75,0.79280,0.92092,False,2
True,0.87302,True,3024.00000,0.94416,-28.94310,0,False,Cufflinks,10,75,0.83036,0.92978,False,3
True,0.87137,True,1757.00000,0.89842,7.93486,10,False,Cufflinks,10,75,0.81616,0.71899,False,0
True,0.89309,True,8007.00000,0.88280,-20.86662,10,False,Cufflinks,10,75,0.80754,0.73387,False,1
True,0.91519,True,5825.00000,0.88836,-42.11097,10,False,Cufflinks,10,75,0.81116,0.76981,False,2
True,0.88652,True,3137.00000,0.91011,-32.39468,10,False,Cufflinks,10,75,0.85974,0.76880,False,3
True,0.91120,True,1768.00000,0.91509,13.84242,0,False,Cufflinks,10,100,0.74943,0.90871,False,0
True,0.87459,True,8022.00000,0.92818,-15.14264,0,False,Cufflinks,10,100,0.77001,0.91699,False,1
True,0.89327,True,5931.00000,0.91597,-34.69801,0,False,Cufflinks,10,100,0.78317,0.92446,False,2
True,0.86804,True,3198.00000,0.94195,-26.89162,0,False,Cufflinks,10,100,0.82927,0.93070,False,3
True,0.88856,True,1687.00000,0.87642,3.81547,10,False,Cufflinks,10,100,0.80735,0.75134,False,0
True,0.89326,True,8357.00000,0.88890,-21.18914,10,False,Cufflinks,10,100,0.79406,0.75026,False,1
True,0.91299,True,5953.00000,0.89348,-41.72527,10,False,Cufflinks,10,100,0.79405,0.76966,False,2
True,0.87920,True,3154.00000,0.91466,-33.36035,10,False,Cufflinks,10,100,0.84306,0.76778,False,3
True,0.88393,True,1637.00000,0.88939,-22.00553,0,False,Salmon,10,50,0.81979,0.81445,False,0
True,0.95290,True,8174.00000,0.91049,-45.35989,0,False,Salmon,10,50,0.79667,0.87398,False,1
True,0.98906,True,5757.00000,0.92230,-61.26473,0,False,Salmon,10,50,0.80024,0.91357,False,2
True,0.99240,True,3157.00000,0.95270,-61.29367,0,False,Salmon,10,50,0.82388,0.88399,False,3
