bias,error-frac,errors,expressed-tpms,log-tpm-rho,median-percent-error,noise_perc,paired_end,quant_method,read_depth,read_length,sensitivity,specificity,stranded,unique sequence length
True,0.89088,True,8138.00000,0.90297,-32.08323,0,False,Cufflinks,10,50,0.78213,0.89515,False,0
True,0.87070,True,3078.00000,0.92158,-19.75908,0,False,Cufflinks,10,50,0.82976,0.87400,False,1
True,0.86941,True,3423.00000,0.93458,-14.75084,0,False,Cufflinks,10,50,0.81420,0.91188,False,2
True,0.86111,True,2880.00000,0.93855,-13.93164,0,False,Cufflinks,10,50,0.85069,0.94871,False,3
True,0.85821,True,1206.00000,0.95448,-23.74135,0,False,Cufflinks,10,50,0.90630,0.95725,False,4
True,0.90419,True,8277.00000,0.87151,-37.31986,10,False,Cufflinks,10,50,0.79365,0.75212,False,0
True,0.88394,True,3119.00000,0.89311,-23.58175,10,False,Cufflinks,10,50,0.85348,0.71191,False,1
True,0.88156,True,3580.00000,0.91119,-18.38108,10,False,Cufflinks,10,50,0.86955,0.66505,False,2
True,0.88237,True,2780.00000,0.90046,-12.75667,10,False,Cufflinks,10,50,0.89712,0.65798,False,3
True,0.86315,True,1308.00000,0.92459,-23.88810,10,False,Cufflinks,10,50,0.93502,0.72194,False,4
True,0.89808,True,8144.00000,0.90692,-31.96595,0,False,Cufflinks,10,75,0.75835,0.90233,False,0
True,0.88788,True,3086.00000,0.91283,-22.50464,0,False,Cufflinks,10,75,0.77122,0.88446,False,1
True,0.87020,True,3490.00000,0.94065,-15.69878,0,False,Cufflinks,10,75,0.80602,0.91706,False,2
True,0.87482,True,2796.00000,0.94643,-15.49091,0,False,Cufflinks,10,75,0.82868,0.95348,False,3
True,0.86102,True,1216.00000,0.96779,-19.42031,0,False,Cufflinks,10,75,0.89638,0.95973,False,4
True,0.91137,True,8101.00000,0.87936,-36.89166,10,False,Cufflinks,10,75,0.78114,0.78171,False,0
True,0.89309,True,3068.00000,0.88397,-25.97610,10,False,Cufflinks,10,75,0.80313,0.76298,False,1
True,0.88867,True,3494.00000,0.90576,-20.02132,10,False,Cufflinks,10,75,0.83515,0.71506,False,2
True,0.88370,True,2786.00000,0.88321,-15.24164,10,False,Cufflinks,10,75,0.87581,0.69296,False,3
True,0.86453,True,1277.00000,0.92154,-20.71476,10,False,Cufflinks,10,75,0.91778,0.72786,False,4
True,0.88517,True,8195.00000,0.90987,-29.72906,0,False,Cufflinks,10,100,0.75741,0.91049,False,0
True,0.89274,True,3114.00000,0.92139,-18.63968,0,False,Cufflinks,10,100,0.78099,0.89467,False,1
True,0.88641,True,3451.00000,0.93436,-16.55347,0,False,Cufflinks,10,100,0.77833,0.92817,False,2
True,0.87202,True,2813.00000,0.94118,-13.53255,0,False,Cufflinks,10,100,0.80839,0.95301,False,3
True,0.85810,True,1346.00000,0.95238,-17.91423,0,False,Cufflinks,10,100,0.89153,0.95995,False,4
True,0.91035,True,8355.00000,0.88564,-38.58054,10,False,Cufflinks,10,100,0.76182,0.79081,False,0
True,0.89219,True,3061.00000,0.89841,-28.20962,10,False,Cufflinks,10,100,0.79484,0.78202,False,1
True,0.89037,True,3530.00000,0.89807,-18.79896,10,False,Cufflinks,10,100,0.81190,0.73525,False,2
True,0.88379,True,2900.00000,0.88634,-12.78986,10,False,Cufflinks,10,100,0.86483,0.68921,False,3
True,0.86513,True,1305.00000,0.91839,-22.62200,10,False,Cufflinks,10,100,0.92874,0.72143,False,4
True,0.97112,True,8138.00000,0.88808,-59.54723,0,False,Salmon,10,50,0.76714,0.87489,False,0
True,0.96036,True,3078.00000,0.90702,-53.54231,0,False,Salmon,10,50,0.81124,0.84533,False,1
True,0.94771,True,3423.00000,0.92981,-49.98951,0,False,Salmon,10,50,0.81595,0.88177,False,2
True,0.96146,True,2880.00000,0.95376,-50.97875,0,False,Salmon,10,50,0.85382,0.93254,False,3
True,0.98756,True,1206.00000,0.98213,-57.18467,0,False,Salmon,10,50,0.88723,0.91256,False,4
True,0.97982,True,8277.00000,0.83871,-65.64070,10,False,Salmon,10,50,0.77830,0.71020,False,0
True,0.96890,True,3119.00000,0.87057,-58.19042,10,False,Salmon,10,50,0.85059,0.64050,False,1
True,0.95559,True,3580.00000,0.87844,-53.69535,10,False,Salmon,10,50,0.88156,0.58004,False,2
True,0.96691,True,2780.00000,0.87936,-51.77461,10,False,Salmon,10,50,0.90791,0.55455,False,3
True,0.96636,True,1308.00000,0.90483,-60.15899,10,False,Salmon,10,50,0.93578,0.46784,False,4
True,0.96979,True,8144.00000,0.89985,-58.76500,0,False,Salmon,10,75,0.75368,0.88720,False,0
True,0.95269,True,3086.00000,0.91537,-54.40020,0,False,Salmon,10,75,0.78743,0.86236,False,1
