bias,error-frac,errors,expressed-tpms,log-tpm-rho,median-percent-error,noise_perc,paired_end,quant_method,read_depth,read_length,sensitivity,specificity,stranded,unique sequence percentage
True,0.88291,True,12998.00000,0.91256,-28.91085,0,False,Cufflinks,10,50,0.80051,0.89454,False,0
True,0.86069,True,2132.00000,0.94373,-15.15188,0,False,Cufflinks,10,50,0.83865,0.90976,False,1
True,0.87070,True,1423.00000,0.92959,-12.26105,0,False,Cufflinks,10,50,0.82923,0.93327,False,2
True,0.86583,True,1118.00000,0.93867,-7.10090,0,False,Cufflinks,10,50,0.84973,0.95011,False,3
True,0.85674,True,1054.00000,0.93135,-4.73961,0,False,Cufflinks,10,50,0.87856,0.97196,False,4
True,0.89831,True,13266.00000,0.88327,-33.67551,10,False,Cufflinks,10,50,0.81856,0.73678,False,0
True,0.88467,True,2133.00000,0.90898,-17.14163,10,False,Cufflinks,10,50,0.88326,0.65232,False,1
True,0.85597,True,1465.00000,0.90443,-8.89904,10,False,Cufflinks,10,50,0.90375,0.63622,False,2
True,0.87747,True,1061.00000,0.90931,-2.12663,10,False,Cufflinks,10,50,0.91800,0.64129,False,3
True,0.86918,True,1139.00000,0.89668,-8.56434,10,False,Cufflinks,10,50,0.89552,0.72346,False,4
True,0.89272,True,13022.00000,0.91315,-29.79376,0,False,Cufflinks,10,75,0.76954,0.90112,False,0
True,0.86820,True,2170.00000,0.94610,-13.70337,0,False,Cufflinks,10,75,0.83687,0.91970,False,1
True,0.86533,True,1448.00000,0.94851,-10.68494,0,False,Cufflinks,10,75,0.81423,0.94143,False,2
True,0.88270,True,1006.00000,0.94618,-5.90916,0,False,Cufflinks,10,75,0.81909,0.95245,False,3
True,0.86004,True,1086.00000,0.94507,-5.77926,0,False,Cufflinks,10,75,0.86188,0.97582,False,4
True,0.90680,True,13037.00000,0.88532,-34.42783,10,False,Cufflinks,10,75,0.79765,0.77176,False,0
True,0.88216,True,2113.00000,0.91229,-19.69892,10,False,Cufflinks,10,75,0.84856,0.70023,False,1
True,0.87948,True,1394.00000,0.89364,-12.71444,10,False,Cufflinks,10,75,0.85438,0.67744,False,2
True,0.85079,True,1079.00000,0.90354,-0.45275,10,False,Cufflinks,10,75,0.89898,0.66994,False,3
True,0.87398,True,1103.00000,0.85851,-5.62379,10,False,Cufflinks,10,75,0.87851,0.75141,False,4
True,0.88672,True,13118.00000,0.91526,-27.12865,0,False,Cufflinks,10,100,0.77154,0.90978,False,0
True,0.87747,True,2122.00000,0.93788,-16.59597,0,False,Cufflinks,10,100,0.78511,0.92919,False,1
True,0.87307,True,1489.00000,0.94515,-9.34897,0,False,Cufflinks,10,100,0.80121,0.94128,False,2
True,0.86542,True,1018.00000,0.94922,-6.36628,0,False,Cufflinks,10,100,0.82417,0.95631,False,3
True,0.87543,True,1172.00000,0.93103,-4.16563,0,False,Cufflinks,10,100,0.83618,0.97456,False,4
True,0.90379,True,13263.00000,0.89164,-35.61354,10,False,Cufflinks,10,100,0.77803,0.78330,False,0
True,0.88037,True,2165.00000,0.90251,-18.52424,10,False,Cufflinks,10,100,0.82771,0.71173,False,1
True,0.88036,True,1563.00000,0.89326,-8.36094,10,False,Cufflinks,10,100,0.87652,0.68230,False,2
True,0.87731,True,1027.00000,0.88737,-5.45577,10,False,Cufflinks,10,100,0.87050,0.67574,False,3
True,0.88438,True,1133.00000,0.88262,-5.04721,10,False,Cufflinks,10,100,0.89056,0.74761,False,4
True,0.97053,True,12998.00000,0.90064,-58.39367,0,False,Salmon,10,50,0.78558,0.87234,False,0
True,0.95310,True,2132.00000,0.94018,-49.69565,0,False,Salmon,10,50,0.83912,0.87973,False,1
True,0.94729,True,1423.00000,0.93546,-49.22286,0,False,Salmon,10,50,0.82783,0.90464,False,2
True,0.94902,True,1118.00000,0.94966,-48.44044,0,False,Salmon,10,50,0.85868,0.91924,False,3
