"","bias","errors","noise_perc","paired_end","read_depth","read_length","stranded","Cufflinks","Express","RSEM","Kallisto","Sailfish","Salmon"
"1","True","True",0,"False",10,100,"False",0.71,0.76576,0.55485,0.68044,0.68675,0.84859
"2","True","True",0,"False",10,100,"True",0.7141,0.76267,0.58255,0.68007,0.68111,0.84222
"3","True","True",0,"False",10,50,"False",0.70536,0.79378,0.31612,0.6582,0.70945,0.90483
"4","True","True",0,"False",10,50,"True",0.793,0.80379,0.40842,0.66635,0.7505,0.92229
"5","True","True",0,"False",10,75,"False",0.7135,0.7663,0.37506,0.68152,0.69808,0.89441
"6","True","True",0,"False",10,75,"True",0.75346,0.78001,0.43419,0.67931,0.71752,0.89721
"7","True","True",0,"False",30,100,"False",0.6926,0.7419,0.52845,0.65916,0.6547,0.84839
"8","True","True",0,"False",30,100,"True",0.67468,0.75182,0.65236,0.65399,0.67497,0.87275
"9","True","True",0,"False",30,50,"False",0.69576,0.77874,0.25487,0.64114,0.69366,0.9195
"10","True","True",0,"False",30,50,"True",0.69064,0.78071,0.35952,0.64694,0.71743,0.91069
"11","True","True",0,"False",30,75,"False",0.69358,0.74621,0.32043,0.65478,0.67518,0.88292
"12","True","True",0,"False",30,75,"True",0.77743,0.7673,0.42223,0.65418,0.69389,0.90453
"13","True","True",0,"False",50,100,"False",0.67209,0.73398,0.81148,0.64991,0.64563,0.84871
"14","True","True",0,"False",50,100,"True",0.66287,0.72858,0.68376,0.66021,0.64995,0.82137
"15","True","True",0,"False",50,50,"False",0.6799,0.7716,0.24877,0.63073,0.68208,0.91881
"16","True","True",0,"False",50,50,"True",0.88939,0.77409,0.31597,0.63059,0.70038,0.91568
"17","True","True",0,"False",50,75,"False",0.67019,0.74147,0.27956,0.64577,0.64888,0.87422
"18","True","True",0,"False",50,75,"True",0.67718,0.75359,0.37269,0.64979,0.67841,0.8741
"19","True","True",0,"True",10,100,"False",0.79042,0.81275,0.80401,0.79042,0.80857,0.80629
"20","True","True",0,"True",10,100,"True",0.78659,0.82064,0.79987,0.78687,0.80186,0.80641
"21","True","True",0,"True",10,50,"False",0.78601,0.8073,0.80207,0.77251,0.80245,0.7938
"22","True","True",0,"True",10,50,"True",0.78402,0.80383,0.80515,0.78299,0.82977,0.79987
"23","True","True",0,"True",10,75,"False",0.78975,0.81033,0.80787,0.78314,0.8175,0.80325
"24","True","True",0,"True",10,75,"True",0.78391,0.8044,0.86132,0.78695,0.84728,0.8063
"25","True","True",0,"True",30,100,"False",0.7669,0.79294,0.80619,0.77599,0.80761,0.79237
"26","True","True",0,"True",30,100,"True",0.76964,0.80179,0.91014,0.77492,0.90042,0.79406
"27","True","True",0,"True",30,50,"False",0.77385,0.79456,0.80245,0.77471,0.80226,0.78706
"28","True","True",0,"True",30,50,"True",0.76651,0.79353,0.81892,0.77348,0.8194,0.78971
"29","True","True",0,"True",30,75,"False",0.77187,0.79383,0.81071,0.77168,0.80666,0.78676
"30","True","True",0,"True",30,75,"True",0.77184,0.79437,0.79523,0.78125,0.79855,0.79694
"31","True","True",0,"True",50,100,"False",0.75801,0.78155,0.83845,0.77257,0.85812,0.78344
"32","True","True",0,"True",50,100,"True",0.76054,0.7805,0.84944,0.77208,0.84566,0.78986
"33","True","True",0,"True",50,50,"False",0.77421,0.80034,0.78694,0.77402,0.79474,0.79198
"34","True","True",0,"True",50,50,"True",0.76941,0.78549,0.82862,0.7714,0.82313,0.79306
"35","True","True",0,"True",50,75,"False",0.77452,0.77983,0.81948,0.76522,0.81683,0.7805
"36","True","True",0,"True",50,75,"True",0.7572,0.78602,0.81115,0.77024,0.80765,0.78838
"37","True","True",10,"False",10,100,"False",0.74878,0.84959,0.91493,0.80277,0.84912,0.91779
"38","True","True",10,"False",10,100,"True",0.75837,0.86424,0.85349,0.82323,0.84802,0.91722
"39","True","True",10,"False",10,50,"False",0.78058,0.8713,0.83228,0.80981,0.86726,0.92582
"40","True","True",10,"False",10,50,"True",0.76936,0.88516,0.83642,0.79712,0.87381,0.92751
"41","True","True",10,"False",10,75,"False",0.75512,0.86036,0.79769,0.79299,0.84542,0.91026
"42","True","True",10,"False",10,75,"True",0.77824,0.87006,0.8214,0.82624,0.86,0.92308
"43","True","True",10,"False",30,100,"False",0.74788,0.85759,0.84609,0.81396,0.85759,0.91758
"44","True","True",10,"False",30,100,"True",0.76199,0.85881,0.92032,0.8218,0.86032,0.9207
"45","True","True",10,"False",30,50,"False",0.75233,0.86766,0.82771,0.79406,0.8592,0.93364
"46","True","True",10,"False",30,50,"True",0.85396,0.86961,0.8201,0.79147,0.85633,0.92404
"47","True","True",10,"False",30,75,"False",0.75804,0.86637,0.8176,0.80004,0.85826,0.92068
"48","True","True",10,"False",30,75,"True",0.76911,0.86549,0.80573,0.79599,0.84957,0.91635
"49","True","True",10,"False",50,100,"False",0.72983,0.84816,0.9069,0.79478,0.84364,0.91857
"50","True","True",10,"False",50,100,"True",0.87515,0.84898,0.82836,0.80746,0.84757,0.9098
"51","True","True",10,"False",50,50,"False",0.75405,0.87224,0.84267,0.79784,0.86741,0.92939
"52","True","True",10,"False",50,50,"True",0.82001,0.87369,0.83878,0.80068,0.87359,0.9391
"53","True","True",10,"False",50,75,"False",0.75045,0.86073,0.82422,0.79513,0.85531,0.91862
"54","True","True",10,"False",50,75,"True",0.81667,0.8626,0.79446,0.80306,0.85334,0.9193
"55","True","True",10,"True",10,100,"False",0.80396,0.82653,0.81993,0.89624,0.92589,0.89395
"56","True","True",10,"True",10,100,"True",0.81468,0.83424,0.82104,0.89718,0.91987,0.89747
"57","True","True",10,"True",10,50,"False",0.8036,0.82491,0.83598,0.91165,0.92689,0.90862
"58","True","True",10,"True",10,50,"True",0.79981,0.82216,0.90176,0.9127,0.94142,0.90946
"59","True","True",10,"True",10,75,"False",0.80462,0.82478,0.82336,0.89863,0.92445,0.89505
"60","True","True",10,"True",10,75,"True",0.80116,0.83476,0.84852,0.89816,0.92929,0.89
"61","True","True",10,"True",30,100,"False",0.79045,0.81248,0.90897,0.89626,0.93542,0.8956
"62","True","True",10,"True",30,100,"True",0.78358,0.8105,0.8021,0.89467,0.91347,0.89203
"63","True","True",10,"True",30,50,"False",0.79425,0.81823,0.89039,0.9051,0.94056,0.90434
"64","True","True",10,"True",30,50,"True",0.79486,0.82243,0.83008,0.91863,0.93826,0.91353
"65","True","True",10,"True",30,75,"False",0.80186,0.81456,0.83502,0.89245,0.92921,0.89245
"66","True","True",10,"True",30,75,"True",0.79478,0.81498,0.86354,0.89986,0.93419,0.89891
"67","True","True",10,"True",50,100,"False",0.78605,0.81918,0.85617,0.90399,0.93477,0.90616
"68","True","True",10,"True",50,100,"True",0.79086,0.80625,0.91462,0.89572,0.94453,0.89638
"69","True","True",10,"True",50,50,"False",0.80062,0.81233,0.82356,0.90683,0.93071,0.90456
"70","True","True",10,"True",50,50,"True",0.79525,0.81127,0.85073,0.9124,0.93871,0.90573
"71","True","True",10,"True",50,75,"False",0.79615,0.81941,0.85336,0.89579,0.92525,0.89559
"72","True","True",10,"True",50,75,"True",0.7898,0.80257,0.8092,0.88921,0.91877,0.89331
