"","bias","errors","noise_perc","paired_end","read_depth","read_length","stranded","Cufflinks","Express","RSEM","Kallisto","Sailfish","Salmon"
"1","True","True",0,"False",10,100,"False",10455,10455,10455,10455,10455,10455
"2","True","True",0,"False",10,100,"True",10521,10521,10521,10521,10521,10521
"3","True","True",0,"False",10,50,"False",10518,10518,10518,10518,10518,10518
"4","True","True",0,"False",10,50,"True",10565,10565,10565,10565,10565,10565
"5","True","True",0,"False",10,75,"False",10569,10569,10569,10569,10569,10569
"6","True","True",0,"False",10,75,"True",10546,10546,10546,10546,10546,10546
"7","True","True",0,"False",30,100,"False",10527,10527,10527,10527,10527,10527
"8","True","True",0,"False",30,100,"True",10436,10436,10436,10436,10436,10436
"9","True","True",0,"False",30,50,"False",10472,10472,10472,10472,10472,10472
"10","True","True",0,"False",30,50,"True",10525,10525,10525,10525,10525,10525
"11","True","True",0,"False",30,75,"False",10489,10489,10489,10489,10489,10489
"12","True","True",0,"False",30,75,"True",10653,10653,10653,10653,10653,10653
"13","True","True",0,"False",50,100,"False",10503,10503,10503,10503,10503,10503
"14","True","True",0,"False",50,100,"True",10530,10530,10530,10530,10530,10530
"15","True","True",0,"False",50,50,"False",10556,10556,10556,10556,10556,10556
"16","True","True",0,"False",50,50,"True",10460,10460,10460,10460,10460,10460
"17","True","True",0,"False",50,75,"False",10606,10606,10606,10606,10606,10606
"18","True","True",0,"False",50,75,"True",10588,10588,10588,10588,10588,10588
"19","True","True",0,"True",10,100,"False",10526,10526,10526,10526,10526,10526
"20","True","True",0,"True",10,100,"True",10543,10543,10543,10543,10543,10543
"21","True","True",0,"True",10,50,"False",10519,10519,10519,10519,10519,10519
"22","True","True",0,"True",10,50,"True",10603,10603,10603,10603,10603,10603
"23","True","True",0,"True",10,75,"False",10592,10592,10592,10592,10592,10592
"24","True","True",0,"True",10,75,"True",10542,10542,10542,10542,10542,10542
"25","True","True",0,"True",30,100,"False",10562,10562,10562,10562,10562,10562
"26","True","True",0,"True",30,100,"True",10605,10605,10605,10605,10605,10605
"27","True","True",0,"True",30,50,"False",10524,10524,10524,10524,10524,10524
"28","True","True",0,"True",30,50,"True",10476,10476,10476,10476,10476,10476
"29","True","True",0,"True",30,75,"False",10608,10608,10608,10608,10608,10608
"30","True","True",0,"True",30,75,"True",10519,10519,10519,10519,10519,10519
"31","True","True",0,"True",50,100,"False",10579,10579,10579,10579,10579,10579
"32","True","True",0,"True",50,100,"True",10574,10574,10574,10574,10574,10574
"33","True","True",0,"True",50,50,"False",10523,10523,10523,10523,10523,10523
"34","True","True",0,"True",50,50,"True",10573,10573,10573,10573,10573,10573
"35","True","True",0,"True",50,75,"False",10542,10542,10542,10542,10542,10542
"36","True","True",0,"True",50,75,"True",10585,10585,10585,10585,10585,10585
"37","True","True",10,"False",10,100,"False",10485,10485,10485,10485,10485,10485
"38","True","True",10,"False",10,100,"True",10607,10607,10607,10607,10607,10607
"39","True","True",10,"False",10,50,"False",10637,10637,10637,10637,10637,10637
"40","True","True",10,"False",10,50,"True",10484,10484,10484,10484,10484,10484
"41","True","True",10,"False",10,75,"False",10642,10642,10642,10642,10642,10642
"42","True","True",10,"False",10,75,"True",10543,10543,10543,10543,10543,10543
"43","True","True",10,"False",30,100,"False",10519,10519,10519,10519,10519,10519
"44","True","True",10,"False",30,100,"True",10567,10567,10567,10567,10567,10567
"45","True","True",10,"False",30,50,"False",10639,10639,10639,10639,10639,10639
"46","True","True",10,"False",30,50,"True",10545,10545,10545,10545,10545,10545
"47","True","True",10,"False",30,75,"False",10477,10477,10477,10477,10477,10477
"48","True","True",10,"False",30,75,"True",10676,10676,10676,10676,10676,10676
"49","True","True",10,"False",50,100,"False",10623,10623,10623,10623,10623,10623
"50","True","True",10,"False",50,100,"True",10621,10621,10621,10621,10621,10621
"51","True","True",10,"False",50,50,"False",10551,10551,10551,10551,10551,10551
"52","True","True",10,"False",50,50,"True",10656,10656,10656,10656,10656,10656
"53","True","True",10,"False",50,75,"False",10519,10519,10519,10519,10519,10519
"54","True","True",10,"False",50,75,"True",10582,10582,10582,10582,10582,10582
"55","True","True",10,"True",10,100,"False",10457,10457,10457,10457,10457,10457
"56","True","True",10,"True",10,100,"True",10533,10533,10533,10533,10533,10533
"57","True","True",10,"True",10,50,"False",10560,10560,10560,10560,10560,10560
"58","True","True",10,"True",10,50,"True",10515,10515,10515,10515,10515,10515
"59","True","True",10,"True",10,75,"False",10615,10615,10615,10615,10615,10615
"60","True","True",10,"True",10,75,"True",10536,10536,10536,10536,10536,10536
"61","True","True",10,"True",30,100,"False",10623,10623,10623,10623,10623,10623
"62","True","True",10,"True",30,100,"True",10586,10586,10586,10586,10586,10586
"63","True","True",10,"True",30,50,"False",10464,10464,10464,10464,10464,10464
"64","True","True",10,"True",30,50,"True",10593,10593,10593,10593,10593,10593
"65","True","True",10,"True",30,75,"False",10553,10553,10553,10553,10553,10553
"66","True","True",10,"True",30,75,"True",10545,10545,10545,10545,10545,10545
"67","True","True",10,"True",50,100,"False",10624,10624,10624,10624,10624,10624
"68","True","True",10,"True",50,100,"True",10529,10529,10529,10529,10529,10529
"69","True","True",10,"True",50,50,"False",10593,10593,10593,10593,10593,10593
"70","True","True",10,"True",50,50,"True",10491,10491,10491,10491,10491,10491
"71","True","True",10,"True",50,75,"False",10488,10488,10488,10488,10488,10488
"72","True","True",10,"True",50,75,"True",10723,10723,10723,10723,10723,10723
