"","bias","errors","noise_perc","paired_end","read_depth","read_length","stranded","Cufflinks","Express","RSEM","Kallisto","Sailfish","Salmon"
"1","True","True",0,"False",10,100,"False",0.98004,0.9861,0.99458,0.99284,0.99079,0.98376
"2","True","True",0,"False",10,100,"True",0.97777,0.98534,0.99313,0.99185,0.98896,0.98044
"3","True","True",0,"False",10,50,"False",0.97296,0.98549,0.99487,0.99229,0.98823,0.97936
"4","True","True",0,"False",10,50,"True",0.96786,0.98606,0.99439,0.99213,0.98778,0.97907
"5","True","True",0,"False",10,75,"False",0.97668,0.98737,0.99548,0.99294,0.98984,0.98177
"6","True","True",0,"False",10,75,"True",0.97249,0.98604,0.99299,0.9915,0.98849,0.98079
"7","True","True",0,"False",30,100,"False",0.97924,0.98944,0.99565,0.99333,0.99135,0.98484
"8","True","True",0,"False",30,100,"True",0.97697,0.98844,0.99475,0.99266,0.99089,0.98251
"9","True","True",0,"False",30,50,"False",0.97549,0.98908,0.9964,0.99362,0.99048,0.98313
"10","True","True",0,"False",30,50,"True",0.97263,0.98826,0.99359,0.99245,0.98787,0.97918
"11","True","True",0,"False",30,75,"False",0.97686,0.98914,0.99577,0.9929,0.9904,0.98291
"12","True","True",0,"False",30,75,"True",0.9711,0.98908,0.99494,0.99336,0.99032,0.98323
"13","True","True",0,"False",50,100,"False",0.98072,0.99068,0.99537,0.99268,0.99147,0.98417
"14","True","True",0,"False",50,100,"True",0.97872,0.99087,0.99609,0.99352,0.99242,0.98491
"15","True","True",0,"False",50,50,"False",0.97814,0.99027,0.997,0.99448,0.99118,0.9836
"16","True","True",0,"False",50,50,"True",0.94373,0.98904,0.99441,0.99276,0.9885,0.98102
"17","True","True",0,"False",50,75,"False",0.98063,0.99105,0.9976,0.99504,0.99302,0.98577
"18","True","True",0,"False",50,75,"True",0.9783,0.98947,0.99482,0.99199,0.99007,0.98226
"19","True","True",0,"True",10,100,"False",0.97551,0.98635,0.98824,0.9885,0.98823,0.98566
"20","True","True",0,"True",10,100,"True",0.9774,0.98728,0.989,0.9888,0.98858,0.98509
"21","True","True",0,"True",10,50,"False",0.97684,0.98766,0.98953,0.98928,0.98903,0.98679
"22","True","True",0,"True",10,50,"True",0.97662,0.98784,0.99053,0.99074,0.99055,0.98777
"23","True","True",0,"True",10,75,"False",0.97653,0.9868,0.98895,0.98924,0.98897,0.98586
"24","True","True",0,"True",10,75,"True",0.97647,0.98818,0.98938,0.98919,0.98906,0.98693
"25","True","True",0,"True",30,100,"False",0.97474,0.98885,0.9898,0.98983,0.98978,0.98781
"26","True","True",0,"True",30,100,"True",0.97691,0.98888,0.99007,0.99016,0.98989,0.98787
"27","True","True",0,"True",30,50,"False",0.97709,0.99004,0.99084,0.99072,0.99061,0.98893
"28","True","True",0,"True",30,50,"True",0.9748,0.98928,0.99008,0.9903,0.99012,0.98785
"29","True","True",0,"True",30,75,"False",0.97856,0.98905,0.99026,0.99062,0.9905,0.9882
"30","True","True",0,"True",30,75,"True",0.9797,0.98921,0.99038,0.99037,0.99048,0.98804
"31","True","True",0,"True",50,100,"False",0.98008,0.98938,0.99092,0.99114,0.99104,0.98915
"32","True","True",0,"True",50,100,"True",0.98153,0.98996,0.99147,0.9915,0.99122,0.98935
"33","True","True",0,"True",50,50,"False",0.97529,0.98955,0.99007,0.99032,0.99015,0.98823
