"","bias","errors","noise_perc","paired_end","read_depth","read_length","stranded","Cufflinks","Express","RSEM","Kallisto","Sailfish","Salmon"
"1","True","True",0,"False",10,100,"False",-2.19693,-15.08744,-8.14789,-5.10105,-6.56652,-23.53241
"2","True","True",0,"False",10,100,"True",-1.71534,-14.86047,-8.98618,-6.30472,-6.97519,-24.96382
"3","True","True",0,"False",10,50,"False",-0.91684,-18.43383,-1.90275,-5.07343,-8.98585,-31.55478
"4","True","True",0,"False",10,50,"True",-2.45769,-21.92743,-4.45795,-8.2799,-12.22335,-36.95326
"5","True","True",0,"False",10,75,"False",-0.48481,-15.46446,-2.50177,-6.50155,-7.81168,-30.14308
"6","True","True",0,"False",10,75,"True",-3.04305,-18.47188,-3.71519,-7.18716,-10.31468,-31.80127
"7","True","True",0,"False",30,100,"False",-0.53528,-13.0726,-8.42287,-5.61888,-5.23558,-23.52284
"8","True","True",0,"False",30,100,"True",-1.94866,-16.48624,-11.84258,-8.0476,-8.09441,-27.07701
"9","True","True",0,"False",30,50,"False",0.43446,-18.29792,-2.50189,-5.95138,-9.89719,-35.52392
"10","True","True",0,"False",30,50,"True",-3.07733,-19.04333,-4.40295,-5.89801,-11.19888,-33.78453
"11","True","True",0,"False",30,75,"False",-0.30805,-15.32823,-2.50175,-5.37981,-7.59607,-27.78128
"12","True","True",0,"False",30,75,"True",0.08962,-17.91902,-5.00137,-6.38297,-9.18667,-31.96759
"13","True","True",0,"False",50,100,"False",-2.20078,-13.46108,-15.94193,-5.37065,-6.16768,-23.77696
"14","True","True",0,"False",50,100,"True",-1.83282,-13.56619,-13.05284,-6.76866,-6.77582,-23.4374
"15","True","True",0,"False",50,50,"False",-1.12671,-17.09804,-2.5016,-4.94194,-9.48113,-34.22578
"16","True","True",0,"False",50,50,"True",-7.4738,-18.57554,-3.80474,-6.93738,-10.40001,-33.88007
"17","True","True",0,"False",50,75,"False",-0.88571,-13.11854,-2.0184,-4.01297,-6.41976,-25.73045
"18","True","True",0,"False",50,75,"True",-1.26113,-16.18585,-3.58554,-6.65329,-8.59151,-29.41717
"19","True","True",0,"True",10,100,"False",-8.58563,-17.55517,-22.85856,-15.36318,-23.09116,-16.30446
"20","True","True",0,"True",10,100,"True",-9.36997,-19.0883,-21.96302,-16.51228,-22.21225,-18.425
"21","True","True",0,"True",10,50,"False",-10.55886,-18.83949,-22.92157,-17.60868,-23.96676,-18.28101
"22","True","True",0,"True",10,50,"True",-6.65058,-15.03526,-22.30274,-16.28648,-26.36792,-16.62038
"23","True","True",0,"True",10,75,"False",-7.15493,-18.13147,-22.98587,-17.18559,-24.89022,-18.27441
"24","True","True",0,"True",10,75,"True",-6.99458,-16.33282,-29.7946,-16.04172,-28.88096,-17.3408
"25","True","True",0,"True",30,100,"False",-6.11352,-16.15327,-23.10391,-14.33558,-23.39598,-14.91201
"26","True","True",0,"True",30,100,"True",-7.11983,-17.59877,-32.70192,-17.35978,-32.83259,-18.70868
"27","True","True",0,"True",30,50,"False",-6.48362,-18.10083,-23.61434,-16.53837,-23.85211,-17.92249
"28","True","True",0,"True",30,50,"True",-3.93803,-14.76936,-25.65505,-18.84397,-26.29489,-19.13197
"29","True","True",0,"True",30,75,"False",-6.28544,-15.39206,-23.5046,-15.92351,-23.76528,-16.71982
"30","True","True",0,"True",30,75,"True",-4.84014,-14.6714,-21.74575,-14.96906,-22.46681,-15.57509
"31","True","True",0,"True",50,100,"False",-5.4321,-13.39981,-26.56863,-14.12374,-28.92761,-16.7021
"32","True","True",0,"True",50,100,"True",-4.3207,-13.28793,-28.30923,-18.43633,-28.27814,-18.0974
"33","True","True",0,"True",50,50,"False",-6.19581,-16.08732,-21.04513,-16.61046,-22.1563,-17.52111
"34","True","True",0,"True",50,50,"True",-7.30928,-17.40192,-26.39486,-16.63926,-26.13607,-18.19512
"35","True","True",0,"True",50,75,"False",-4.99691,-14.89778,-25.29336,-14.31399,-25.25081,-14.86712
"36","True","True",0,"True",50,75,"True",-4.22941,-12.88841,-24.54709,-14.14089,-24.67199,-14.47735
"37","True","True",10,"False",10,100,"False",0.26352,-7.58265,-21.83506,-5.06377,-7.19177,-25.31869
"38","True","True",10,"False",10,100,"True",-0.85247,-11.14074,-13.35968,-8.41954,-8.55745,-25.34752
"39","True","True",10,"False",10,50,"False",-0.55326,-10.44108,-7.92771,-6.65046,-10.69737,-32.30117
"40","True","True",10,"False",10,50,"True",-2.31582,-12.93237,-7.09596,-4.07261,-10.37629,-32.23758
"41","True","True",10,"False",10,75,"False",0.44852,-7.42138,-7.66988,-3.65586,-6.76399,-22.95096
"42","True","True",10,"False",10,75,"True",-1.83005,-10.94005,-8.44287,-6.94308,-9.207,-28.50948
"43","True","True",10,"False",30,100,"False",-0.31401,-7.07206,-12.35463,-5.50755,-7.78041,-24.6117
"44","True","True",10,"False",30,100,"True",-0.27086,-7.82774,-21.85022,-6.03503,-7.67568,-24.90348
"45","True","True",10,"False",30,50,"False",-1.84141,-8.87437,-7.94422,-5.12426,-9.71632,-32.16617
"46","True","True",10,"False",30,50,"True",5.86475,-10.79589,-7.95315,-5.29949,-8.56612,-30.10279
"47","True","True",10,"False",30,75,"False",-1.83184,-6.95783,-7.20652,-3.50482,-7.55102,-27.91429
"48","True","True",10,"False",30,75,"True",0.41486,-10.56979,-8.45217,-5.56192,-8.65913,-27.88464
"49","True","True",10,"False",50,100,"False",-0.13812,-5.9755,-20.36151,-4.86937,-7.46516,-25.75124
"50","True","True",10,"False",50,100,"True",7.07721,-7.09909,-11.04664,-5.1734,-7.03816,-22.89546
"51","True","True",10,"False",50,50,"False",-1.00073,-8.5918,-8.90436,-4.24721,-9.49837,-30.91144
"52","True","True",10,"False",50,50,"True",5.33941,-9.45427,-8.89035,-5.64651,-10.03149,-38.74899
"53","True","True",10,"False",50,75,"False",-1.04725,-5.03308,-8.60692,-3.94299,-6.99677,-24.69058
"54","True","True",10,"False",50,75,"True",2.38648,-7.86545,-6.62588,-4.77506,-7.4755,-26.72964
"55","True","True",10,"True",10,100,"False",-2.31099,-11.60853,-16.00148,-15.92136,-25.03389,-15.62521
"56","True","True",10,"True",10,100,"True",-6.42986,-15.41125,-17.25241,-16.22064,-22.65313,-16.16785
"57","True","True",10,"True",10,50,"False",-2.56861,-8.16372,-16.86553,-16.51246,-24.53941,-14.96126
"58","True","True",10,"True",10,50,"True",-3.10793,-10.22692,-26.22134,-18.06506,-32.57788,-16.77172
"59","True","True",10,"True",10,75,"False",-4.76497,-9.78145,-16.32391,-15.27206,-25.71691,-14.30138
"60","True","True",10,"True",10,75,"True",-3.85711,-12.49875,-21.78187,-17.12446,-27.54923,-15.467
"61","True","True",10,"True",30,100,"False",-1.54603,-11.08974,-27.97232,-17.64714,-29.91784,-17.24052
"62","True","True",10,"True",30,100,"True",-1.67147,-10.89507,-13.71821,-14.98043,-22.79733,-15.13065
"63","True","True",10,"True",30,50,"False",0.2663,-8.22797,-23.59715,-17.42693,-31.30102,-16.75132
"64","True","True",10,"True",30,50,"True",-3.54674,-11.74887,-17.21046,-20.01625,-28.96244,-17.96252
"65","True","True",10,"True",30,75,"False",-0.88964,-7.9459,-19.19446,-13.99864,-25.82799,-13.48234
"66","True","True",10,"True",30,75,"True",-1.59766,-12.32511,-22.01621,-16.22249,-26.33345,-15.68596
"67","True","True",10,"True",50,100,"False",-1.30001,-11.52479,-21.75369,-16.4521,-28.71354,-17.29812
"68","True","True",10,"True",50,100,"True",1.30853,-6.66124,-28.82458,-14.94354,-31.67614,-15.51735
"69","True","True",10,"True",50,50,"False",-4.08648,-8.7132,-16.02658,-16.3455,-24.73822,-15.11562
"70","True","True",10,"True",50,50,"True",-2.4948,-8.06853,-20.90446,-17.847,-29.45248,-15.54965
"71","True","True",10,"True",50,75,"False",-1.82088,-8.81442,-20.4113,-14.4218,-25.12993,-14.76517
"72","True","True",10,"True",50,75,"True",-0.50056,-8.64038,-15.52501,-14.18333,-23.11382,-14.23787
