"","bias","errors","noise_perc","paired_end","read_depth","read_length","stranded","Cufflinks","Express","RSEM","Kallisto","Sailfish","Salmon"
"1","True","True",0,"False",10,100,"False",0.93859,0.90493,0.94519,0.94634,0.94567,0.94194
"2","True","True",0,"False",10,100,"True",0.93993,0.91427,0.94649,0.94744,0.94639,0.9406
"3","True","True",0,"False",10,50,"False",0.95798,0.91957,0.97072,0.96834,0.96663,0.95845
"4","True","True",0,"False",10,50,"True",0.95958,0.92778,0.96971,0.96886,0.96621,0.95627
"5","True","True",0,"False",10,75,"False",0.94172,0.90974,0.94824,0.94834,0.94692,0.93926
"6","True","True",0,"False",10,75,"True",0.94936,0.91912,0.9578,0.95761,0.95638,0.94614
"7","True","True",0,"False",30,100,"False",0.97435,0.93626,0.98072,0.98034,0.98053,0.97321
"8","True","True",0,"False",30,100,"True",0.97442,0.94337,0.97978,0.98007,0.97969,0.9702
"9","True","True",0,"False",30,50,"False",0.97775,0.94996,0.98644,0.98577,0.98224,0.97068
"10","True","True",0,"False",30,50,"True",0.97834,0.94888,0.98746,0.98736,0.98413,0.96855
"11","True","True",0,"False",30,75,"False",0.9755,0.9407,0.98484,0.9837,0.9817,0.97359
"12","True","True",0,"False",30,75,"True",0.974,0.94471,0.98423,0.98357,0.98141,0.97081
"13","True","True",0,"False",50,100,"False",0.98172,0.95316,0.98467,0.98829,0.98753,0.9782
"14","True","True",0,"False",50,100,"True",0.97816,0.94967,0.98215,0.98528,0.98443,0.9754
"15","True","True",0,"False",50,50,"False",0.97764,0.94941,0.98408,0.98626,0.98105,0.96732
"16","True","True",0,"False",50,50,"True",0.96549,0.95526,0.98423,0.98518,0.98117,0.96759
"17","True","True",0,"False",50,75,"False",0.98124,0.95182,0.98623,0.98727,0.98454,0.97407
"18","True","True",0,"False",50,75,"True",0.98092,0.95079,0.98848,0.98697,0.98593,0.97535
"19","True","True",0,"True",10,100,"False",0.89854,0.90357,0.90614,0.90642,0.90576,0.90576
"20","True","True",0,"True",10,100,"True",0.90117,0.9023,0.90743,0.9079,0.90771,0.90771
"21","True","True",0,"True",10,50,"False",0.93783,0.93621,0.94153,0.94258,0.94144,0.9421
"22","True","True",0,"True",10,50,"True",0.93879,0.93323,0.94303,0.94464,0.94275,0.94464
"23","True","True",0,"True",10,75,"False",0.91966,0.92088,0.92617,0.92532,0.92428,0.9257
"24","True","True",0,"True",10,75,"True",0.91994,0.92146,0.92478,0.9262,0.92516,0.92629
"25","True","True",0,"True",30,100,"False",0.95881,0.95768,0.96345,0.96544,0.96336,0.9645
"26","True","True",0,"True",30,100,"True",0.95728,0.95248,0.9554,0.96049,0.95662,0.96021
"27","True","True",0,"True",30,50,"False",0.97377,0.96522,0.97501,0.97881,0.97577,0.97815
"28","True","True",0,"True",30,50,"True",0.97165,0.96277,0.97289,0.97566,0.97432,0.97537
