"","bias","errors","noise_perc","paired_end","read_depth","read_length","stranded","Cufflinks","Express","RSEM","Kallisto","Sailfish","Salmon"
"1","True","True",0,"False",10,100,"False",0.99062,0.98466,0.98658,0.98423,0.98231,0.98029
"2","True","True",0,"False",10,100,"True",0.99217,0.98369,0.98852,0.9868,0.98509,0.98122
"3","True","True",0,"False",10,50,"False",0.98917,0.98455,0.98477,0.9823,0.97951,0.97329
"4","True","True",0,"False",10,50,"True",0.98933,0.98534,0.98458,0.9807,0.98135,0.97844
"5","True","True",0,"False",10,75,"False",0.9876,0.98156,0.98587,0.98425,0.98199,0.97897
"6","True","True",0,"False",10,75,"True",0.98903,0.98451,0.98408,0.98128,0.98225,0.98214
"7","True","True",0,"False",30,100,"False",0.98626,0.98432,0.98701,0.98175,0.98153,0.97788
"8","True","True",0,"False",30,100,"True",0.98692,0.98352,0.98373,0.98086,0.98129,0.97937
"9","True","True",0,"False",30,50,"False",0.98004,0.98239,0.97855,0.97449,0.97246,0.97118
"10","True","True",0,"False",30,50,"True",0.9781,0.97864,0.97445,0.96833,0.96962,0.9664
"11","True","True",0,"False",30,75,"False",0.98514,0.98439,0.98225,0.98075,0.97615,0.97337
"12","True","True",0,"False",30,75,"True",0.98019,0.98019,0.97791,0.97475,0.97366,0.97442
"13","True","True",0,"False",50,100,"False",0.98212,0.98544,0.98469,0.97826,0.97655,0.9743
"14","True","True",0,"False",50,100,"True",0.98292,0.98314,0.98217,0.97508,0.97616,0.97476
"15","True","True",0,"False",50,50,"False",0.98201,0.98244,0.98288,0.97652,0.97523,0.97232
"16","True","True",0,"False",50,50,"True",0.97985,0.98433,0.9838,0.97612,0.97815,0.97783
"17","True","True",0,"False",50,75,"False",0.97899,0.98224,0.97759,0.97509,0.97152,0.97163
"18","True","True",0,"False",50,75,"True",0.98076,0.98346,0.98011,0.97655,0.97568,0.97579
"19","True","True",0,"True",10,100,"False",0.99538,0.97069,0.98218,0.99227,0.99109,0.98937
"20","True","True",0,"True",10,100,"True",0.99613,0.9886,0.99301,0.99247,0.99086,0.98989
"21","True","True",0,"True",10,50,"False",0.99464,0.96986,0.9823,0.99142,0.99131,0.98841
"22","True","True",0,"True",10,50,"True",0.99513,0.98939,0.9921,0.99264,0.99242,0.99015
"23","True","True",0,"True",10,75,"False",0.99546,0.96637,0.97405,0.99265,0.99124,0.98908
"24","True","True",0,"True",10,75,"True",0.99548,0.98763,0.99215,0.99193,0.99097,0.98978
"25","True","True",0,"True",30,100,"False",0.99235,0.97058,0.98189,0.9889,0.98718,0.98524
"26","True","True",0,"True",30,100,"True",0.99318,0.99112,0.99188,0.99177,0.99123,0.99145
"27","True","True",0,"True",30,50,"False",0.9898,0.96759,0.97832,0.98744,0.98755,0.98454
"28","True","True",0,"True",30,50,"True",0.99039,0.98665,0.98783,0.98655,0.98612,0.98548
"29","True","True",0,"True",30,75,"False",0.99209,0.9609,0.97541,0.98874,0.98798,0.9857
"30","True","True",0,"True",30,75,"True",0.99474,0.99131,0.99131,0.99002,0.98959,0.98841
"31","True","True",0,"True",50,100,"False",0.99125,0.96469,0.98003,0.98985,0.98931,0.98715
"32","True","True",0,"True",50,100,"True",0.99158,0.98856,0.98986,0.9891,0.98856,0.98651
"33","True","True",0,"True",50,50,"False",0.98648,0.96705,0.97746,0.98519,0.98573,0.9809
"34","True","True",0,"True",50,50,"True",0.98813,0.98824,0.98824,0.98435,0.9864,0.98274
"35","True","True",0,"True",50,75,"False",0.99043,0.95784,0.96967,0.98828,0.98914,0.98462
"36","True","True",0,"True",50,75,"True",0.99157,0.98952,0.98844,0.98714,0.98628,0.98617
"37","True","True",10,"False",10,100,"False",0.73589,0.40316,0.54575,0.51753,0.49562,0.52223
"38","True","True",10,"False",10,100,"True",0.7611,0.47379,0.58469,0.54538,0.5339,0.55122
"39","True","True",10,"False",10,50,"False",0.71806,0.38722,0.49359,0.50771,0.50456,0.51456
"40","True","True",10,"False",10,50,"True",0.72235,0.4261,0.50839,0.50764,0.49717,0.51384
"41","True","True",10,"False",10,75,"False",0.72845,0.39037,0.52267,0.51179,0.50255,0.51799
"42","True","True",10,"False",10,75,"True",0.73779,0.44913,0.54151,0.52119,0.50946,0.52474
"43","True","True",10,"False",30,100,"False",0.70875,0.36033,0.5207,0.4852,0.4808,0.49796
"44","True","True",10,"False",30,100,"True",0.72353,0.41805,0.55068,0.50108,0.48167,0.51208
"45","True","True",10,"False",30,50,"False",0.69365,0.35905,0.48544,0.49413,0.49044,0.51
"46","True","True",10,"False",30,50,"True",0.72558,0.42943,0.51269,0.51398,0.50377,0.52743
"47","True","True",10,"False",30,75,"False",0.69276,0.34558,0.4858,0.47608,0.47127,0.48985
"48","True","True",10,"False",30,75,"True",0.72373,0.43306,0.53868,0.5126,0.5018,0.52635
"49","True","True",10,"False",50,100,"False",0.70709,0.36082,0.53081,0.49013,0.47136,0.50141
"50","True","True",10,"False",50,100,"True",0.74154,0.42646,0.55597,0.51074,0.50239,0.52169
"51","True","True",10,"False",50,50,"False",0.68784,0.34144,0.47675,0.48439,0.48493,0.49795
"52","True","True",10,"False",50,50,"True",0.70354,0.40501,0.49995,0.49777,0.48873,0.51181
"53","True","True",10,"False",50,75,"False",0.68623,0.34649,0.49464,0.48273,0.47737,0.49206
"54","True","True",10,"False",50,75,"True",0.72222,0.41786,0.52911,0.50286,0.49206,0.51442
"55","True","True",10,"True",10,100,"False",0.81,0.68041,0.71419,0.54369,0.55211,0.54092
