bias,error-frac,errors,expressed-tpms,log-tpm-rho,median-percent-error,noise_perc,paired_end,quant_method,read_depth,read_length,sensitivity,specificity,stranded
True,0.70536,True,10518,0.97296,-0.91684,0,False,Cufflinks,10,50,0.95798,0.98917,False
True,0.78058,True,10637,0.91737,-0.55326,10,False,Cufflinks,10,50,0.97311,0.71806,False
True,0.71350,True,10569,0.97668,-0.48481,0,False,Cufflinks,10,75,0.94172,0.98760,False
True,0.75512,True,10642,0.92823,0.44852,10,False,Cufflinks,10,75,0.96749,0.72845,False
True,0.71000,True,10455,0.98004,-2.19693,0,False,Cufflinks,10,100,0.93859,0.99062,False
True,0.74878,True,10485,0.93587,0.26352,10,False,Cufflinks,10,100,0.96662,0.73589,False
True,0.90483,True,10518,0.97936,-31.55478,0,False,Salmon,10,50,0.95845,0.97329,False
True,0.92582,True,10637,0.89284,-32.30117,10,False,Salmon,10,50,0.98167,0.51456,False
True,0.89441,True,10569,0.98177,-30.14308,0,False,Salmon,10,75,0.93926,0.97897,False
True,0.91026,True,10642,0.89625,-22.95096,10,False,Salmon,10,75,0.97942,0.51799,False
True,0.84859,True,10455,0.98376,-23.53241,0,False,Salmon,10,100,0.94194,0.98029,False
True,0.91779,True,10485,0.89233,-25.31869,10,False,Salmon,10,100,0.98140,0.52223,False
True,0.31612,True,10518,0.99487,-1.90275,0,False,RSEM,10,50,0.97072,0.98477,False
True,0.83228,True,10637,0.91246,-7.92771,10,False,RSEM,10,50,0.98740,0.49359,False
True,0.37506,True,10569,0.99548,-2.50177,0,False,RSEM,10,75,0.94824,0.98587,False
True,0.79769,True,10642,0.91966,-7.66988,10,False,RSEM,10,75,0.98280,0.52267,False
True,0.55485,True,10455,0.99458,-8.14789,0,False,RSEM,10,100,0.94519,0.98658,False
True,0.91493,True,10485,0.92805,-21.83506,10,False,RSEM,10,100,0.98159,0.54575,False
True,0.65820,True,10518,0.99229,-5.07343,0,False,Kallisto,10,50,0.96834,0.98230,False
True,0.80981,True,10637,0.91340,-6.65046,10,False,Kallisto,10,50,0.98665,0.50771,False
True,0.68152,True,10569,0.99294,-6.50155,0,False,Kallisto,10,75,0.94834,0.98425,False
