bias,errors,max-memory,noise_perc,paired_end,quant_method,read_depth,read_length,real-time,stranded,sys-time,user-time
True,True,28.947120666503906,0,False,Cufflinks,10,50,3.803369018682043,False,2.6959542398999683,4.4718692613059385
True,True,28.93932342529297,10,False,Cufflinks,10,50,3.805459397707759,False,2.741750212980885,4.535550822357288
True,True,28.934215545654297,0,False,Cufflinks,10,75,3.5202214358819597,False,2.6795732428256254,4.3745443446202215
True,True,28.938491821289066,10,False,Cufflinks,10,75,3.712592465249597,False,2.7400941335250306,4.48080060232752
True,True,28.94354248046875,0,False,Cufflinks,10,100,3.660197402593179,False,2.6061448036993764,4.3743341944940255
True,True,28.942668914794922,10,False,Cufflinks,10,100,3.7653294790488463,False,2.6358455081701933,4.457723433569162
True,True,2.202827453613281,0,False,Salmon,10,50,1.896636430529584,False,1.3895204658463771,2.7479165080965102
True,True,2.3454322814941406,10,False,Salmon,10,50,2.3568668466823857,False,1.3142886609474975,3.227616792824108
True,True,2.1579132080078125,0,False,Salmon,10,75,1.8344207036815323,False,1.1583624920952498,2.6885977750811696
True,True,2.251697540283203,10,False,Salmon,10,75,2.322198613551892,False,1.2603099457949198,3.2363155232536585
True,True,2.146202087402344,0,False,Salmon,10,100,1.7522789854601186,False,1.0354297381845483,2.609316884293086
True,True,2.185283660888672,10,False,Salmon,10,100,2.3844071823089927,False,1.2683439139510646,3.3041219966709527
True,True,1.4767494201660156,0,False,RSEM,10,50,3.515754661190856,False,2.9110883292480327,4.3161545143992655
True,True,2.3716278076171875,10,False,RSEM,10,50,3.797815085371105,False,3.3179046214430223,4.606791923270895
True,True,1.1980018615722656,0,False,RSEM,10,75,3.3197325742796586,False,2.8156441491319653,4.1046072768072674
True,True,1.7389984130859375,10,False,RSEM,10,75,3.701320979992514,False,3.2431447479364772,4.506442792598898
True,True,1.050518035888672,0,False,RSEM,10,100,3.211072461716856,False,2.7630159672005017,3.9938302235722776
True,True,1.465301513671875,10,False,RSEM,10,100,3.5347417210847203,False,3.1772189593327163,4.342268676385313
True,True,3.798168182373047,0,False,Kallisto,10,50,1.8943714538562375,False,0.8727388274726688,2.020734085411516
True,True,3.8271331787109375,10,False,Kallisto,10,50,2.1435768321589963,False,1.0240749873074262,2.436480695009495
True,True,3.794593811035156,0,False,Kallisto,10,75,1.9049858810993636,False,1.0086001717619175,1.9969929818907055
True,True,3.80434799194336,10,False,Kallisto,10,75,2.079434510633744,False,1.0519239160461065,2.468627906261565
True,True,3.7915000915527344,0,False,Kallisto,10,100,1.8325089127062364,False,0.9079485216122722,1.9212181211949504
True,True,3.797687530517578,10,False,Kallisto,10,100,2.059260404121731,False,1.1351326513767748,2.4662891641358664
True,True,4.193927764892578,0,False,Express,10,50,3.4649989558793934,False,2.8869191680617257,3.9612691830922597
True,True,4.193550109863281,10,False,Express,10,50,3.801598515661158,False,3.2950984688595235,4.364238716362549
True,True,4.183517456054688,0,False,Express,10,75,3.318096740945771,False,2.8063767190993,3.8176526163079063
True,True,4.1953125,10,False,Express,10,75,3.7377760824030712,False,3.202638141881668,4.2925630710637135
True,True,4.192485809326172,0,False,Express,10,100,3.2941045309425223,False,2.7557300667123563,3.7602829740751953
True,True,4.192455291748047,10,False,Express,10,100,3.650019841368525,False,3.16278538050044,4.2204893672224415
True,True,3.216594696044922,0,False,Sailfish,10,50,1.6574383227029623,False,0.9159272116971158,2.38937874795251
True,True,3.2610321044921875,10,False,Sailfish,10,50,2.1919258517114364,False,1.2662316966898932,3.0431263979672254
True,True,3.209461212158203,0,False,Sailfish,10,75,1.5621738633646485,False,0.8363241157067517,2.2799633674587367
True,True,3.2340049743652344,10,False,Sailfish,10,75,2.2253351318185404,False,1.209515014542631,3.0862031716263054
True,True,3.210674285888672,0,False,Sailfish,10,100,1.5719416350744624,False,0.8825245379548805,2.274504222655884
True,True,3.22818374633789,10,False,Sailfish,10,100,2.242442036037531,False,1.2370407913791908,3.1040396121507743
True,True,28.941486358642575,0,False,Cufflinks,10,50,3.5930555638911668,True,2.608012278215345,4.398000458256725
True,True,28.945003509521484,10,False,Cufflinks,10,50,3.852829972010887,True,2.815431630801565,4.531319348376186
True,True,28.92052459716797,0,False,Cufflinks,10,75,3.698524189455424,True,2.7714698894686634,4.394324701176319
True,True,28.941410064697266,10,False,Cufflinks,10,75,3.701746673852611,True,2.6457267582611363,4.4565721981400435
True,True,28.947296142578125,0,False,Cufflinks,10,100,3.6277763985421454,True,2.5926873917661624,4.3607654691406434
True,True,28.95257568359375,10,False,Cufflinks,10,100,3.6468750181431346,True,2.606607053590708,4.413534957202884
True,True,2.185249328613281,0,False,Salmon,10,50,1.9461573949223725,True,1.4454485142660498,2.775705086952445
True,True,2.357147216796875,10,False,Salmon,10,50,2.3298248443129186,True,1.2853322276438846,3.2384626251992588
True,True,2.1774444580078125,0,False,Salmon,10,75,1.7918309476748362,True,1.1978316933289028,2.642879819748733
True,True,2.214580535888672,10,False,Salmon,10,75,2.2939809562344275,True,1.172894697752176,3.2134911938303343
True,True,2.144248962402344,0,False,Salmon,10,100,1.8027053270743518,True,1.0546130545568877,2.651006495088454
True,True,2.191143035888672,10,False,Salmon,10,100,2.3439793994775977,True,1.2817149700272958,3.261636320419385
True,True,1.4361839294433594,0,False,RSEM,10,50,3.356857299125762,True,2.982167170853665,4.133113027163899
True,True,2.312755584716797,10,False,RSEM,10,50,3.6584855209627247,True,3.360178610078985,4.443427440462616
True,True,1.227802276611328,0,False,RSEM,10,75,3.1863318354375063,True,2.903654203157319,3.966462288063317
True,True,1.7569580078125,10,False,RSEM,10,75,3.6726814531224967,True,3.279272158862208,4.471478446878748
True,True,1.0710372924804688,0,False,RSEM,10,100,3.239864820240577,True,2.8695485217500063,4.019045633922775
True,True,1.4499473571777344,10,False,RSEM,10,100,3.463042970190592,True,3.2067908073597122,4.257418400146995
True,True,3.7959060668945312,0,False,Kallisto,10,50,1.9133369259326232,True,0.8813846567705729,2.043283665570575
True,True,3.819786071777344,10,False,Kallisto,10,50,2.0862174156933437,True,1.1172712956557642,2.426771434792697
True,True,3.793300628662109,0,False,Kallisto,10,75,1.864036182725775,True,0.8260748027008264,1.9815014881482467
True,True,3.8001632690429688,10,False,Kallisto,10,75,2.099611590392529,True,1.0346284566253203,2.529597161225425
True,True,3.7920074462890634,0,False,Kallisto,10,100,1.7896512087934096,True,0.8432327780980093,1.889581802149624
True,True,3.7934532165527344,10,False,Kallisto,10,100,2.0031588339508617,True,1.0972573096934202,2.432696769735502
True,True,4.192710876464844,0,False,Express,10,50,3.4024488196187863,True,2.9428609139235227,3.891813890939377
True,True,4.1957969665527335,10,False,Express,10,50,3.82394999696047,True,3.3808061793767927,4.322787641647575
True,True,4.1922607421875,0,False,Express,10,75,3.4235686068714415,True,2.88349109018893,3.856934210580607
True,True,4.196239471435547,10,False,Express,10,75,3.704217458260629,True,3.2976861167559366,4.243563847010794
True,True,4.1925010681152335,0,False,Express,10,100,3.2723800764306237,True,2.875767141790021,3.744891974495969
True,True,4.1958580017089835,10,False,Express,10,100,3.611743482588024,True,3.238372329028325,4.165811536592998
True,True,3.211009979248047,0,False,Sailfish,10,50,1.6295115342004531,True,0.890979596989689,2.3575537197430814
True,True,3.238716125488281,10,False,Sailfish,10,50,2.1324838250005618,True,1.2286569581089353,2.9749857958101833
True,True,3.21258544921875,0,False,Sailfish,10,75,1.5659658174466666,True,0.8585371975696391,2.272491400688568
True,True,3.2185211181640625,10,False,Sailfish,10,75,2.186589091272407,True,1.2242740142942576,3.0410214021210606
True,True,3.210411071777344,0,False,Sailfish,10,100,1.552303109338354,True,0.8273692730538252,2.241621180791424
True,True,3.214427947998047,10,False,Sailfish,10,100,2.212427332726591,True,1.3138672203691537,3.0659753660504228
True,True,28.989654541015625,0,False,Cufflinks,50,50,3.7907649456560097,False,2.8782459653986328,4.58241384035115
True,True,28.94942855834961,10,False,Cufflinks,50,50,4.004944848110212,False,2.929531316800801,4.702282385739738
True,True,29.009639739990234,0,False,Cufflinks,50,75,3.850505939694979,False,2.7985539713675216,4.538656664070727
True,True,28.981952667236328,10,False,Cufflinks,50,75,3.924421959382317,False,2.9500677576734478,4.624999996468991
True,True,28.96933364868164,0,False,Cufflinks,50,100,3.74605864995111,False,2.721728198572788,4.488337041821247
True,True,29.021987915039066,10,False,Cufflinks,50,100,3.8527428086519926,False,2.770513277098503,4.566708473392467
True,True,2.3219947814941406,0,False,Salmon,50,50,2.25515185098893,False,1.9866821797795056,3.1365588653883187
True,True,2.5739707946777344,10,False,Salmon,50,50,2.8171090215230095,False,1.7668588110214176,3.7510996509301435
True,True,2.261455535888672,0,False,Salmon,50,75,2.1826428681423296,False,1.7814681428417982,3.063378400123232
True,True,2.368885040283203,10,False,Salmon,50,75,2.91546843038126,False,1.6844862921887342,3.8562828904805504
True,True,2.2614517211914062,0,False,Salmon,50,100,2.146902869928199,False,1.5476516583599689,3.037852614601636
True,True,2.3337554931640625,10,False,Salmon,50,100,2.9327476491154734,False,1.710202014655385,3.873763391268004
True,True,4.6789283752441415,0,False,RSEM,50,50,4.093662931772129,False,3.5644802363987225,4.913938720575884
True,True,8.789409637451174,10,False,RSEM,50,50,4.411991054101714,False,4.0208135752673,5.220866995162126
True,True,3.378093719482422,0,False,RSEM,50,75,3.9521237832016056,False,3.4701854934487533,4.771189452462892
True,True,6.1101341247558585,10,False,RSEM,50,75,4.322203783939728,False,3.9141458018803545,5.129169458082159
True,True,2.745059967041016,0,False,RSEM,50,100,3.8525544028896057,False,3.4666911987119766,4.665812521747227
True,True,4.633560180664063,10,False,RSEM,50,100,4.182968438421376,False,3.87007132612774,4.992251306331808
True,True,3.8076324462890634,0,False,Kallisto,50,50,2.0814913285256993,False,1.1031192535457142,2.44092481708748
True,True,3.87640380859375,10,False,Kallisto,50,50,2.472917269345676,False,1.4992745818922173,3.020800327968322
