absolute percent error,bias,errors,noise_perc,non-zero-perc,paired_end,quant_method,read_depth,read_length,stranded
0.00000,True,True,0,0.00000,False,Cufflinks,10,50,False
5.26316,True,True,0,8.15699,False,Cufflinks,10,50,False
10.52632,True,True,0,16.14426,False,Cufflinks,10,50,False
15.78947,True,True,0,24.07319,False,Cufflinks,10,50,False
21.05263,True,True,0,31.98091,False,Cufflinks,10,50,False
26.31579,True,True,0,40.56219,False,Cufflinks,10,50,False
31.57895,True,True,0,47.66375,False,Cufflinks,10,50,False
36.84211,True,True,0,52.63856,False,Cufflinks,10,50,False
42.10526,True,True,0,56.58976,False,Cufflinks,10,50,False
47.36842,True,True,0,59.69239,False,Cufflinks,10,50,False
52.63158,True,True,0,62.31238,False,Cufflinks,10,50,False
57.89474,True,True,0,64.73084,False,Cufflinks,10,50,False
63.15789,True,True,0,66.76744,False,Cufflinks,10,50,False
68.42105,True,True,0,68.44338,False,Cufflinks,10,50,False
73.68421,True,True,0,70.25723,False,Cufflinks,10,50,False
78.94737,True,True,0,71.55662,False,Cufflinks,10,50,False
84.21053,True,True,0,72.74993,False,Cufflinks,10,50,False
89.47368,True,True,0,73.77884,False,Cufflinks,10,50,False
94.73684,True,True,0,74.71758,False,Cufflinks,10,50,False
100.00000,True,True,0,76.14426,False,Cufflinks,10,50,False
0.00000,True,True,10,0.00000,False,Cufflinks,10,50,False
5.26316,True,True,10,6.78707,False,Cufflinks,10,50,False
10.52632,True,True,10,13.35034,False,Cufflinks,10,50,False
15.78947,True,True,10,19.45037,False,Cufflinks,10,50,False
21.05263,True,True,10,25.39426,False,Cufflinks,10,50,False
26.31579,True,True,10,31.27049,False,Cufflinks,10,50,False
31.57895,True,True,10,36.92292,False,Cufflinks,10,50,False
36.84211,True,True,10,42.27346,False,Cufflinks,10,50,False
42.10526,True,True,10,48.01437,False,Cufflinks,10,50,False
47.36842,True,True,10,53.09946,False,Cufflinks,10,50,False
52.63158,True,True,10,56.80008,False,Cufflinks,10,50,False
57.89474,True,True,10,59.85010,False,Cufflinks,10,50,False
63.15789,True,True,10,62.41087,False,Cufflinks,10,50,False
68.42105,True,True,10,64.60730,False,Cufflinks,10,50,False
73.68421,True,True,10,66.40816,False,Cufflinks,10,50,False
78.94737,True,True,10,68.04247,False,Cufflinks,10,50,False
84.21053,True,True,10,69.41134,False,Cufflinks,10,50,False
89.47368,True,True,10,70.68131,False,Cufflinks,10,50,False
94.73684,True,True,10,71.90964,False,Cufflinks,10,50,False
100.00000,True,True,10,72.99224,False,Cufflinks,10,50,False
0.00000,True,True,0,0.00000,False,Cufflinks,10,75,False
5.26316,True,True,0,8.05348,False,Cufflinks,10,75,False
10.52632,True,True,0,15.94905,False,Cufflinks,10,75,False
15.78947,True,True,0,23.97094,False,Cufflinks,10,75,False
21.05263,True,True,0,32.81398,False,Cufflinks,10,75,False
26.31579,True,True,0,42.13075,False,Cufflinks,10,75,False
31.57895,True,True,0,49.33151,False,Cufflinks,10,75,False
36.84211,True,True,0,53.83198,False,Cufflinks,10,75,False
42.10526,True,True,0,57.29550,False,Cufflinks,10,75,False
47.36842,True,True,0,60.23266,False,Cufflinks,10,75,False
52.63158,True,True,0,62.72766,False,Cufflinks,10,75,False
57.89474,True,True,0,64.61206,False,Cufflinks,10,75,False
63.15789,True,True,0,66.44384,False,Cufflinks,10,75,False
68.42105,True,True,0,68.19139,False,Cufflinks,10,75,False
73.68421,True,True,0,69.49679,False,Cufflinks,10,75,False
78.94737,True,True,0,70.56532,False,Cufflinks,10,75,False
84.21053,True,True,0,71.72860,False,Cufflinks,10,75,False
89.47368,True,True,0,72.64449,False,Cufflinks,10,75,False
94.73684,True,True,0,73.39194,False,Cufflinks,10,75,False
100.00000,True,True,0,74.80261,False,Cufflinks,10,75,False
0.00000,True,True,10,0.00000,False,Cufflinks,10,75,False
5.26316,True,True,10,7.95484,False,Cufflinks,10,75,False
10.52632,True,True,10,15.26455,False,Cufflinks,10,75,False
15.78947,True,True,10,22.00718,False,Cufflinks,10,75,False
21.05263,True,True,10,27.85495,False,Cufflinks,10,75,False
26.31579,True,True,10,34.63920,False,Cufflinks,10,75,False
31.57895,True,True,10,42.51080,False,Cufflinks,10,75,False
36.84211,True,True,10,48.78518,False,Cufflinks,10,75,False
42.10526,True,True,10,53.24385,False,Cufflinks,10,75,False
47.36842,True,True,10,56.47989,False,Cufflinks,10,75,False
52.63158,True,True,10,59.16446,False,Cufflinks,10,75,False
57.89474,True,True,10,61.38598,False,Cufflinks,10,75,False
63.15789,True,True,10,63.50346,False,Cufflinks,10,75,False
68.42105,True,True,10,65.30357,False,Cufflinks,10,75,False
73.68421,True,True,10,66.74991,False,Cufflinks,10,75,False
78.94737,True,True,10,68.13901,False,Cufflinks,10,75,False
84.21053,True,True,10,69.32522,False,Cufflinks,10,75,False
89.47368,True,True,10,70.28771,False,Cufflinks,10,75,False
94.73684,True,True,10,71.22938,False,Cufflinks,10,75,False
100.00000,True,True,10,76.19271,False,Cufflinks,10,75,False
