absolute percent error,bias,errors,noise_perc,non-zero-perc,paired_end,quant_method,read_depth,read_length,stranded
0.00000,True,True,0,100.00000,False,Cufflinks,10,50,False
5.26316,True,True,0,91.84301,False,Cufflinks,10,50,False
10.52632,True,True,0,83.85574,False,Cufflinks,10,50,False
15.78947,True,True,0,75.92681,False,Cufflinks,10,50,False
21.05263,True,True,0,68.01909,False,Cufflinks,10,50,False
26.31579,True,True,0,59.43781,False,Cufflinks,10,50,False
31.57895,True,True,0,52.33625,False,Cufflinks,10,50,False
36.84211,True,True,0,47.36144,False,Cufflinks,10,50,False
42.10526,True,True,0,43.41024,False,Cufflinks,10,50,False
47.36842,True,True,0,40.30761,False,Cufflinks,10,50,False
52.63158,True,True,0,37.68762,False,Cufflinks,10,50,False
57.89474,True,True,0,35.26916,False,Cufflinks,10,50,False
63.15789,True,True,0,33.23256,False,Cufflinks,10,50,False
68.42105,True,True,0,31.55662,False,Cufflinks,10,50,False
73.68421,True,True,0,29.74277,False,Cufflinks,10,50,False
78.94737,True,True,0,28.44338,False,Cufflinks,10,50,False
84.21053,True,True,0,27.25007,False,Cufflinks,10,50,False
89.47368,True,True,0,26.22116,False,Cufflinks,10,50,False
94.73684,True,True,0,25.28242,False,Cufflinks,10,50,False
100.00000,True,True,0,5.27711,False,Cufflinks,10,50,False
0.00000,True,True,10,100.00000,False,Cufflinks,10,50,False
5.26316,True,True,10,93.21293,False,Cufflinks,10,50,False
10.52632,True,True,10,86.64966,False,Cufflinks,10,50,False
15.78947,True,True,10,80.54963,False,Cufflinks,10,50,False
21.05263,True,True,10,74.60574,False,Cufflinks,10,50,False
26.31579,True,True,10,68.72951,False,Cufflinks,10,50,False
31.57895,True,True,10,63.07708,False,Cufflinks,10,50,False
36.84211,True,True,10,57.72654,False,Cufflinks,10,50,False
42.10526,True,True,10,51.98563,False,Cufflinks,10,50,False
47.36842,True,True,10,46.90054,False,Cufflinks,10,50,False
52.63158,True,True,10,43.19992,False,Cufflinks,10,50,False
57.89474,True,True,10,40.14990,False,Cufflinks,10,50,False
63.15789,True,True,10,37.58913,False,Cufflinks,10,50,False
68.42105,True,True,10,35.39270,False,Cufflinks,10,50,False
73.68421,True,True,10,33.59184,False,Cufflinks,10,50,False
78.94737,True,True,10,31.95753,False,Cufflinks,10,50,False
84.21053,True,True,10,30.58866,False,Cufflinks,10,50,False
89.47368,True,True,10,29.31869,False,Cufflinks,10,50,False
94.73684,True,True,10,28.09036,False,Cufflinks,10,50,False
100.00000,True,True,10,8.90022,False,Cufflinks,10,50,False
0.00000,True,True,0,100.00000,False,Cufflinks,10,75,False
5.26316,True,True,0,91.94652,False,Cufflinks,10,75,False
10.52632,True,True,0,84.05095,False,Cufflinks,10,75,False
15.78947,True,True,0,76.02906,False,Cufflinks,10,75,False
21.05263,True,True,0,67.18602,False,Cufflinks,10,75,False
26.31579,True,True,0,57.86925,False,Cufflinks,10,75,False
31.57895,True,True,0,50.66849,False,Cufflinks,10,75,False
36.84211,True,True,0,46.16802,False,Cufflinks,10,75,False
42.10526,True,True,0,42.70450,False,Cufflinks,10,75,False
47.36842,True,True,0,39.76734,False,Cufflinks,10,75,False
52.63158,True,True,0,37.27234,False,Cufflinks,10,75,False
57.89474,True,True,0,35.38794,False,Cufflinks,10,75,False
63.15789,True,True,0,33.55616,False,Cufflinks,10,75,False
68.42105,True,True,0,31.80861,False,Cufflinks,10,75,False
73.68421,True,True,0,30.50321,False,Cufflinks,10,75,False
78.94737,True,True,0,29.43468,False,Cufflinks,10,75,False
84.21053,True,True,0,28.27140,False,Cufflinks,10,75,False
89.47368,True,True,0,27.35551,False,Cufflinks,10,75,False
94.73684,True,True,0,26.60806,False,Cufflinks,10,75,False
100.00000,True,True,0,5.58480,False,Cufflinks,10,75,False
0.00000,True,True,10,100.00000,False,Cufflinks,10,75,False
5.26316,True,True,10,92.04516,False,Cufflinks,10,75,False
10.52632,True,True,10,84.73545,False,Cufflinks,10,75,False
15.78947,True,True,10,77.99282,False,Cufflinks,10,75,False
21.05263,True,True,10,72.14505,False,Cufflinks,10,75,False
26.31579,True,True,10,65.36080,False,Cufflinks,10,75,False
31.57895,True,True,10,57.48920,False,Cufflinks,10,75,False
36.84211,True,True,10,51.21482,False,Cufflinks,10,75,False
42.10526,True,True,10,46.75615,False,Cufflinks,10,75,False
47.36842,True,True,10,43.52011,False,Cufflinks,10,75,False
52.63158,True,True,10,40.83554,False,Cufflinks,10,75,False
57.89474,True,True,10,38.61402,False,Cufflinks,10,75,False
63.15789,True,True,10,36.49654,False,Cufflinks,10,75,False
68.42105,True,True,10,34.69643,False,Cufflinks,10,75,False
73.68421,True,True,10,33.25009,False,Cufflinks,10,75,False
78.94737,True,True,10,31.86099,False,Cufflinks,10,75,False
84.21053,True,True,10,30.67478,False,Cufflinks,10,75,False
89.47368,True,True,10,29.71229,False,Cufflinks,10,75,False
94.73684,True,True,10,28.77062,False,Cufflinks,10,75,False
100.00000,True,True,10,10.92035,False,Cufflinks,10,75,False
0.00000,True,True,0,100.00000,False,Cufflinks,10,100,False
5.26316,True,True,0,91.96367,False,Cufflinks,10,100,False
10.52632,True,True,0,83.73198,False,Cufflinks,10,100,False
15.78947,True,True,0,75.34189,False,Cufflinks,10,100,False
21.05263,True,True,0,66.87787,False,Cufflinks,10,100,False
26.31579,True,True,0,58.20793,False,Cufflinks,10,100,False
31.57895,True,True,0,51.00058,False,Cufflinks,10,100,False
36.84211,True,True,0,45.97392,False,Cufflinks,10,100,False
42.10526,True,True,0,42.27784,False,Cufflinks,10,100,False
47.36842,True,True,0,39.25234,False,Cufflinks,10,100,False
52.63158,True,True,0,37.26702,False,Cufflinks,10,100,False
57.89474,True,True,0,35.23945,False,Cufflinks,10,100,False
63.15789,True,True,0,33.62374,False,Cufflinks,10,100,False
68.42105,True,True,0,32.22451,False,Cufflinks,10,100,False
73.68421,True,True,0,30.99952,False,Cufflinks,10,100,False
78.94737,True,True,0,29.92238,False,Cufflinks,10,100,False
84.21053,True,True,0,29.05644,False,Cufflinks,10,100,False
89.47368,True,True,0,28.31195,False,Cufflinks,10,100,False
94.73684,True,True,0,27.64666,False,Cufflinks,10,100,False
100.00000,True,True,0,4.69402,False,Cufflinks,10,100,False
0.00000,True,True,10,100.00000,False,Cufflinks,10,100,False
5.26316,True,True,10,91.91169,False,Cufflinks,10,100,False
10.52632,True,True,10,84.25545,False,Cufflinks,10,100,False
15.78947,True,True,10,77.49499,False,Cufflinks,10,100,False
21.05263,True,True,10,70.68184,False,Cufflinks,10,100,False
26.31579,True,True,10,63.06776,False,Cufflinks,10,100,False
31.57895,True,True,10,55.10064,False,Cufflinks,10,100,False
36.84211,True,True,10,49.67331,False,Cufflinks,10,100,False
42.10526,True,True,10,45.77932,False,Cufflinks,10,100,False
47.36842,True,True,10,42.71261,False,Cufflinks,10,100,False
52.63158,True,True,10,40.12014,False,Cufflinks,10,100,False
57.89474,True,True,10,38.16524,False,Cufflinks,10,100,False
