"","bias","errors","noise_perc","paired_end","read_depth","read_length","stranded","Cufflinks","Express","RSEM","Kallisto","Sailfish","Salmon"
"1","True","True",0,"False",10,100,"False",0.84545,0.868,0.7549,0.82153,0.83204,0.9387
"2","True","True",0,"False",10,100,"True",0.85064,0.87041,0.78384,0.81988,0.83986,0.93637
"3","True","True",0,"False",10,50,"False",0.84673,0.88252,0.61692,0.80965,0.85537,0.96871
"4","True","True",0,"False",10,50,"True",0.88236,0.89851,0.71073,0.81168,0.88897,0.97569
"5","True","True",0,"False",10,75,"False",0.84793,0.86567,0.65602,0.81714,0.84172,0.96047
"6","True","True",0,"False",10,75,"True",0.86186,0.88008,0.71284,0.81868,0.86637,0.9656
"7","True","True",0,"False",30,100,"False",0.82596,0.84724,0.72648,0.79947,0.80778,0.932
"8","True","True",0,"False",30,100,"True",0.83219,0.85303,0.80766,0.78956,0.82844,0.9496
"9","True","True",0,"False",30,50,"False",0.83404,0.87013,0.568,0.78771,0.83835,0.97398
"10","True","True",0,"False",30,50,"True",0.85066,0.88344,0.68455,0.80275,0.87044,0.97029
"11","True","True",0,"False",30,75,"False",0.83359,0.85498,0.61689,0.79252,0.82399,0.95386
"12","True","True",0,"False",30,75,"True",0.8614,0.87161,0.70766,0.79976,0.85073,0.96208
"13","True","True",0,"False",50,100,"False",0.81769,0.83993,0.86709,0.78883,0.8009,0.93095
"14","True","True",0,"False",50,100,"True",0.82634,0.84327,0.82149,0.79098,0.81777,0.91778
"15","True","True",0,"False",50,50,"False",0.82744,0.86922,0.56423,0.78428,0.83303,0.97127
"16","True","True",0,"False",50,50,"True",0.92404,0.88355,0.65806,0.78763,0.86142,0.9711
"17","True","True",0,"False",50,75,"False",0.8142,0.84569,0.58168,0.78992,0.80709,0.9486
"18","True","True",0,"False",50,75,"True",0.83631,0.86558,0.67915,0.79083,0.84385,0.95117
"19","True","True",0,"True",10,100,"False",0.87056,0.87746,0.85558,0.86473,0.85986,0.86858
"20","True","True",0,"True",10,100,"True",0.86416,0.88212,0.85152,0.8551,0.85463,0.86806
"21","True","True",0,"True",10,50,"False",0.86408,0.86841,0.84447,0.84479,0.85314,0.85753
"22","True","True",0,"True",10,50,"True",0.86054,0.86621,0.84073,0.84351,0.8597,0.85554
"23","True","True",0,"True",10,75,"False",0.86377,0.87408,0.84855,0.84797,0.85812,0.86361
"24","True","True",0,"True",10,75,"True",0.86125,0.8689,0.88308,0.85514,0.87644,0.86481
"25","True","True",0,"True",30,100,"False",0.84878,0.85593,0.83724,0.8383,0.83835,0.84413
"26","True","True",0,"True",30,100,"True",0.84797,0.8594,0.91159,0.82979,0.90342,0.84278
"27","True","True",0,"True",30,50,"False",0.84123,0.84867,0.82773,0.82517,0.83049,0.83735
"28","True","True",0,"True",30,50,"True",0.84183,0.84937,0.83552,0.82247,0.84061,0.83446
"29","True","True",0,"True",30,75,"False",0.8437,0.85394,0.83361,0.83145,0.83705,0.83752
"30","True","True",0,"True",30,75,"True",0.85055,0.85582,0.83067,0.83631,0.83273,0.84628
"31","True","True",0,"True",50,100,"False",0.83998,0.84506,0.846,0.82962,0.86594,0.82878
"32","True","True",0,"True",50,100,"True",0.83606,0.84428,0.85239,0.81947,0.85418,0.83401
"33","True","True",0,"True",50,50,"False",0.8419,0.8462,0.81429,0.82517,0.82645,0.83255
"34","True","True",0,"True",50,50,"True",0.83798,0.833,0.8357,0.81794,0.83597,0.82982
"35","True","True",0,"True",50,75,"False",0.84,0.84021,0.83596,0.82061,0.83479,0.82943
"36","True","True",0,"True",50,75,"True",0.83615,0.84071,0.82491,0.82804,0.82799,0.83255
