"","bias","errors","noise_perc","paired_end","read_depth","read_length","stranded","Cufflinks","Express","RSEM","Kallisto","Sailfish","Salmon"
"1","True","True",0,"False",10,100,"False",0.90205,0.92305,0.92327,0.92782,0.9109,0.88432
"2","True","True",0,"False",10,100,"True",0.89349,0.91921,0.91605,0.93152,0.90157,0.86592
"3","True","True",0,"False",10,50,"False",0.88924,0.92295,0.92062,0.92854,0.89569,0.86619
"4","True","True",0,"False",10,50,"True",0.85271,0.89711,0.88745,0.91873,0.85644,0.82088
"5","True","True",0,"False",10,75,"False",0.89694,0.92488,0.92261,0.92922,0.90537,0.87646
"6","True","True",0,"False",10,75,"True",0.88462,0.91452,0.90947,0.93243,0.88947,0.8516
"7","True","True",0,"False",30,100,"False",0.91631,0.94226,0.94365,0.94504,0.92769,0.90537
"8","True","True",0,"False",30,100,"True",0.8995,0.93082,0.92588,0.94052,0.91185,0.87493
"9","True","True",0,"False",30,50,"False",0.90154,0.93243,0.93918,0.94259,0.90576,0.87693
"10","True","True",0,"False",30,50,"True",0.86633,0.90235,0.89461,0.92802,0.86433,0.83228
"11","True","True",0,"False",30,75,"False",0.90951,0.93925,0.93941,0.94267,0.92049,0.89495
"12","True","True",0,"False",30,75,"True",0.88635,0.91941,0.91583,0.93677,0.89558,0.85872
"13","True","True",0,"False",50,100,"False",0.91893,0.94695,0.94583,0.94805,0.93088,0.90572
"14","True","True",0,"False",50,100,"True",0.90606,0.93497,0.93475,0.9476,0.91848,0.88582
"15","True","True",0,"False",50,50,"False",0.90104,0.93415,0.93846,0.94246,0.90885,0.88194
"16","True","True",0,"False",50,50,"True",0.84503,0.90098,0.90201,0.93722,0.86799,0.83362
"17","True","True",0,"False",50,75,"False",0.91233,0.94045,0.94396,0.94634,0.92264,0.89626
"18","True","True",0,"False",50,75,"True",0.89763,0.9233,0.92439,0.94408,0.90073,0.86746
"19","True","True",0,"True",10,100,"False",0.92209,0.93997,0.93745,0.93681,0.93627,0.92411
"20","True","True",0,"True",10,100,"True",0.92911,0.94311,0.94126,0.94054,0.94074,0.92811
"21","True","True",0,"True",10,50,"False",0.93285,0.94783,0.94655,0.94228,0.94199,0.93541
"22","True","True",0,"True",10,50,"True",0.93467,0.94899,0.95097,0.94356,0.94443,0.93689
"23","True","True",0,"True",10,75,"False",0.9321,0.94468,0.94497,0.94406,0.94369,0.9319
"24","True","True",0,"True",10,75,"True",0.93241,0.94618,0.94765,0.94602,0.94639,0.9348
"25","True","True",0,"True",30,100,"False",0.93853,0.95758,0.95567,0.95572,0.95557,0.94772
"26","True","True",0,"True",30,100,"True",0.94113,0.95805,0.9573,0.95645,0.95715,0.94816
"27","True","True",0,"True",30,50,"False",0.94612,0.96291,0.96113,0.95705,0.9572,0.95203
"28","True","True",0,"True",30,50,"True",0.94152,0.96046,0.95874,0.95504,0.95601,0.94977
"29","True","True",0,"True",30,75,"False",0.9444,0.95943,0.96009,0.95865,0.95923,0.9529
"30","True","True",0,"True",30,75,"True",0.94204,0.96012,0.95683,0.9557,0.95605,0.94683
"31","True","True",0,"True",50,100,"False",0.94475,0.96001,0.95983,0.95916,0.95992,0.95175
"32","True","True",0,"True",50,100,"True",0.94708,0.96158,0.96108,0.96001,0.9604,0.95306
"33","True","True",0,"True",50,50,"False",0.94491,0.96233,0.96201,0.95893,0.95876,0.95311
"34","True","True",0,"True",50,50,"True",0.94591,0.96561,0.96439,0.96058,0.96136,0.95629
"35","True","True",0,"True",50,75,"False",0.94383,0.96248,0.96181,0.96079,0.961,0.95348
"36","True","True",0,"True",50,75,"True",0.94245,0.96218,0.95961,0.95838,0.9589,0.95257
"37","True","True",10,"False",10,100,"False",0.87329,0.85985,0.8853,0.87842,0.84963,0.83453
"38","True","True",10,"False",10,100,"True",0.86973,0.8588,0.87905,0.8877,0.85175,0.82723
"39","True","True",10,"False",10,50,"False",0.84926,0.85006,0.864,0.87501,0.83191,0.80994
"40","True","True",10,"False",10,50,"True",0.82499,0.81731,0.82608,0.8637,0.79478,0.77343
"41","True","True",10,"False",10,75,"False",0.86669,0.86073,0.87815,0.88272,0.84822,0.82601
"42","True","True",10,"False",10,75,"True",0.85119,0.8396,0.85696,0.87667,0.82802,0.80503
"43","True","True",10,"False",30,100,"False",0.88542,0.8727,0.89717,0.89436,0.86553,0.85118
"44","True","True",10,"False",30,100,"True",0.87429,0.86055,0.88567,0.88708,0.85107,0.83237
"45","True","True",10,"False",30,50,"False",0.87316,0.86568,0.88477,0.89399,0.85239,0.83205
"46","True","True",10,"False",30,50,"True",0.81185,0.83451,0.84763,0.88268,0.81046,0.78466
"47","True","True",10,"False",30,75,"False",0.87179,0.86312,0.88364,0.88411,0.84976,0.83303
"48","True","True",10,"False",30,75,"True",0.85958,0.85484,0.87009,0.89068,0.83922,0.81747
"49","True","True",10,"False",50,100,"False",0.89435,0.88381,0.90731,0.90208,0.87354,0.86059
"50","True","True",10,"False",50,100,"True",0.84626,0.87197,0.89207,0.89795,0.86015,0.83973
"51","True","True",10,"False",50,50,"False",0.86878,0.86391,0.88051,0.88939,0.84636,0.82455
"52","True","True",10,"False",50,50,"True",0.82997,0.82664,0.8439,0.88086,0.80787,0.78542
"53","True","True",10,"False",50,75,"False",0.87729,0.8643,0.88781,0.88873,0.85383,0.83792
"54","True","True",10,"False",50,75,"True",0.8597,0.86094,0.87615,0.89209,0.84272,0.81972
"55","True","True",10,"True",10,100,"False",0.91305,0.91771,0.9231,0.88208,0.88258,0.87821
"56","True","True",10,"True",10,100,"True",0.91642,0.92185,0.92541,0.8871,0.88839,0.88344
"57","True","True",10,"True",10,50,"False",0.92149,0.91949,0.92844,0.87462,0.87536,0.8754
"58","True","True",10,"True",10,50,"True",0.91988,0.92464,0.9316,0.88323,0.88462,0.88407
"59","True","True",10,"True",10,75,"False",0.92063,0.92186,0.93039,0.89038,0.8911,0.88852
"60","True","True",10,"True",10,75,"True",0.91957,0.92502,0.93047,0.89031,0.89132,0.88793
"61","True","True",10,"True",30,100,"False",0.93022,0.938,0.94301,0.90449,0.90458,0.9037
"62","True","True",10,"True",30,100,"True",0.93253,0.93949,0.94251,0.9021,0.90299,0.90102
"63","True","True",10,"True",30,50,"False",0.92657,0.93679,0.93959,0.89186,0.89222,0.8944
"64","True","True",10,"True",30,50,"True",0.93124,0.93932,0.93823,0.88611,0.88761,0.88766
"65","True","True",10,"True",30,75,"False",0.92802,0.93431,0.93665,0.89248,0.89236,0.892
"66","True","True",10,"True",30,75,"True",0.92768,0.9365,0.93955,0.89183,0.89301,0.89343
"67","True","True",10,"True",50,100,"False",0.92703,0.9362,0.93856,0.89558,0.89566,0.89542
"68","True","True",10,"True",50,100,"True",0.92966,0.94149,0.94296,0.89768,0.89919,0.89735
"69","True","True",10,"True",50,50,"False",0.93128,0.94086,0.9407,0.88972,0.89069,0.89375
"70","True","True",10,"True",50,50,"True",0.93363,0.94393,0.94469,0.89205,0.89366,0.89486
"71","True","True",10,"True",50,75,"False",0.93389,0.93984,0.94224,0.89912,0.89968,0.89932
"72","True","True",10,"True",50,75,"True",0.93262,0.94306,0.94455,0.90439,0.90625,0.90615
