"","bias","errors","noise_perc","paired_end","read_depth","read_length","stranded","Cufflinks","Express","RSEM","Kallisto","Sailfish","Salmon"
"1","True","True",0,"False",10,100,"False",-22.192,-29.93851,-17.54415,-19.9948,-26.45107,-49.26429
"2","True","True",0,"False",10,100,"True",-22.31638,-29.93466,-18.99957,-20.51433,-28.07044,-52.88517
"3","True","True",0,"False",10,50,"False",-23.63806,-34.82832,-10.2546,-20.71138,-32.46558,-58.305
"4","True","True",0,"False",10,50,"True",-30.49364,-39.10205,-13.73102,-23.41088,-37.49388,-64.37718
"5","True","True",0,"False",10,75,"False",-21.419,-30.74419,-11.13442,-21.3409,-29.3665,-55.01594
"6","True","True",0,"False",10,75,"True",-27.44218,-33.43027,-13.68225,-21.82974,-33.06797,-58.59221
"7","True","True",0,"False",30,100,"False",-16.84197,-24.48864,-15.77487,-16.96526,-22.27519,-46.9033
"8","True","True",0,"False",30,100,"True",-18.09576,-28.55742,-20.14774,-19.54113,-26.6343,-52.12178
"9","True","True",0,"False",30,50,"False",-18.67826,-31.36692,-8.24848,-17.56685,-29.84383,-58.78225
"10","True","True",0,"False",30,50,"True",-23.21073,-35.35953,-12.00178,-18.97868,-35.20872,-59.99354
"11","True","True",0,"False",30,75,"False",-18.49876,-27.58558,-9.76725,-17.30988,-26.63018,-52.33044
"12","True","True",0,"False",30,75,"True",-22.09983,-31.92361,-13.15783,-18.37151,-30.72916,-58.01902
"13","True","True",0,"False",50,100,"False",-16.94053,-23.37387,-22.12225,-15.1381,-21.72593,-45.79447
"14","True","True",0,"False",50,100,"True",-17.66208,-24.91959,-20.61851,-16.53674,-24.04257,-47.05366
"15","True","True",0,"False",50,50,"False",-20.27075,-30.91111,-8.20095,-16.02583,-29.62495,-57.88676
"16","True","True",0,"False",50,50,"True",-37.23031,-35.2666,-10.89416,-19.08498,-34.73868,-60.02299
"17","True","True",0,"False",50,75,"False",-16.75896,-24.47881,-8.57282,-14.24577,-23.75661,-49.30887
"18","True","True",0,"False",50,75,"True",-20.40863,-30.11571,-11.6302,-17.41601,-29.57619,-54.31475
"19","True","True",0,"True",10,100,"False",-22.97671,-28.05178,-33.64438,-27.5264,-34.37207,-31.87213
"20","True","True",0,"True",10,100,"True",-22.98253,-27.92421,-32.5849,-28.19321,-33.28088,-33.18819
"21","True","True",0,"True",10,50,"False",-22.24297,-27.03645,-32.81784,-28.87213,-34.46243,-32.79815
"22","True","True",0,"True",10,50,"True",-18.30187,-23.49552,-31.63514,-27.14023,-36.05995,-31.40978
"23","True","True",0,"True",10,75,"False",-20.3693,-27.36078,-33.35156,-28.71744,-35.56181,-33.43139
"24","True","True",0,"True",10,75,"True",-19.74183,-25.34262,-39.02061,-27.52212,-38.96097,-32.32404
"25","True","True",0,"True",30,100,"False",-15.39607,-24.10837,-30.52741,-22.8854,-31.0384,-27.65923
"26","True","True",0,"True",30,100,"True",-16.38259,-25.00775,-39.12728,-25.74964,-39.56628,-30.68825
"27","True","True",0,"True",30,50,"False",-13.75866,-24.52206,-28.46295,-23.16324,-30.14617,-28.91923
"28","True","True",0,"True",30,50,"True",-11.39833,-20.97663,-30.94455,-25.6179,-32.48287,-29.82711
"29","True","True",0,"True",30,75,"False",-14.94692,-22.80071,-30.00107,-23.49192,-30.68213,-28.65616
"30","True","True",0,"True",30,75,"True",-14.47371,-22.29691,-28.53603,-22.72154,-29.72811,-27.95251
"31","True","True",0,"True",50,100,"False",-13.26426,-20.32367,-32.07644,-20.60263,-34.49521,-27.88765
"32","True","True",0,"True",50,100,"True",-11.80214,-19.77496,-33.59604,-24.5919,-33.95187,-29.01197
"33","True","True",0,"True",50,50,"False",-12.52163,-21.41863,-25.00111,-21.68202,-27.32168,-27.63852
"34","True","True",0,"True",50,50,"True",-13.39255,-22.15785,-30.00106,-21.77112,-30.90556,-28.00659
"35","True","True",0,"True",50,75,"False",-12.36309,-21.13392,-30.19334,-20.47136,-30.88687,-25.86527
"36","True","True",0,"True",50,75,"True",-10.82522,-18.58416,-28.76096,-19.81996,-29.81509,-24.66658
"37","True","True",10,"False",10,100,"False",-24.44859,-39.40959,-35.65359,-29.75671,-37.02156,-55.69591
"38","True","True",10,"False",10,100,"True",-27.32456,-42.24082,-29.56933,-32.8141,-39.5199,-57.7927
"39","True","True",10,"False",10,50,"False",-29.97277,-45.19422,-25.7157,-32.2067,-43.47748,-63.65961
"40","True","True",10,"False",10,50,"True",-32.10305,-48.20884,-27.77904,-31.05323,-46.68071,-66.18387
"41","True","True",10,"False",10,75,"False",-26.32372,-41.57461,-24.18767,-29.1279,-38.60483,-56.41135
"42","True","True",10,"False",10,75,"True",-31.8005,-44.83382,-27.1439,-32.9484,-43.60045,-62.30212
"43","True","True",10,"False",30,100,"False",-22.94624,-37.52955,-27.37745,-28.48056,-35.73873,-53.4796
"44","True","True",10,"False",30,100,"True",-23.12506,-37.74384,-35.56473,-28.76155,-37.43429,-55.19667
"45","True","True",10,"False",30,50,"False",-26.95961,-41.71119,-23.83155,-28.64624,-40.48998,-61.56398
"46","True","True",10,"False",30,50,"True",-32.43865,-44.71358,-25.5252,-29.17281,-43.28326,-63.38373
"47","True","True",10,"False",30,75,"False",-25.75783,-40.43664,-23.92175,-27.57214,-37.75579,-57.79328
"48","True","True",10,"False",30,75,"True",-25.88631,-41.40343,-24.48664,-27.64978,-39.3681,-58.84053
"49","True","True",10,"False",50,100,"False",-21.41171,-34.93091,-32.79643,-25.52035,-33.95448,-52.3914
"50","True","True",10,"False",50,100,"True",-28.29792,-36.56111,-25.91147,-26.84795,-35.20125,-52.72931
"51","True","True",10,"False",50,50,"False",-25.48373,-41.68741,-25.13972,-27.78191,-41.06544,-62.08772
"52","True","True",10,"False",50,50,"True",-28.47985,-45.3024,-27.70243,-29.83823,-44.84234,-68.38337
"53","True","True",10,"False",50,75,"False",-24.22763,-38.55203,-24.044,-27.06816,-37.07633,-55.1187
"54","True","True",10,"False",50,75,"True",-25.98651,-40.5251,-23.54518,-27.84379,-39.19525,-58.40188
"55","True","True",10,"True",10,100,"False",-23.23407,-32.40251,-34.32758,-41.80956,-47.73208,-43.58551
"56","True","True",10,"True",10,100,"True",-25.94083,-33.74776,-34.67609,-41.68914,-46.12283,-43.40432
"57","True","True",10,"True",10,50,"False",-20.94868,-30.08127,-34.535,-42.37831,-48.26834,-42.81352
"58","True","True",10,"True",10,50,"True",-21.41277,-30.11925,-41.27601,-43.84177,-53.73043,-44.27253
"59","True","True",10,"True",10,75,"False",-23.90958,-30.05592,-34.2429,-40.13333,-47.46635,-40.98725
"60","True","True",10,"True",10,75,"True",-22.01274,-31.52469,-37.56788,-40.88361,-48.43783,-41.78808
