"","bias","errors","noise_perc","paired_end","read_depth","read_length","stranded","Cufflinks","Express","RSEM","Kallisto","Sailfish","Salmon"
"1","True","True",0,"False",10,100,"False",0.77385,0.77127,0.7747,0.78589,0.78193,0.76129
"2","True","True",0,"False",10,100,"True",0.77411,0.7831,0.77649,0.79161,0.78151,0.75821
"3","True","True",0,"False",10,50,"False",0.80101,0.79751,0.80875,0.81824,0.80849,0.77889
"4","True","True",0,"False",10,50,"True",0.80198,0.80475,0.80992,0.83039,0.80774,0.77096
"5","True","True",0,"False",10,75,"False",0.78935,0.78961,0.78987,0.80056,0.79503,0.77019
"6","True","True",0,"False",10,75,"True",0.78401,0.78863,0.78637,0.80303,0.79016,0.75869
"7","True","True",0,"False",30,100,"False",0.85696,0.84036,0.86306,0.87047,0.86469,0.83815
"8","True","True",0,"False",30,100,"True",0.8542,0.83433,0.85795,0.87402,0.8609,0.82871
"9","True","True",0,"False",30,50,"False",0.87397,0.86192,0.88298,0.89167,0.88036,0.84251
"10","True","True",0,"False",30,50,"True",0.85973,0.84482,0.86461,0.88843,0.86143,0.81957
"11","True","True",0,"False",30,75,"False",0.86421,0.84618,0.87151,0.87967,0.87109,0.84143
"12","True","True",0,"False",30,75,"True",0.85819,0.8451,0.8664,0.88165,0.86335,0.82264
"13","True","True",0,"False",50,100,"False",0.88975,0.8709,0.89293,0.90442,0.8968,0.87032
"14","True","True",0,"False",50,100,"True",0.88146,0.85968,0.88588,0.89999,0.89008,0.85691
"15","True","True",0,"False",50,50,"False",0.88876,0.87365,0.90149,0.90846,0.88929,0.84846
"16","True","True",0,"False",50,50,"True",0.85714,0.86566,0.88461,0.90726,0.87471,0.82876
"17","True","True",0,"False",50,75,"False",0.88746,0.86865,0.89667,0.90236,0.89341,0.86081
"18","True","True",0,"False",50,75,"True",0.88163,0.86202,0.88774,0.90288,0.88583,0.84332
"19","True","True",0,"True",10,100,"False",0.74454,0.76364,0.75075,0.74973,0.74957,0.73674
"20","True","True",0,"True",10,100,"True",0.74913,0.76883,0.75424,0.75387,0.75334,0.74176
"21","True","True",0,"True",10,50,"False",0.80373,0.8069,0.8087,0.80104,0.80003,0.79147
"22","True","True",0,"True",10,50,"True",0.81067,0.81046,0.81697,0.80741,0.80594,0.80021
"23","True","True",0,"True",10,75,"False",0.77623,0.78554,0.77977,0.77703,0.77634,0.76455
"24","True","True",0,"True",10,75,"True",0.7779,0.79246,0.78098,0.7795,0.77817,0.76611
"25","True","True",0,"True",30,100,"False",0.8481,0.84111,0.85096,0.85291,0.85037,0.84095
"26","True","True",0,"True",30,100,"True",0.84436,0.84326,0.84713,0.85017,0.84609,0.84022
"27","True","True",0,"True",30,50,"False",0.89582,0.87424,0.89656,0.89156,0.88848,0.8829
"28","True","True",0,"True",30,50,"True",0.88529,0.86868,0.8872,0.88301,0.88014,0.87489
"29","True","True",0,"True",30,75,"False",0.85684,0.84692,0.86069,0.86033,0.85943,0.85051
"30","True","True",0,"True",30,75,"True",0.86067,0.85308,0.86362,0.86199,0.86051,0.85134
"31","True","True",0,"True",50,100,"False",0.87484,0.86657,0.87756,0.88055,0.87673,0.87039
"32","True","True",0,"True",50,100,"True",0.88062,0.87019,0.88035,0.88298,0.87919,0.87224
"33","True","True",0,"True",50,50,"False",0.91285,0.89044,0.91503,0.91163,0.90951,0.90335
"34","True","True",0,"True",50,50,"True",0.91287,0.89287,0.91276,0.91239,0.90714,0.90459
"35","True","True",0,"True",50,75,"False",0.89539,0.87542,0.89491,0.89884,0.893,0.88949
"36","True","True",0,"True",50,75,"True",0.89875,0.88402,0.89987,0.90024,0.89616,0.89181
"37","True","True",10,"False",10,100,"False",0.78986,0.7848,0.78934,0.80304,0.79961,0.79281
"38","True","True",10,"False",10,100,"True",0.78247,0.77116,0.78179,0.79574,0.79068,0.77984
"39","True","True",10,"False",10,50,"False",0.81195,0.79717,0.80628,0.81695,0.81081,0.79696
"40","True","True",10,"False",10,50,"True",0.80263,0.79006,0.79527,0.81288,0.79748,0.7828
"41","True","True",10,"False",10,75,"False",0.79913,0.7907,0.7972,0.80823,0.80433,0.79366
"42","True","True",10,"False",10,75,"True",0.78819,0.7765,0.78424,0.80158,0.79273,0.7796
"43","True","True",10,"False",30,100,"False",0.8545,0.83379,0.85221,0.86347,0.85758,0.84871
"44","True","True",10,"False",30,100,"True",0.84409,0.82249,0.84279,0.85607,0.85016,0.83975
