"","bias","errors","noise_perc","paired_end","read_depth","read_length","stranded","Cufflinks","Express","RSEM","Kallisto","Sailfish","Salmon"
"1","True","True",0,"False",10,100,"False",0.93925,0.92217,0.95167,0.94694,0.93317,0.9145
"2","True","True",0,"False",10,100,"True",0.93913,0.92039,0.94926,0.94893,0.93091,0.91022
"3","True","True",0,"False",10,50,"False",0.92663,0.91624,0.94061,0.93848,0.91518,0.89761
"4","True","True",0,"False",10,50,"True",0.92681,0.91542,0.93583,0.93976,0.91152,0.89599
"5","True","True",0,"False",10,75,"False",0.93335,0.91546,0.94756,0.94486,0.9261,0.90883
"6","True","True",0,"False",10,75,"True",0.93297,0.91868,0.94289,0.94515,0.9223,0.90363
"7","True","True",0,"False",30,100,"False",0.93734,0.93329,0.95153,0.94377,0.92796,0.91059
"8","True","True",0,"False",30,100,"True",0.93759,0.93383,0.94962,0.94611,0.92615,0.90749
"9","True","True",0,"False",30,50,"False",0.92662,0.92429,0.94263,0.93882,0.91348,0.8989
"10","True","True",0,"False",30,50,"True",0.92364,0.9195,0.93455,0.93712,0.90544,0.89291
"11","True","True",0,"False",30,75,"False",0.9321,0.93081,0.94778,0.94283,0.92321,0.90644
"12","True","True",0,"False",30,75,"True",0.9294,0.92624,0.94173,0.94241,0.91586,0.89962
"13","True","True",0,"False",50,100,"False",0.93625,0.93762,0.95287,0.94071,0.92445,0.90755
"14","True","True",0,"False",50,100,"True",0.93733,0.93802,0.95022,0.94279,0.92338,0.90708
"15","True","True",0,"False",50,50,"False",0.92529,0.925,0.94253,0.93852,0.91156,0.89704
"16","True","True",0,"False",50,50,"True",0.92694,0.92224,0.93632,0.93857,0.90698,0.89439
"17","True","True",0,"False",50,75,"False",0.93252,0.93375,0.94886,0.94289,0.92093,0.90523
"18","True","True",0,"False",50,75,"True",0.92854,0.92913,0.9427,0.94186,0.91542,0.90068
"19","True","True",0,"True",10,100,"False",0.96678,0.93784,0.96834,0.96834,0.96787,0.9581
"20","True","True",0,"True",10,100,"True",0.96655,0.94189,0.97021,0.96748,0.96714,0.95809
"21","True","True",0,"True",10,50,"False",0.96211,0.94456,0.96447,0.96434,0.96402,0.95694
"22","True","True",0,"True",10,50,"True",0.96157,0.94946,0.96683,0.96454,0.96445,0.95663
"23","True","True",0,"True",10,75,"False",0.96309,0.9387,0.96458,0.9663,0.96612,0.95614
"24","True","True",0,"True",10,75,"True",0.96491,0.94547,0.96972,0.96728,0.96735,0.95783
"25","True","True",0,"True",30,100,"False",0.96574,0.95095,0.96849,0.96588,0.96564,0.95654
"26","True","True",0,"True",30,100,"True",0.9649,0.95739,0.97118,0.96578,0.9665,0.95711
"27","True","True",0,"True",30,50,"False",0.96289,0.95479,0.96782,0.96582,0.96599,0.95989
"28","True","True",0,"True",30,50,"True",0.96107,0.95918,0.96878,0.965,0.9652,0.95928
"29","True","True",0,"True",30,75,"False",0.96375,0.95314,0.96678,0.96648,0.96669,0.95812
"30","True","True",0,"True",30,75,"True",0.96371,0.95889,0.97013,0.96679,0.96688,0.95793
"31","True","True",0,"True",50,100,"False",0.96451,0.95624,0.96926,0.96456,0.96506,0.95574
"32","True","True",0,"True",50,100,"True",0.96517,0.96283,0.97234,0.9662,0.96651,0.95726
"33","True","True",0,"True",50,50,"False",0.96169,0.95915,0.96822,0.96603,0.96622,0.96054
"34","True","True",0,"True",50,50,"True",0.96412,0.965,0.97227,0.96627,0.96726,0.96071
"35","True","True",0,"True",50,75,"False",0.96528,0.95712,0.96854,0.96763,0.96805,0.95975
"36","True","True",0,"True",50,75,"True",0.96531,0.96281,0.9726,0.9678,0.96815,0.96017
"37","True","True",10,"False",10,100,"False",0.82226,0.70091,0.78111,0.74494,0.72119,0.7166
"38","True","True",10,"False",10,100,"True",0.83532,0.73263,0.79577,0.76598,0.7406,0.73216
