bias,error-frac,errors,expressed-tpms,log-tpm-rho,median-percent-error,noise_perc,paired_end,quant_method,read_depth,read_length,sensitivity,specificity,stranded
True,0.84673,True,18855,0.88924,-23.63806,0,False,Cufflinks,10,50,0.80101,0.92663,False
True,0.87233,True,19213,0.84926,-29.97277,10,False,Cufflinks,10,50,0.81195,0.78023,False
True,0.84793,True,18998,0.89694,-21.41900,0,False,Cufflinks,10,75,0.78935,0.93335,False
True,0.85412,True,19221,0.86669,-26.32372,10,False,Cufflinks,10,75,0.79913,0.80095,False
True,0.84545,True,18939,0.90205,-22.19200,0,False,Cufflinks,10,100,0.77385,0.93925,False
True,0.85051,True,18978,0.87329,-24.44859,10,False,Cufflinks,10,100,0.78986,0.82226,False
True,0.96871,True,18855,0.86619,-58.30500,0,False,Salmon,10,50,0.77889,0.89761,False
True,0.97533,True,19213,0.80994,-63.65961,10,False,Salmon,10,50,0.79696,0.70014,False
True,0.96047,True,18998,0.87646,-55.01594,0,False,Salmon,10,75,0.77019,0.90883,False
True,0.96821,True,19221,0.82601,-56.41135,10,False,Salmon,10,75,0.79366,0.70571,False
True,0.93870,True,18939,0.88432,-49.26429,0,False,Salmon,10,100,0.76129,0.91450,False
True,0.96765,True,18978,0.83453,-55.69591,10,False,Salmon,10,100,0.79281,0.71660,False
True,0.61692,True,18855,0.92062,-10.25460,0,False,RSEM,10,50,0.80875,0.94061,False
True,0.94561,True,19213,0.86400,-25.71570,10,False,RSEM,10,50,0.80628,0.73225,False
True,0.65602,True,18998,0.92261,-11.13442,0,False,RSEM,10,75,0.78987,0.94756,False
True,0.92363,True,19221,0.87815,-24.18767,10,False,RSEM,10,75,0.79720,0.75644,False
True,0.75490,True,18939,0.92327,-17.54415,0,False,RSEM,10,100,0.77470,0.95167,False
True,0.96485,True,18978,0.88530,-35.65359,10,False,RSEM,10,100,0.78934,0.78111,False
True,0.80965,True,18855,0.92854,-20.71138,0,False,Kallisto,10,50,0.81824,0.93848,False
True,0.89294,True,19213,0.87501,-32.20670,10,False,Kallisto,10,50,0.81695,0.73344,False
True,0.81714,True,18998,0.92922,-21.34090,0,False,Kallisto,10,75,0.80056,0.94486,False
True,0.87248,True,19221,0.88272,-29.12790,10,False,Kallisto,10,75,0.80823,0.73875,False
True,0.82153,True,18939,0.92782,-19.99480,0,False,Kallisto,10,100,0.78589,0.94694,False
True,0.87391,True,18978,0.87842,-29.75671,10,False,Kallisto,10,100,0.80304,0.74494,False
True,0.88252,True,18855,0.92295,-34.82832,0,False,Express,10,50,0.79751,0.91624,False
True,0.94077,True,19213,0.85006,-45.19422,10,False,Express,10,50,0.79717,0.67650,False
True,0.86567,True,18998,0.92488,-30.74419,0,False,Express,10,75,0.78961,0.91546,False
True,0.92545,True,19221,0.86073,-41.57461,10,False,Express,10,75,0.79070,0.68661,False
True,0.86800,True,18939,0.92305,-29.93851,0,False,Express,10,100,0.77127,0.92217,False
True,0.91922,True,18978,0.85985,-39.40959,10,False,Express,10,100,0.78480,0.70091,False
True,0.85537,True,18855,0.89569,-32.46558,0,False,Sailfish,10,50,0.80849,0.91518,False
True,0.94577,True,19213,0.83191,-43.47748,10,False,Sailfish,10,50,0.81081,0.70658,False
True,0.84172,True,18998,0.90537,-29.36650,0,False,Sailfish,10,75,0.79503,0.92610,False
True,0.93054,True,19221,0.84822,-38.60483,10,False,Sailfish,10,75,0.80433,0.71434,False
True,0.83204,True,18939,0.91090,-26.45107,0,False,Sailfish,10,100,0.78193,0.93317,False
True,0.92697,True,18978,0.84963,-37.02156,10,False,Sailfish,10,100,0.79961,0.72119,False
True,0.88236,True,18761,0.85271,-30.49364,0,False,Cufflinks,10,50,0.80198,0.92681,True
True,0.87589,True,19015,0.82499,-32.10305,10,False,Cufflinks,10,50,0.80263,0.79433,True
True,0.86186,True,19038,0.88462,-27.44218,0,False,Cufflinks,10,75,0.78401,0.93297,True
True,0.87436,True,18975,0.85119,-31.80050,10,False,Cufflinks,10,75,0.78819,0.80944,True
True,0.85064,True,18921,0.89349,-22.31638,0,False,Cufflinks,10,100,0.77411,0.93913,True
True,0.86316,True,19000,0.86973,-27.32456,10,False,Cufflinks,10,100,0.78247,0.83532,True
True,0.97569,True,18761,0.82088,-64.37718,0,False,Salmon,10,50,0.77096,0.89599,True
True,0.97628,True,19015,0.77343,-66.18387,10,False,Salmon,10,50,0.78280,0.70822,True
True,0.96560,True,19038,0.85160,-58.59221,0,False,Salmon,10,75,0.75869,0.90363,True
True,0.97365,True,18975,0.80503,-62.30212,10,False,Salmon,10,75,0.77960,0.71299,True
True,0.93637,True,18921,0.86592,-52.88517,0,False,Salmon,10,100,0.75821,0.91022,True
True,0.96547,True,19000,0.82723,-57.79270,10,False,Salmon,10,100,0.77984,0.73216,True
True,0.71073,True,18761,0.88745,-13.73102,0,False,RSEM,10,50,0.80992,0.93583,True
True,0.94599,True,19015,0.82608,-27.77904,10,False,RSEM,10,50,0.79527,0.74380,True
True,0.71284,True,19038,0.90947,-13.68225,0,False,RSEM,10,75,0.78637,0.94289,True
True,0.93955,True,18975,0.85696,-27.14390,10,False,RSEM,10,75,0.78424,0.76468,True
True,0.78384,True,18921,0.91605,-18.99957,0,False,RSEM,10,100,0.77649,0.94926,True
True,0.93363,True,19000,0.87905,-29.56933,10,False,RSEM,10,100,0.78179,0.79577,True
True,0.81168,True,18761,0.91873,-23.41088,0,False,Kallisto,10,50,0.83039,0.93976,True
True,0.88425,True,19015,0.86370,-31.05323,10,False,Kallisto,10,50,0.81288,0.74712,True
True,0.81868,True,19038,0.93243,-21.82974,0,False,Kallisto,10,75,0.80303,0.94515,True
True,0.89534,True,18975,0.87667,-32.94840,10,False,Kallisto,10,75,0.80158,0.75098,True
True,0.81988,True,18921,0.93152,-20.51433,0,False,Kallisto,10,100,0.79161,0.94893,True
True,0.89432,True,19000,0.88770,-32.81410,10,False,Kallisto,10,100,0.79574,0.76598,True
True,0.89851,True,18761,0.89711,-39.10205,0,False,Express,10,50,0.80475,0.91542,True
True,0.95062,True,19015,0.81731,-48.20884,10,False,Express,10,50,0.79006,0.70011,True
True,0.88008,True,19038,0.91452,-33.43027,0,False,Express,10,75,0.78863,0.91868,True
True,0.93971,True,18975,0.83960,-44.83382,10,False,Express,10,75,0.77650,0.71088,True
True,0.87041,True,18921,0.91921,-29.93466,0,False,Express,10,100,0.78310,0.92039,True
True,0.92805,True,19000,0.85880,-42.24082,10,False,Express,10,100,0.77116,0.73263,True
True,0.88897,True,18761,0.85644,-37.49388,0,False,Sailfish,10,50,0.80774,0.91152,True
True,0.95388,True,19015,0.79478,-46.68071,10,False,Sailfish,10,50,0.79748,0.71362,True
True,0.86637,True,19038,0.88947,-33.06797,0,False,Sailfish,10,75,0.79016,0.92230,True
True,0.94161,True,18975,0.82802,-43.60045,10,False,Sailfish,10,75,0.79273,0.71999,True
True,0.83986,True,18921,0.90157,-28.07044,0,False,Sailfish,10,100,0.78151,0.93091,True
True,0.92858,True,19000,0.85175,-39.51990,10,False,Sailfish,10,100,0.79068,0.74060,True
True,0.82744,True,18932,0.90104,-20.27075,0,False,Cufflinks,50,50,0.88876,0.92529,False
True,0.85245,True,18902,0.86878,-25.48373,10,False,Cufflinks,50,50,0.88075,0.75622,False
True,0.81420,True,18988,0.91233,-16.75896,0,False,Cufflinks,50,75,0.88746,0.93252,False
True,0.84355,True,18907,0.87729,-24.22763,10,False,Cufflinks,50,75,0.87650,0.76713,False
True,0.81769,True,18885,0.91893,-16.94053,0,False,Cufflinks,50,100,0.88975,0.93625,False
True,0.83378,True,19071,0.89435,-21.41171,10,False,Cufflinks,50,100,0.87672,0.79177,False
True,0.97127,True,18932,0.88194,-57.88676,0,False,Salmon,50,50,0.84846,0.89704,False
True,0.97651,True,18902,0.82455,-62.08772,10,False,Salmon,50,50,0.84293,0.67883,False
True,0.94860,True,18988,0.89626,-49.30887,0,False,Salmon,50,75,0.86081,0.90523,False
