bias,error-frac,errors,expressed-tpms,gene transcript number,log-tpm-rho,median-percent-error,noise_perc,paired_end,quant_method,read_depth,read_length,sensitivity,specificity,stranded
True,0.84269,True,3490.00000,0,0.91122,-21.82361,0,False,Cufflinks,10,50,0.85301,0.95793,False
True,0.83730,True,5335.00000,1,0.90366,-23.04108,0,False,Cufflinks,10,50,0.82137,0.93350,False
True,0.83863,True,4214.00000,2,0.89546,-24.19341,0,False,Cufflinks,10,50,0.79426,0.92142,False
True,0.85134,True,2583.00000,3,0.88690,-25.11294,0,False,Cufflinks,10,50,0.77003,0.90941,False
True,0.87349,True,3233.00000,4,0.84134,-28.73329,0,False,Cufflinks,10,50,0.74482,0.90148,False
True,0.87447,True,3561.00000,0,0.88627,-28.81880,10,False,Cufflinks,10,50,0.85931,0.84913,False
True,0.86146,True,5493.00000,1,0.87223,-28.46413,10,False,Cufflinks,10,50,0.83397,0.79675,False
True,0.86597,True,4402.00000,2,0.84962,-29.49050,10,False,Cufflinks,10,50,0.80554,0.76082,False
True,0.87539,True,2568.00000,3,0.84322,-29.00006,10,False,Cufflinks,10,50,0.78855,0.74926,False
True,0.89495,True,3189.00000,4,0.77880,-36.79607,10,False,Cufflinks,10,50,0.74882,0.72795,False
True,0.83017,True,3480.00000,0,0.90640,-21.02130,0,False,Cufflinks,10,75,0.83190,0.95982,False
True,0.83623,True,5471.00000,1,0.90888,-20.61084,0,False,Cufflinks,10,75,0.80863,0.94227,False
True,0.84783,True,4403.00000,2,0.90174,-21.47149,0,False,Cufflinks,10,75,0.78810,0.92616,False
True,0.86107,True,2548.00000,3,0.89988,-20.70441,0,False,Cufflinks,10,75,0.77473,0.91729,False
True,0.87791,True,3096.00000,4,0.86216,-26.96476,0,False,Cufflinks,10,75,0.72125,0.91186,False
True,0.85450,True,3464.00000,0,0.89846,-25.70179,10,False,Cufflinks,10,75,0.84238,0.85804,False
True,0.84927,True,5606.00000,1,0.88770,-26.00884,10,False,Cufflinks,10,75,0.81716,0.81662,False
True,0.84851,True,4350.00000,2,0.86911,-25.65072,10,False,Cufflinks,10,75,0.79034,0.78690,False
