bias,error-frac,errors,expressed-tpms,log-tpm-rho,log10 real TPM,median-percent-error,noise_perc,paired_end,quant_method,read_depth,read_length,sensitivity,specificity,stranded
True,0.94515,True,4758.00000,0.44055,0,-100.00000,0,False,Cufflinks,10,50,0.43506,0.92663,False
True,0.86315,True,2594.00000,0.38302,1,-24.69322,0,False,Cufflinks,10,50,0.79607,1.00000,False
True,0.84295,True,2878.00000,0.46609,2,-21.60897,0,False,Cufflinks,10,50,0.89958,1.00000,False
True,0.79456,True,3271.00000,0.56645,3,-17.66732,0,False,Cufflinks,10,50,0.95537,1.00000,False
True,0.78521,True,5354.00000,0.79451,4,-16.57923,0,False,Cufflinks,10,50,0.98132,1.00000,False
True,0.95926,True,4639.00000,0.27336,0,-100.00000,10,False,Cufflinks,10,50,0.49149,0.78023,False
True,0.90015,True,2704.00000,0.27550,1,-28.69514,10,False,Cufflinks,10,50,0.77700,1.00000,False
True,0.87726,True,2982.00000,0.40481,2,-28.91759,10,False,Cufflinks,10,50,0.88162,1.00000,False
True,0.82565,True,3275.00000,0.46402,3,-25.54886,10,False,Cufflinks,10,50,0.95084,1.00000,False
True,0.81169,True,5613.00000,0.77721,4,-25.67694,10,False,Cufflinks,10,50,0.97559,1.00000,False
True,0.95394,True,4711.00000,0.44587,0,-100.00000,0,False,Cufflinks,10,75,0.39058,0.93335,False
True,0.85917,True,2471.00000,0.41696,1,-21.06764,0,False,Cufflinks,10,75,0.76325,1.00000,False
True,0.82744,True,2886.00000,0.50994,2,-16.92485,0,False,Cufflinks,10,75,0.89778,1.00000,False
True,0.79832,True,3223.00000,0.56953,3,-14.19722,0,False,Cufflinks,10,75,0.95439,1.00000,False
True,0.79394,True,5707.00000,0.81191,4,-14.60560,0,False,Cufflinks,10,75,0.98178,1.00000,False
True,0.96112,True,4835.00000,0.30399,0,-100.00000,10,False,Cufflinks,10,75,0.45357,0.80095,False
True,0.89090,True,2594.00000,0.30180,1,-26.80547,10,False,Cufflinks,10,75,0.76291,1.00000,False
True,0.83322,True,2998.00000,0.42117,2,-22.38831,10,False,Cufflinks,10,75,0.89560,1.00000,False
True,0.81571,True,3348.00000,0.52828,3,-23.14675,10,False,Cufflinks,10,75,0.94833,1.00000,False
True,0.77672,True,5446.00000,0.80386,4,-21.56913,10,False,Cufflinks,10,75,0.97833,1.00000,False
True,0.95635,True,4811.00000,0.41883,0,-100.00000,0,False,Cufflinks,10,100,0.35959,0.93925,False
True,0.87121,True,2570.00000,0.38420,1,-23.25275,0,False,Cufflinks,10,100,0.75097,1.00000,False
True,0.82688,True,2894.00000,0.47346,2,-17.00521,0,False,Cufflinks,10,100,0.88735,1.00000,False
True,0.79463,True,3165.00000,0.61950,3,-14.83089,0,False,Cufflinks,10,100,0.95450,1.00000,False
True,0.77541,True,5499.00000,0.83391,4,-13.66439,0,False,Cufflinks,10,100,0.98327,1.00000,False
True,0.96675,True,4631.00000,0.27602,0,-100.00000,10,False,Cufflinks,10,100,0.41827,0.82226,False
True,0.88396,True,2637.00000,0.28947,1,-24.62889,10,False,Cufflinks,10,100,0.74896,1.00000,False
True,0.84613,True,2879.00000,0.41897,2,-21.78505,10,False,Cufflinks,10,100,0.87600,1.00000,False
True,0.80310,True,3291.00000,0.56218,3,-20.64256,10,False,Cufflinks,10,100,0.94713,1.00000,False
True,0.76787,True,5540.00000,0.83213,4,-19.21618,10,False,Cufflinks,10,100,0.98177,1.00000,False
True,0.97583,True,4758.00000,0.41492,0,-100.00000,0,False,Salmon,10,50,0.37894,0.89761,False
True,0.96800,True,2594.00000,0.32045,1,-58.54502,0,False,Salmon,10,50,0.76253,1.00000,False
True,0.96595,True,2878.00000,0.38669,2,-56.71710,0,False,Salmon,10,50,0.88985,1.00000,False
True,0.96790,True,3271.00000,0.47097,3,-54.82538,0,False,Salmon,10,50,0.94864,1.00000,False
True,0.96470,True,5354.00000,0.73720,4,-53.88903,0,False,Salmon,10,50,0.97889,1.00000,False
True,0.97887,True,4639.00000,0.18364,0,-100.00000,10,False,Salmon,10,50,0.46238,0.70014,False
True,0.96450,True,2704.00000,0.22016,1,-62.77423,10,False,Salmon,10,50,0.75222,1.00000,False
True,0.96613,True,2982.00000,0.29926,2,-63.27991,10,False,Salmon,10,50,0.85882,1.00000,False
True,0.97405,True,3275.00000,0.39244,3,-61.39061,10,False,Salmon,10,50,0.94504,1.00000,False
True,0.98325,True,5613.00000,0.74562,4,-62.46630,10,False,Salmon,10,50,0.97577,1.00000,False
True,0.97432,True,4711.00000,0.41010,0,-100.00000,0,False,Salmon,10,75,0.34494,0.90883,False
True,0.95710,True,2471.00000,0.35018,1,-55.32503,0,False,Salmon,10,75,0.73452,1.00000,False
True,0.95565,True,2886.00000,0.42821,2,-52.38154,0,False,Salmon,10,75,0.88635,1.00000,False
True,0.95067,True,3223.00000,0.45733,3,-51.02942,0,False,Salmon,10,75,0.94415,1.00000,False
True,0.95847,True,5707.00000,0.76621,4,-50.81168,0,False,Salmon,10,75,0.97967,1.00000,False
True,0.97601,True,4835.00000,0.22204,0,-100.00000,10,False,Salmon,10,75,0.46060,0.70571,False
True,0.96145,True,2594.00000,0.24207,1,-56.07989,10,False,Salmon,10,75,0.73901,1.00000,False
True,0.95864,True,2998.00000,0.33149,2,-53.66203,10,False,Salmon,10,75,0.88025,1.00000,False
True,0.96476,True,3348.00000,0.43959,3,-54.88238,10,False,Salmon,10,75,0.94056,1.00000,False
True,0.97191,True,5446.00000,0.76232,4,-54.28174,10,False,Salmon,10,75,0.97741,1.00000,False
True,0.97298,True,4811.00000,0.38002,0,-100.00000,0,False,Salmon,10,100,0.33922,0.91450,False
True,0.93385,True,2570.00000,0.34736,1,-50.18611,0,False,Salmon,10,100,0.71751,1.00000,False
True,0.92847,True,2894.00000,0.41869,2,-45.77193,0,False,Salmon,10,100,0.87457,1.00000,False
True,0.92701,True,3165.00000,0.53204,3,-44.29439,0,False,Salmon,10,100,0.95229,1.00000,False
True,0.92308,True,5499.00000,0.78000,4,-43.10193,0,False,Salmon,10,100,0.98145,1.00000,False
True,0.97819,True,4631.00000,0.19387,0,-100.00000,10,False,Salmon,10,100,0.44418,0.71660,False
True,0.96094,True,2637.00000,0.19182,1,-53.69339,10,False,Salmon,10,100,0.74251,1.00000,False
True,0.95658,True,2879.00000,0.33013,2,-53.06321,10,False,Salmon,10,100,0.86454,1.00000,False
True,0.96111,True,3291.00000,0.46122,3,-53.82674,10,False,Salmon,10,100,0.94257,1.00000,False
True,0.97166,True,5540.00000,0.79272,4,-53.34110,10,False,Salmon,10,100,0.98195,1.00000,False
True,0.90626,True,4758.00000,0.45893,0,-100.00000,0,False,RSEM,10,50,0.44073,0.94061,False
True,0.68851,True,2594.00000,0.45327,1,-11.79298,0,False,RSEM,10,50,0.79722,1.00000,False
True,0.58930,True,2878.00000,0.58254,2,-8.39589,0,False,RSEM,10,50,0.90931,1.00000,False
True,0.48945,True,3271.00000,0.70456,3,-7.41474,0,False,RSEM,10,50,0.96912,1.00000,False
True,0.41782,True,5354.00000,0.88788,4,-6.62015,0,False,RSEM,10,50,0.98935,1.00000,False
True,0.96465,True,4639.00000,0.20253,0,-100.00000,10,False,RSEM,10,50,0.47790,0.73225,False
True,0.93121,True,2704.00000,0.23765,1,-27.54225,10,False,RSEM,10,50,0.74408,1.00000,False
True,0.93058,True,2982.00000,0.41099,2,-26.49398,10,False,RSEM,10,50,0.86586,1.00000,False
True,0.91725,True,3275.00000,0.57125,3,-24.23325,10,False,RSEM,10,50,0.96061,1.00000,False
True,0.96134,True,5613.00000,0.87170,4,-23.82853,10,False,RSEM,10,50,0.98593,1.00000,False
True,0.93016,True,4711.00000,0.45115,0,-100.00000,0,False,RSEM,10,75,0.37720,0.94756,False
True,0.75354,True,2471.00000,0.47845,1,-12.64865,0,False,RSEM,10,75,0.76244,1.00000,False
True,0.61677,True,2886.00000,0.61002,2,-9.25544,0,False,RSEM,10,75,0.90644,1.00000,False
True,0.53925,True,3223.00000,0.69559,3,-8.41630,0,False,RSEM,10,75,0.95966,1.00000,False
True,0.47328,True,5707.00000,0.89635,4,-7.94947,0,False,RSEM,10,75,0.98756,1.00000,False
True,0.96463,True,4835.00000,0.24040,0,-100.00000,10,False,RSEM,10,75,0.44798,0.75644,False
True,0.91172,True,2594.00000,0.28352,1,-26.26899,10,False,RSEM,10,75,0.73978,1.00000,False
True,0.90260,True,2998.00000,0.43261,2,-23.07941,10,False,RSEM,10,75,0.88793,1.00000,False
True,0.90143,True,3348.00000,0.61483,3,-23.16329,10,False,RSEM,10,75,0.95490,1.00000,False
True,0.91811,True,5446.00000,0.88264,4,-22.18981,10,False,RSEM,10,75,0.98770,1.00000,False
True,0.94824,True,4811.00000,0.42607,0,-100.00000,0,False,RSEM,10,100,0.34920,0.95167,False
True,0.82996,True,2570.00000,0.44818,1,-20.00158,0,False,RSEM,10,100,0.74436,1.00000,False
True,0.73842,True,2894.00000,0.56419,2,-15.74810,0,False,RSEM,10,100,0.89599,1.00000,False
True,0.66193,True,3165.00000,0.72697,3,-13.90170,0,False,RSEM,10,100,0.96209,1.00000,False
True,0.61284,True,5499.00000,0.89588,4,-13.04213,0,False,RSEM,10,100,0.98945,1.00000,False
True,0.97689,True,4631.00000,0.22690,0,-100.00000,10,False,RSEM,10,100,0.41179,0.78111,False
True,0.94198,True,2637.00000,0.26904,1,-37.09816,10,False,RSEM,10,100,0.72848,1.00000,False
True,0.93991,True,2879.00000,0.45154,2,-34.38347,10,False,RSEM,10,100,0.88121,1.00000,False
True,0.96019,True,3291.00000,0.64072,3,-34.28343,10,False,RSEM,10,100,0.95533,1.00000,False
True,0.98141,True,5540.00000,0.89293,4,-33.35677,10,False,RSEM,10,100,0.98755,1.00000,False
True,0.94136,True,4758.00000,0.48171,0,-100.00000,0,False,Kallisto,10,50,0.45292,0.93848,False
True,0.84002,True,2594.00000,0.45037,1,-21.84796,0,False,Kallisto,10,50,0.81149,1.00000,False
True,0.78735,True,2878.00000,0.56744,2,-17.93157,0,False,Kallisto,10,50,0.92495,1.00000,False
True,0.75298,True,3271.00000,0.66226,3,-14.55455,0,False,Kallisto,10,50,0.97585,1.00000,False
True,0.72451,True,5354.00000,0.86453,4,-12.37437,0,False,Kallisto,10,50,0.99253,1.00000,False
True,0.97068,True,4639.00000,0.21761,0,-100.00000,10,False,Kallisto,10,50,0.48610,0.73344,False
True,0.90311,True,2704.00000,0.25262,1,-32.81420,10,False,Kallisto,10,50,0.76701,1.00000,False
True,0.89805,True,2982.00000,0.41389,2,-32.13050,10,False,Kallisto,10,50,0.88632,1.00000,False
True,0.85557,True,3275.00000,0.54923,3,-28.46449,10,False,Kallisto,10,50,0.96824,1.00000,False
True,0.84286,True,5613.00000,0.85047,4,-28.99317,10,False,Kallisto,10,50,0.98931,1.00000,False
True,0.95054,True,4711.00000,0.46755,0,-100.00000,0,False,Kallisto,10,75,0.39058,0.94486,False
True,0.84217,True,2471.00000,0.45909,1,-22.36141,0,False,Kallisto,10,75,0.77823,1.00000,False
True,0.79487,True,2886.00000,0.58102,2,-17.03523,0,False,Kallisto,10,75,0.92238,1.00000,False
True,0.75271,True,3223.00000,0.65171,3,-13.69303,0,False,Kallisto,10,75,0.96928,1.00000,False
True,0.74382,True,5707.00000,0.87520,4,-14.17930,0,False,Kallisto,10,75,0.99176,1.00000,False
True,0.96960,True,4835.00000,0.25258,0,-100.00000,10,False,Kallisto,10,75,0.46784,0.73875,False
True,0.90131,True,2594.00000,0.28793,1,-30.25038,10,False,Kallisto,10,75,0.75559,1.00000,False
True,0.85791,True,2998.00000,0.41811,2,-26.05024,10,False,Kallisto,10,75,0.90327,1.00000,False
True,0.83751,True,3348.00000,0.57920,3,-26.20807,10,False,Kallisto,10,75,0.95848,1.00000,False
True,0.80206,True,5446.00000,0.85748,4,-25.34264,10,False,Kallisto,10,75,0.99082,1.00000,False
True,0.94908,True,4811.00000,0.45121,0,-100.00000,0,False,Kallisto,10,100,0.36687,0.94694,False
True,0.86109,True,2570.00000,0.42264,1,-21.55332,0,False,Kallisto,10,100,0.76770,1.00000,False
True,0.80477,True,2894.00000,0.53812,2,-15.12310,0,False,Kallisto,10,100,0.90705,1.00000,False
True,0.75292,True,3165.00000,0.68320,3,-12.31433,0,False,Kallisto,10,100,0.96840,1.00000,False
True,0.73977,True,5499.00000,0.87840,4,-11.51452,0,False,Kallisto,10,100,0.99218,1.00000,False
True,0.97193,True,4631.00000,0.21692,0,-100.00000,10,False,Kallisto,10,100,0.44483,0.74494,False
True,0.90444,True,2637.00000,0.24605,1,-28.61288,10,False,Kallisto,10,100,0.75882,1.00000,False
True,0.86454,True,2879.00000,0.42798,2,-27.21036,10,False,Kallisto,10,100,0.88433,1.00000,False
