bias,error-frac,errors,expressed-tpms,log-tpm-rho,median-percent-error,noise_perc,paired_end,quant_method,read_depth,read_length,sensitivity,specificity,stranded,transcript length
True,0.94646,True,1681.00000,0.93028,33.19788,0,False,Cufflinks,10,50,0.83224,0.88617,False,0
True,0.70965,True,8290.00000,0.92567,-3.06582,0,False,Cufflinks,10,50,0.81448,0.91703,False,1
True,0.93959,True,5761.00000,0.86969,-35.60634,0,False,Cufflinks,10,50,0.78007,0.93767,False,2
True,0.98559,True,3123.00000,0.85053,-38.93988,0,False,Cufflinks,10,50,0.78706,0.95338,False,3
True,0.86423,True,1753.00000,0.88469,22.68517,10,False,Cufflinks,10,50,0.84541,0.74186,False,0
True,0.77799,True,8288.00000,0.88429,-12.21671,10,False,Cufflinks,10,50,0.83024,0.75767,False,1
True,0.94613,True,6015.00000,0.83434,-42.50841,10,False,Cufflinks,10,50,0.78587,0.79979,False,2
True,0.98385,True,3157.00000,0.82438,-47.79856,10,False,Cufflinks,10,50,0.79506,0.82367,False,3
True,0.96540,True,1792.00000,0.93642,34.39081,0,False,Cufflinks,10,75,0.80636,0.90161,False,0
True,0.71848,True,8113.00000,0.92865,-0.64075,0,False,Cufflinks,10,75,0.78972,0.92685,False,1
True,0.92095,True,5895.00000,0.88409,-30.41640,0,False,Cufflinks,10,75,0.77863,0.94160,False,2
True,0.97592,True,3198.00000,0.85668,-34.82342,0,False,Cufflinks,10,75,0.79862,0.95243,False,3
True,0.92031,True,1782.00000,0.92252,24.02513,10,False,Cufflinks,10,75,0.80976,0.78252,False,0
True,0.71416,True,8218.00000,0.89884,-7.97895,10,False,Cufflinks,10,75,0.81966,0.78533,False,1
True,0.96090,True,6061.00000,0.85127,-35.75819,10,False,Cufflinks,10,75,0.77677,0.81352,False,2
True,0.97595,True,3160.00000,0.82266,-39.98607,10,False,Cufflinks,10,75,0.78259,0.82843,False,3
True,0.96672,True,1743.00000,0.94944,31.78429,0,False,Cufflinks,10,100,0.76420,0.91720,False,0
True,0.72098,True,8279.00000,0.92626,-2.96682,0,False,Cufflinks,10,100,0.77364,0.93193,False,1
True,0.91615,True,5784.00000,0.89247,-29.45737,0,False,Cufflinks,10,100,0.77265,0.94769,False,2
True,0.97638,True,3133.00000,0.85999,-35.26020,0,False,Cufflinks,10,100,0.78200,0.95468,False,3
True,0.92191,True,1716.00000,0.93212,23.84797,10,False,Cufflinks,10,100,0.80303,0.81985,False,0
True,0.71744,True,8200.00000,0.90426,-7.47114,10,False,Cufflinks,10,100,0.79463,0.81717,False,1
True,0.95019,True,5903.00000,0.85106,-33.28461,10,False,Cufflinks,10,100,0.77893,0.82702,False,2
True,0.97088,True,3159.00000,0.83252,-36.75802,10,False,Cufflinks,10,100,0.79076,0.82795,False,3
True,0.80131,True,1681.00000,0.89847,-7.44878,0,False,Salmon,10,50,0.84355,0.81996,False,0
True,0.97370,True,8290.00000,0.88663,-43.36622,0,False,Salmon,10,50,0.78842,0.89522,False,1
True,0.99583,True,5761.00000,0.86996,-66.03826,0,False,Salmon,10,50,0.75838,0.93105,False,2
True,0.99552,True,3123.00000,0.86197,-66.95967,0,False,Salmon,10,50,0.75664,0.88419,False,3
True,0.90359,True,1753.00000,0.83649,-20.17873,10,False,Salmon,10,50,0.86823,0.63437,False,0
True,0.97394,True,8288.00000,0.84803,-51.58155,10,False,Salmon,10,50,0.82143,0.69577,False,1
True,0.98953,True,6015.00000,0.80471,-72.02504,10,False,Salmon,10,50,0.75278,0.74397,False,2
True,0.99176,True,3157.00000,0.79753,-71.16035,10,False,Salmon,10,50,0.77732,0.66600,False,3
True,0.78125,True,1792.00000,0.91740,-4.12621,0,False,Salmon,10,75,0.82087,0.85211,False,0
True,0.96241,True,8113.00000,0.89668,-39.31471,0,False,Salmon,10,75,0.76433,0.91147,False,1
True,0.99237,True,5895.00000,0.87968,-60.71833,0,False,Salmon,10,75,0.75997,0.93389,False,2
True,0.99719,True,3198.00000,0.85820,-62.66764,0,False,Salmon,10,75,0.77548,0.88621,False,3
True,0.86588,True,1782.00000,0.89212,-10.75373,10,False,Salmon,10,75,0.83165,0.66369,False,0
True,0.96836,True,8218.00000,0.85144,-42.22192,10,False,Salmon,10,75,0.81614,0.70842,False,1
True,0.98862,True,6061.00000,0.82174,-64.40945,10,False,Salmon,10,75,0.76588,0.74021,False,2
True,0.98639,True,3160.00000,0.80402,-65.79317,10,False,Salmon,10,75,0.76709,0.65740,False,3
True,0.76076,True,1743.00000,0.92910,6.19763,0,False,Salmon,10,100,0.77969,0.87338,False,0
True,0.91956,True,8279.00000,0.90021,-32.72291,0,False,Salmon,10,100,0.75239,0.91806,False,1
True,0.98980,True,5784.00000,0.88609,-53.72922,0,False,Salmon,10,100,0.76418,0.93504,False,2
True,0.99394,True,3133.00000,0.86526,-56.84112,0,False,Salmon,10,100,0.76923,0.88945,False,3
True,0.85781,True,1716.00000,0.88137,-10.59544,10,False,Salmon,10,100,0.83916,0.69326,False,0
True,0.96780,True,8200.00000,0.86347,-42.11791,10,False,Salmon,10,100,0.80256,0.72488,False,1
True,0.98950,True,5903.00000,0.83100,-62.47276,10,False,Salmon,10,100,0.77147,0.74073,False,2
True,0.98607,True,3159.00000,0.80187,-64.04867,10,False,Salmon,10,100,0.78221,0.66269,False,3
True,0.48840,True,1681.00000,0.95938,1.45008,0,False,RSEM,10,50,0.81559,0.93712,False,0
True,0.54089,True,8290.00000,0.94582,-3.90891,0,False,RSEM,10,50,0.81460,0.94024,False,1
True,0.68807,True,5761.00000,0.90627,-18.15811,0,False,RSEM,10,50,0.80212,0.93560,False,2
True,0.75664,True,3123.00000,0.86542,-21.19456,0,False,RSEM,10,50,0.80179,0.95294,False,3
True,0.91671,True,1753.00000,0.89936,-16.53730,10,False,RSEM,10,50,0.82145,0.75872,False,0
True,0.93436,True,8288.00000,0.89549,-21.81522,10,False,RSEM,10,50,0.81672,0.74721,False,1
True,0.96193,True,6015.00000,0.84473,-33.07428,10,False,RSEM,10,50,0.78753,0.73529,False,2
True,0.96009,True,3157.00000,0.80536,-30.38213,10,False,RSEM,10,50,0.80615,0.67294,False,3
True,0.58929,True,1792.00000,0.96769,4.39588,0,False,RSEM,10,75,0.78962,0.94881,False,0
True,0.54333,True,8113.00000,0.94881,-3.82404,0,False,RSEM,10,75,0.78491,0.94769,False,1
True,0.71230,True,5895.00000,0.90449,-17.64856,0,False,RSEM,10,75,0.78914,0.94379,False,2
True,0.87555,True,3198.00000,0.87088,-21.10932,0,False,RSEM,10,75,0.80394,0.95360,False,3
True,0.76768,True,1782.00000,0.93499,-11.99387,10,False,RSEM,10,75,0.79181,0.80030,False,0
True,0.91945,True,8218.00000,0.90477,-18.84110,10,False,RSEM,10,75,0.81017,0.77471,False,1
