bias,error-frac,errors,expressed-tpms,log-tpm-rho,median-percent-error,noise_perc,paired_end,quant_method,read_depth,read_length,sensitivity,specificity,stranded,unique sequence length
True,0.86795,True,8300.00000,0.86374,-28.73290,0,False,Cufflinks,10,50,0.76277,0.91264,False,0
True,0.84458,True,3037.00000,0.86764,-23.83707,0,False,Cufflinks,10,50,0.77741,0.90342,False,1
True,0.82206,True,3473.00000,0.91095,-13.18050,0,False,Cufflinks,10,50,0.82177,0.92172,False,2
True,0.77407,True,2846.00000,0.94701,-12.27997,0,False,Cufflinks,10,50,0.86824,0.96945,False,3
True,0.94912,True,1199.00000,0.95394,-26.30418,0,False,Cufflinks,10,50,0.90575,0.99240,False,4
True,0.89784,True,8340.00000,0.82392,-38.63725,10,False,Cufflinks,10,50,0.76667,0.80217,False,0
True,0.87512,True,3219.00000,0.82457,-31.92478,10,False,Cufflinks,10,50,0.78906,0.79436,False,1
True,0.83577,True,3556.00000,0.86790,-18.11708,10,False,Cufflinks,10,50,0.83380,0.75176,False,2
True,0.80401,True,2842.00000,0.91837,-16.95717,10,False,Cufflinks,10,50,0.89409,0.73726,False,3
True,0.95382,True,1256.00000,0.92831,-35.59629,10,False,Cufflinks,10,50,0.92357,0.77837,False,4
True,0.86717,True,8153.00000,0.87755,-26.09175,0,False,Cufflinks,10,75,0.75322,0.91944,False,0
True,0.85224,True,3235.00000,0.87166,-19.47532,0,False,Cufflinks,10,75,0.77867,0.91479,False,1
True,0.82437,True,3496.00000,0.91816,-11.43952,0,False,Cufflinks,10,75,0.79319,0.93016,False,2
True,0.78090,True,2848.00000,0.94731,-10.61991,0,False,Cufflinks,10,75,0.84059,0.97172,False,3
True,0.92891,True,1266.00000,0.95410,-24.01861,0,False,Cufflinks,10,75,0.92338,0.99258,False,4
True,0.87982,True,8437.00000,0.84588,-32.42658,10,False,Cufflinks,10,75,0.74896,0.82162,False,0
True,0.84665,True,3117.00000,0.85118,-26.93351,10,False,Cufflinks,10,75,0.78088,0.81838,False,1
True,0.81529,True,3611.00000,0.88883,-13.95272,10,False,Cufflinks,10,75,0.82526,0.78467,False,2
True,0.79647,True,2835.00000,0.90748,-13.04928,10,False,Cufflinks,10,75,0.87654,0.75062,False,3
True,0.94431,True,1221.00000,0.94380,-29.11342,10,False,Cufflinks,10,75,0.93530,0.78197,False,4
True,0.86549,True,8252.00000,0.88019,-26.74455,0,False,Cufflinks,10,100,0.74067,0.92885,False,0
True,0.84292,True,3094.00000,0.89031,-22.56401,0,False,Cufflinks,10,100,0.74919,0.91782,False,1
True,0.81388,True,3530.00000,0.91732,-11.41079,0,False,Cufflinks,10,100,0.77139,0.93632,False,2
True,0.79132,True,2856.00000,0.94966,-12.23283,0,False,Cufflinks,10,100,0.83648,0.97306,False,3
True,0.93538,True,1207.00000,0.97101,-25.26655,0,False,Cufflinks,10,100,0.92295,0.99191,False,4
True,0.87150,True,8218.00000,0.84905,-30.01199,10,False,Cufflinks,10,100,0.74872,0.83947,False,0
True,0.84059,True,3055.00000,0.86695,-25.55620,10,False,Cufflinks,10,100,0.76007,0.84753,False,1
True,0.81183,True,3566.00000,0.90381,-14.80245,10,False,Cufflinks,10,100,0.80062,0.81521,False,2
True,0.80768,True,2865.00000,0.90417,-11.16807,10,False,Cufflinks,10,100,0.86702,0.77430,False,3
True,0.94349,True,1274.00000,0.94035,-25.94716,10,False,Cufflinks,10,100,0.92308,0.77460,False,4
True,0.97566,True,8300.00000,0.83358,-62.28046,0,False,Salmon,10,50,0.73711,0.88787,False,0
True,0.96082,True,3037.00000,0.83478,-59.03848,0,False,Salmon,10,50,0.75107,0.87149,False,1
True,0.95537,True,3473.00000,0.87996,-52.82029,0,False,Salmon,10,50,0.80449,0.89389,False,2
True,0.96100,True,2846.00000,0.94804,-49.60082,0,False,Salmon,10,50,0.85875,0.94518,False,3
True,0.99750,True,1199.00000,0.98162,-58.74937,0,False,Salmon,10,50,0.87490,0.92892,False,4
True,0.98046,True,8340.00000,0.78122,-69.15457,10,False,Salmon,10,50,0.73885,0.75864,False,0
True,0.97422,True,3219.00000,0.78810,-64.95039,10,False,Salmon,10,50,0.77477,0.72399,False,1
True,0.96879,True,3556.00000,0.83578,-55.09881,10,False,Salmon,10,50,0.83015,0.66632,False,2
True,0.97009,True,2842.00000,0.88324,-52.23492,10,False,Salmon,10,50,0.89374,0.63023,False,3
True,0.97452,True,1256.00000,0.91014,-63.45765,10,False,Salmon,10,50,0.92675,0.51142,False,4
True,0.96750,True,8153.00000,0.85518,-58.01990,0,False,Salmon,10,75,0.73212,0.89729,False,0
True,0.95611,True,3235.00000,0.83831,-55.07469,0,False,Salmon,10,75,0.75981,0.88959,False,1
True,0.94251,True,3496.00000,0.88742,-50.27867,0,False,Salmon,10,75,0.77632,0.90561,False,2
True,0.95084,True,2848.00000,0.94738,-47.02323,0,False,Salmon,10,75,0.83076,0.95373,False,3
True,0.99763,True,1266.00000,0.96741,-55.89096,0,False,Salmon,10,75,0.88863,0.93966,False,4
True,0.97701,True,8437.00000,0.80633,-61.69055,10,False,Salmon,10,75,0.73332,0.76482,False,0
True,0.96728,True,3117.00000,0.80377,-57.27708,10,False,Salmon,10,75,0.76740,0.72970,False,1
True,0.95126,True,3611.00000,0.84369,-44.77191,10,False,Salmon,10,75,0.83633,0.67753,False,2
True,0.95944,True,2835.00000,0.87820,-45.05938,10,False,Salmon,10,75,0.89206,0.63064,False,3
True,0.98034,True,1221.00000,0.92569,-57.66132,10,False,Salmon,10,75,0.92301,0.50950,False,4
True,0.94583,True,8252.00000,0.86104,-52.33750,0,False,Salmon,10,100,0.72649,0.90593,False,0
True,0.93697,True,3094.00000,0.85914,-50.43551,0,False,Salmon,10,100,0.73109,0.89254,False,1
True,0.91926,True,3530.00000,0.89419,-42.29190,0,False,Salmon,10,100,0.75921,0.91165,False,2
True,0.92297,True,2856.00000,0.94916,-40.57821,0,False,Salmon,10,100,0.83578,0.95539,False,3
True,0.98840,True,1207.00000,0.98129,-50.35647,0,False,Salmon,10,100,0.90638,0.94057,False,4
True,0.97286,True,8218.00000,0.81557,-60.64323,10,False,Salmon,10,100,0.73765,0.77471,False,0
True,0.96858,True,3055.00000,0.82026,-56.38009,10,False,Salmon,10,100,0.77316,0.73563,False,1
True,0.95738,True,3566.00000,0.85866,-46.36276,10,False,Salmon,10,100,0.81436,0.69150,False,2
True,0.95881,True,2865.00000,0.87488,-44.01946,10,False,Salmon,10,100,0.88482,0.64523,False,3
True,0.98038,True,1274.00000,0.89980,-57.39026,10,False,Salmon,10,100,0.92857,0.51912,False,4
True,0.67000,True,8300.00000,0.89452,-14.80453,0,False,RSEM,10,50,0.77108,0.92523,False,0
True,0.63747,True,3037.00000,0.90786,-10.54702,0,False,RSEM,10,50,0.78597,0.92329,False,1
True,0.57990,True,3473.00000,0.93909,-7.85875,0,False,RSEM,10,50,0.81889,0.94356,False,2
True,0.52460,True,2846.00000,0.97470,-6.32656,0,False,RSEM,10,50,0.87597,0.97795,False,3
True,0.52377,True,1199.00000,0.98056,-9.64192,0,False,RSEM,10,50,0.93828,0.99131,False,4
True,0.95624,True,8340.00000,0.84725,-34.56745,10,False,RSEM,10,50,0.75264,0.79232,False,0
True,0.94688,True,3219.00000,0.84745,-29.48504,10,False,RSEM,10,50,0.77105,0.78115,False,1
True,0.94094,True,3556.00000,0.89012,-23.25390,10,False,RSEM,10,50,0.82987,0.71246,False,2
True,0.92224,True,2842.00000,0.91693,-19.78821,10,False,RSEM,10,50,0.90711,0.63576,False,3
True,0.93790,True,1256.00000,0.90235,-22.18275,10,False,RSEM,10,50,0.95780,0.49271,False,4
True,0.69668,True,8153.00000,0.90343,-14.70426,0,False,RSEM,10,75,0.75359,0.93365,False,0
True,0.65379,True,3235.00000,0.90278,-10.56458,0,False,RSEM,10,75,0.77805,0.93501,False,1
True,0.62128,True,3496.00000,0.94165,-8.52821,0,False,RSEM,10,75,0.78919,0.95050,False,2
True,0.55829,True,2848.00000,0.97185,-7.59046,0,False,RSEM,10,75,0.84480,0.97887,False,3
True,0.71564,True,1266.00000,0.96990,-11.87273,0,False,RSEM,10,75,0.93207,0.99075,False,4
True,0.93931,True,8437.00000,0.86175,-30.92610,10,False,RSEM,10,75,0.74019,0.80970,False,0
True,0.92910,True,3117.00000,0.87225,-26.67356,10,False,RSEM,10,75,0.76388,0.80900,False,1
True,0.89615,True,3611.00000,0.90216,-20.42227,10,False,RSEM,10,75,0.82996,0.75012,False,2
True,0.89771,True,2835.00000,0.91216,-17.76342,10,False,RSEM,10,75,0.89277,0.65977,False,3
True,0.94267,True,1221.00000,0.92562,-22.57107,10,False,RSEM,10,75,0.95741,0.51627,False,4
True,0.79217,True,8252.00000,0.90359,-20.63755,0,False,RSEM,10,100,0.74164,0.94028,False,0
True,0.73206,True,3094.00000,0.90996,-17.22996,0,False,RSEM,10,100,0.75113,0.93770,False,1
True,0.67960,True,3530.00000,0.93611,-13.40437,0,False,RSEM,10,100,0.76686,0.95395,False,2
True,0.68312,True,2856.00000,0.97198,-13.54069,0,False,RSEM,10,100,0.83999,0.97957,False,3
True,0.94863,True,1207.00000,0.98103,-18.75307,0,False,RSEM,10,100,0.92958,0.99130,False,4
True,0.96934,True,8218.00000,0.86759,-39.59654,10,False,RSEM,10,100,0.74227,0.82405,False,0
True,0.96759,True,3055.00000,0.88772,-37.54236,10,False,RSEM,10,100,0.75319,0.83229,False,1
True,0.95934,True,3566.00000,0.91408,-32.72380,10,False,RSEM,10,100,0.80230,0.78705,False,2
True,0.95358,True,2865.00000,0.91422,-29.39915,10,False,RSEM,10,100,0.88098,0.69799,False,3
