bias,error-frac,errors,expressed-tpms,log-tpm-rho,median-percent-error,noise_perc,paired_end,quant_method,read_depth,read_length,sensitivity,specificity,stranded,unique sequence percentage
True,0.86612,True,13183.00000,0.86703,-29.00345,0,False,Cufflinks,10,50,0.77107,0.91453,False,0
True,0.81307,True,2097.00000,0.94256,-14.69658,0,False,Cufflinks,10,50,0.84263,0.92989,False,1
True,0.79635,True,1424.00000,0.95710,-8.70336,0,False,Cufflinks,10,50,0.87008,0.95737,False,2
True,0.79072,True,1056.00000,0.95571,-6.31255,0,False,Cufflinks,10,50,0.88731,0.97110,False,3
True,0.79726,True,1095.00000,0.94514,-10.22169,0,False,Cufflinks,10,50,0.90868,0.98005,False,4
True,0.89614,True,13422.00000,0.82900,-38.11839,10,False,Cufflinks,10,50,0.77827,0.79936,False,0
True,0.83444,True,2108.00000,0.89131,-16.93371,10,False,Cufflinks,10,50,0.86907,0.74081,False,1
True,0.80588,True,1463.00000,0.92286,-11.97922,10,False,Cufflinks,10,50,0.89132,0.72033,False,2
True,0.81725,True,1078.00000,0.91687,-13.76693,10,False,Cufflinks,10,50,0.89981,0.71546,False,3
True,0.79947,True,1142.00000,0.92383,-16.73086,10,False,Cufflinks,10,50,0.91769,0.77125,False,4
True,0.86661,True,13157.00000,0.87729,-26.06705,0,False,Cufflinks,10,75,0.76423,0.92158,False,0
True,0.81051,True,2169.00000,0.94412,-12.33555,0,False,Cufflinks,10,75,0.81881,0.93892,False,1
True,0.80601,True,1464.00000,0.95923,-7.51016,0,False,Cufflinks,10,75,0.83880,0.96332,False,2
True,0.80289,True,1106.00000,0.95130,-6.49214,0,False,Cufflinks,10,75,0.86347,0.97403,False,3
True,0.79946,True,1102.00000,0.94751,-9.13402,0,False,Cufflinks,10,75,0.89111,0.98375,False,4
True,0.87866,True,13409.00000,0.84793,-32.32802,10,False,Cufflinks,10,75,0.76292,0.81966,False,0
True,0.80405,True,2174.00000,0.91704,-14.79249,10,False,Cufflinks,10,75,0.85189,0.76935,False,1
True,0.77995,True,1486.00000,0.92487,-9.99689,10,False,Cufflinks,10,75,0.89031,0.74136,False,2
True,0.79226,True,1059.00000,0.94023,-5.09683,10,False,Cufflinks,10,75,0.90368,0.73381,False,3
True,0.81336,True,1093.00000,0.90901,-13.29005,10,False,Cufflinks,10,75,0.91308,0.78352,False,4
True,0.86341,True,13149.00000,0.88390,-26.90264,0,False,Cufflinks,10,100,0.74728,0.92908,False,0
True,0.79685,True,2161.00000,0.94066,-12.56506,0,False,Cufflinks,10,100,0.79547,0.94275,False,1
True,0.79602,True,1456.00000,0.95468,-7.30023,0,False,Cufflinks,10,100,0.84615,0.96145,False,2
True,0.80669,True,1076.00000,0.96802,-8.46474,0,False,Cufflinks,10,100,0.85781,0.97855,False,3
True,0.82954,True,1097.00000,0.95609,-11.86098,0,False,Cufflinks,10,100,0.87147,0.98596,False,4
True,0.87114,True,13162.00000,0.85897,-29.99296,10,False,Cufflinks,10,100,0.75748,0.84000,False,0
True,0.80594,True,2154.00000,0.90932,-15.19345,10,False,Cufflinks,10,100,0.82219,0.79854,False,1
True,0.78980,True,1432.00000,0.93019,-7.22800,10,False,Cufflinks,10,100,0.86802,0.76780,False,2
True,0.79782,True,1103.00000,0.93219,-3.63809,10,False,Cufflinks,10,100,0.89574,0.75310,False,3
True,0.82343,True,1127.00000,0.90962,-8.85478,10,False,Cufflinks,10,100,0.90328,0.79577,False,4
True,0.97618,True,13183.00000,0.83919,-62.48286,0,False,Salmon,10,50,0.74558,0.88770,False,0
True,0.96137,True,2097.00000,0.91779,-53.99931,0,False,Salmon,10,50,0.82213,0.90057,False,1
True,0.94031,True,1424.00000,0.94594,-48.94969,0,False,Salmon,10,50,0.85885,0.92053,False,2
True,0.95549,True,1056.00000,0.95535,-44.01130,0,False,Salmon,10,50,0.87879,0.92774,False,3
True,0.94247,True,1095.00000,0.96449,-47.93067,0,False,Salmon,10,50,0.89680,0.94979,False,4
True,0.98085,True,13422.00000,0.79245,-68.26097,10,False,Salmon,10,50,0.75548,0.74446,False,0
True,0.96964,True,2108.00000,0.85674,-54.90634,10,False,Salmon,10,50,0.85911,0.63402,False,1
True,0.96104,True,1463.00000,0.88806,-47.75413,10,False,Salmon,10,50,0.90157,0.58472,False,2
True,0.95362,True,1078.00000,0.87745,-45.03230,10,False,Salmon,10,50,0.92022,0.54392,False,3
True,0.95972,True,1142.00000,0.89806,-49.60760,10,False,Salmon,10,50,0.91944,0.60606,False,4
True,0.96793,True,13157.00000,0.85409,-58.21234,0,False,Salmon,10,75,0.74386,0.89840,False,0
True,0.95021,True,2169.00000,0.91750,-51.02156,0,False,Salmon,10,75,0.79438,0.91325,False,1
True,0.94262,True,1464.00000,0.93828,-45.83726,0,False,Salmon,10,75,0.82787,0.93541,False,2
True,0.93942,True,1106.00000,0.95034,-42.43756,0,False,Salmon,10,75,0.85533,0.94007,False,3
True,0.93648,True,1102.00000,0.96549,-46.43439,0,False,Salmon,10,75,0.87477,0.95910,False,4
True,0.97599,True,13409.00000,0.80908,-61.46246,10,False,Salmon,10,75,0.75084,0.74828,False,0
True,0.95630,True,2174.00000,0.87815,-46.43072,10,False,Salmon,10,75,0.85741,0.64534,False,1
True,0.95289,True,1486.00000,0.87920,-41.10193,10,False,Salmon,10,75,0.90579,0.59345,False,2
True,0.93579,True,1059.00000,0.88810,-34.95329,10,False,Salmon,10,75,0.91501,0.55521,False,3
True,0.94876,True,1093.00000,0.90442,-42.19190,10,False,Salmon,10,75,0.92223,0.61147,False,4
True,0.94905,True,13149.00000,0.86416,-52.48144,0,False,Salmon,10,100,0.73283,0.90447,False,0
True,0.92966,True,2161.00000,0.91626,-43.06093,0,False,Salmon,10,100,0.78482,0.91767,False,1
True,0.90179,True,1456.00000,0.94286,-37.21727,0,False,Salmon,10,100,0.83379,0.93705,False,2
True,0.90985,True,1076.00000,0.96600,-37.45133,0,False,Salmon,10,100,0.84665,0.94842,False,3
True,0.90975,True,1097.00000,0.96576,-39.60721,0,False,Salmon,10,100,0.87603,0.96491,False,4
True,0.97432,True,13162.00000,0.82381,-60.29038,10,False,Salmon,10,100,0.75513,0.75591,False,0
True,0.96054,True,2154.00000,0.86868,-46.25982,10,False,Salmon,10,100,0.83751,0.66390,False,1
True,0.95391,True,1432.00000,0.89109,-39.49783,10,False,Salmon,10,100,0.88478,0.61515,False,2
True,0.94016,True,1103.00000,0.87405,-35.56176,10,False,Salmon,10,100,0.90752,0.57353,False,3
True,0.94765,True,1127.00000,0.89014,-38.66521,10,False,Salmon,10,100,0.91837,0.62305,False,4
True,0.66851,True,13183.00000,0.89885,-14.61688,0,False,RSEM,10,50,0.77949,0.92744,False,0
True,0.56843,True,2097.00000,0.96826,-7.85875,0,False,RSEM,10,50,0.83643,0.95514,False,1
True,0.50070,True,1424.00000,0.98126,-6.24251,0,False,RSEM,10,50,0.88132,0.97242,False,2
True,0.46023,True,1056.00000,0.98004,-4.84698,0,False,RSEM,10,50,0.89583,0.98243,False,3
True,0.39087,True,1095.00000,0.99093,-5.75272,0,False,RSEM,10,50,0.92968,0.98611,False,4
True,0.95418,True,13422.00000,0.85150,-33.20697,10,False,RSEM,10,50,0.76568,0.77982,False,0
True,0.94355,True,2108.00000,0.90890,-22.52558,10,False,RSEM,10,50,0.86575,0.67792,False,1
True,0.91046,True,1463.00000,0.92282,-19.22428,10,False,RSEM,10,50,0.90704,0.60998,False,2
